,02461e5d-eee8-4222-8b6d-bf141aad9440_01,0556e2d9-4c92-4293-ad66-2d7d24d5d213_01,05fbde79-00b6-4273-a0bc-d616844e0136_01,074c58a6-7304-4f34-babc-c537da15d971_01,07bec7d7-0aab-4b09-a796-bf1602bf682c_01,0b98a1b7-02d6-4b30-a411-f4e4bbd4c41e_01,0bab0c33-1df7-4078-9487-6c8309258564_01,0bd2551f-4060-43b2-bee3-956e7e09db31_01,0cc39a51-865a-44e1-9096-baf710fb3813_01,0cf24a4b-66af-454b-9e74-715cff8b73d4_01,0edeab00-e86e-484e-974f-e0f41efad22c_01,0efd3473-c23d-4788-a601-c600cbe60a32_01,11d10254-3a16-4526-98e8-80838f8427f2_01,18e7182d-16e8-4eff-96ec-56ff241810d3_01,1b1cae14-ad83-4d2a-b152-504392900e30_01,1b1e7d1d-634f-4d39-bea1-3c1d72bb2af4_01,1b67d80c-335e-4094-b973-e8c064c6bf59_01,1b6f6269-64a6-408b-9103-58128615117c_01,1d25c24e-bd3c-4023-85c1-b158f76324f1_01,1d8829fa-246d-49e9-9905-566a785155c7_01,2132f775-5d09-4b7f-b739-883b4aefb264_01,21e8b3c8-0be7-4fb1-b986-9e5403d04e26_01,22a82b1a-c799-40d9-8ff4-09b093947263_01,22a82b1a-c799-40d9-8ff4-09b093947263_05,23592bc3-17ff-44f3-9b17-c8f21d0af6b4_01,23742e7c-4c96-4253-9b6b-baf0e076b6e7_01,24718e25-4434-4054-861b-0b3e63fe506a_01,24718e25-4434-4054-861b-0b3e63fe506a_05,251b5341-405f-4f16-8334-475f2d358c25_01,27b529b8-0a7e-4a1a-9020-d33ee956c920_01,287fc873-3f50-4b7d-89eb-ebbf858ddfcf_01,29b8c1f6-8478-40db-a182-4ef15154a33d_01,2a85e0e7-7829-4637-b2c9-3beb3aeb571e_01,31356d96-f0a1-4a17-895f-89720c264377_01,320995df-9ef7-460c-aa37-e232e2d4e327_01,3290e7d0-64b4-402f-b2c4-0dc999ad3a64_01,34103b46-3d61-44a4-8b52-dcd29b5185a1_01,3713865f-b6d5-44f4-809b-8b17b696ace3_01,399cb248-9d00-41dc-af44-fa96ca9f649a_01,39a18c44-1990-4f01-a126-a6eda1d4ab1d_01,3cdbf331-991d-41cb-a694-a2aa95c4aa26_01,3f0a06d1-4c45-46b8-a06d-036c8998342c_01,43cc3c60-f0a6-4b44-bd7b-8ec4da71991f_01,43cc3c60-f0a6-4b44-bd7b-8ec4da71991f_05,43cdb4df-06db-4252-a25a-04def9d24c6d_01,43e0141d-9bea-4b26-86e0-88a11175053a_01,452a54f2-f389-4f6d-93d3-8350c48c17eb_01,46332d2c-aee8-4a8a-b781-55702082f097_01,485936b6-38dc-481a-9e35-89348b076466_01,4a380e03-667a-4d08-9a8c-e537a5900291_01,4d20edf6-0c1d-4556-b3f5-9d95ceb47c2a_01,4d215c5d-6813-44a6-ba6e-03c24da903b0_01,4e4e6280-713c-41bf-bf3a-e93c2fa44d59_01,4e7eb78e-a4e2-463e-a3a0-54e128108031_01,4efebe0b-ea06-4189-be34-5c191f69d1f6_01,526b0d88-481d-476c-ad83-548967bab58b_01,53670f27-e632-4e0e-be58-f5c6a66d967f_01,56ce11f3-4193-4314-9254-54bc514efbad_01,588cc671-b7d3-492a-843b-f2e99f1e1109_01,59f1f860-2f84-4668-ae62-8ca8fa38e47a_01,5c4f7b1b-1722-4e96-b70c-166f64b8b75e_01,5cea1082-2ad5-4233-a6e3-067566780471_01,606b2512-c27a-4904-87cb-c57eafd098f1_01,61544d30-175b-45bc-86bd-9ad45bebb840_01,626c1cb7-05f6-4db1-a809-f6fcba2cce8e_01,630c683d-d1a2-4bec-aa20-38ef59227d97_01,630c683d-d1a2-4bec-aa20-38ef59227d97_05,646116c6-167e-46c8-b43e-87d2b885c676_01,67dcde6d-e247-402e-ab27-ba2832b2cc3b_01,6939263c-8dad-469c-8905-7063460e4ab3_01,69509852-ed3e-4b5f-afc3-e7f7d88ce936_01,6a32e197-db90-4b3a-adc9-63b4c55d2cda_01,6a7dce9c-1c9d-41a2-a5ca-0a7d36e91fd7_01,6af41619-490e-4ffb-9a7b-ad9b7483b5a2_01,6d952a17-f8d7-4f4c-8b91-b050e84fbe54_01,6df1339c-39b8-45b3-b4ec-ca133ab3311a_01,6dfea807-028d-4ee3-991a-6c2607a8c8df_01,730bf0e5-50a3-4bdd-90ef-bc6d932979ce_01,79dc329e-9cde-4bd4-819c-ee3d45d813ca_01,7b394c92-c818-4d2b-9ed5-d560581190a7_01,7b411b6f-a273-4ea0-b5c8-637520f1fe5f_01,7db75a66-3e9d-40e1-93c0-23f3630d6a9c_01,8062ca27-542f-4a00-a047-c88b9b26f34f_01,8062ca27-542f-4a00-a047-c88b9b26f34f_05,814a95ad-02f8-44fe-9765-2da3183a2ef5_01,894b81b8-e98e-4ecb-b4e0-4c1c9ad97957_01,89d95f32-019c-48e7-b804-566285a8a2a6_01,8b5bb660-c3c6-4ad6-9b32-e12d458b8ad7_01,8ed15b85-5bb3-4317-a93d-67ee376a8244_01,8f734f5c-fe5c-4c81-98c9-f88a8ca4a5ee_01,8faad47d-3686-44ab-a0e3-842f64179229_01,8fb406e7-49b1-4662-860c-5a4d32b9d19c_01,905c998d-4219-46ef-9906-8e92d7416794_01,928ee84c-dd3c-48f0-a9ac-ddc8619317f4_01,97ca0157-0096-4b0c-a3e7-bab59078d2d6_01,9c947fba-e570-4a4b-9d16-9496dae1ee2e_01,9ea1db00-cae9-492c-b63a-bff816c046ed_01,9ed4368b-ac80-419e-b6ad-1c70d56ef4e7_01,a0be056d-792d-40a0-97c6-fbd4976820b3_01,a123784a-0b6b-4f9a-847f-c5a17cb922bb_01,a18378cd-06e4-44ce-9aa5-d78986bcfe32_01,a1a4313c-9c5b-432c-a879-5425898ffaee_01,a1fe45e4-587e-43fc-b53d-85b5a7c4959b_01,a22235ef-0fd3-4087-a36c-bb22704450ea_01,a30fbec8-68c1-41ed-984f-8476f1984085_01,a3a72058-5a59-45ac-b945-3dcaa566cb03_01,a4357b2b-5650-4deb-a300-9e1420e438ed_01,a4bdd4ea-3870-4e60-be7a-cdd44ce22445_01,a554973a-e5ce-4fee-ae98-ace6c4d08565_01,a789b81c-3d8f-42a6-80b9-ae2ab4df34e9_01,a9c10a1d-ef0b-4a4e-8433-522a9e04796e_01,a9d8a9e3-2a0d-4dbd-808f-646a624d2e0a_01,aac5502e-147d-4ff9-9876-d9bffacf3dd0_01,b0df5500-d608-416e-82f4-9a99206d24c8_01,b3f29a2a-5ae2-45b5-8f59-d96ca461637a_01,b8f0d793-c9ac-4964-aded-35bbd30b669b_01,bac49a26-1556-45b8-8729-a05df52623d8_01,bbbd714f-8a2b-452a-939a-d6839eb7865c_01,bd42cf82-4281-41bf-93e5-8403f1a94905_01,be3b6f94-9468-4164-9d96-abc205f53e92_01,be5254df-ebcf-4a63-9f9f-4a73b7a8d9ed_01,be64d20a-bcda-4623-912a-826e86f3225e_01,c08e6d8f-329c-49d5-afc0-ff52e978b915_01,c3515fef-c079-4be0-9005-2fc8a0bdeb39_01,c50d0ef9-1cc7-4bad-b1de-aa866276b977_01,c5a16472-ac62-422b-a799-26d17aeaa38e_01,c8744498-5d0e-4090-a6f1-c84aa6bb2bcb_01,cb342b8c-90db-43d3-83df-db6e728712bf_01,cbdd5d0c-baba-4b67-9740-9605b73adf6c_01,cbf26a55-e2d4-4c90-b7eb-b8161afa9de8_01,cf81c2f5-ac98-4423-9d80-150ce436e003_01,d0f2103b-a525-4ab4-a476-df21623e756c_01,d1e7a280-963a-48b0-b6fb-1acf7c1a435e_01,d4749ab4-c2fb-4384-8576-97dda543357f_01,d5a27462-bc30-4f5f-9572-7bea0844ce38_01,d69f7591-8917-4097-9b16-7977fa6a0dc6_01,d6b67920-f8e8-40fe-a5dd-aa0004d88a21_01,d6c4198b-6c69-40e5-a8eb-b2de3ac0b2b7_01,d7d793f6-eaea-4dd3-8237-c2c02b042340_01,d7d793f6-eaea-4dd3-8237-c2c02b042340_05,dd6e87af-ea8f-41e9-bf7d-0222d88b7873_01,dfdd5d0a-b87a-4b07-8e66-8ff396e86efd_01,e03c99f2-93cb-457f-8a77-d600f292e313_01,e089ebef-a48e-43d1-a21b-000d820453ef_01,e08bddcd-8ea5-4994-af6a-9fe9b7c93da4_01,e2e7d802-c59c-40bf-b3b5-5c3d3d4eb4fe_01,e535d430-ad45-4df6-bccc-6ed718f4237a_01,e6b32289-55a3-4852-88f3-5e483463249e_01,e9844c04-0562-4b01-a008-812365bd4c2c_01,e9d6e631-a4d9-4855-a8b3-b11e3be63cfc_01,eded94bb-625f-4615-81c7-b794c7c9da62_01,f02b66f4-3f20-443e-80c4-70139252959a_01,f18e8e44-6dca-4588-a003-77d70d6e6866_01,f5f4b937-8b81-4be5-b93e-b3224e357c15_01,fec8549c-9328-47b3-8266-f446db5b7ae9_01,ff929d39-66ca-4de0-8902-80361385acf1_01
MIMAT0000442,9.758435,13.545015,5.175493,8.282028,2.433382,22.042388,1.541339,20.169519,1.868949,1.536458,1.419519,2.575925,6.694068,4.219568,18.755054,1.367758,1.600407,24.535489,20.337052,4.958815,14.003871,8.083577,20.472104,15.04472,10.218429,4.86836,25.001474,3.389593,6.50371,4.781829,5.220232,0.80256,6.405039,0.804363,1.655305,5.973496,0.770344,15.446753,9.191014,6.588078,0.89989,54.375317,4.026601,2.784006,16.368866,2.768206,8.089744,1.99078,9.621899,18.720459,1.41839,26.913563,12.769681,1.466022,20.301699,7.665519,6.491514,11.336052,6.573055,10.226083,6.47038,5.638428,3.06048,9.016309,2.673432,7.395322,3.981024,12.822156,0.92003,1.153903,3.768466,0.84994,2.8411,4.577603,2.391988,1.553969,12.421747,10.538186,5.968832,667.490346,12.795771,1.318508,5.402829,3.748913,5.207457,0.359172,8.031649,5.078383,10.664712,4.406194,3.941412,2.200551,17.176412,25.202527,12.826094,3.481672,1.653936,1.671835,12.422191,1.89456,3.228732,5.539646,11.590444,11.512533,2.08741,20.338638,7.951976,13.274656,2.356151,2.582198,7.14756,9.127794,4.694994,9.796778,0.790875,9.281345,18.17328,7.894456,11.077782,4.186862,1.914576,1.699204,267.479124,10.135329,4.479497,26.037965,28.547095,2.569956,6.545536,26.312619,1.389456,7.504776,3.168501,39.140015,4.192072,7.264038,9.455572,4.480493,29.718679,28.060676,5.856677,6.418894,1.544212,2.444685,11.41587,15.108938,9.260817,19.039806,1.487113,20.254112,15.825226,7.096001,13.823497,23.076614,2.051561,42.080569
MIMAT0000443,809.581972,2027.164307,2177.547139,490.118363,1002.205339,1068.05387,1200.069088,834.439536,1630.992706,1430.772483,1284.008789,2894.935101,1225.802892,467.317078,1660.197113,579.733932,1564.557523,1825.957,1534.474662,912.145839,1792.995095,873.739941,1404.311991,931.544385,1541.815428,2006.153995,1341.995321,1503.284727,466.09902,1321.644768,2917.172851,700.902452,1175.602715,1407.473344,1046.15345,632.312375,1670.395292,1793.433065,785.513426,950.289909,661.868757,3080.737803,834.848901,2148.599568,1190.656994,1255.842647,1542.490745,540.49669,1168.44421,867.81962,3109.938469,1590.240348,2541.167138,567.839191,1829.690575,1575.629771,1304.168859,1141.025472,1344.737952,922.005416,526.41163,979.785366,620.310922,1260.829024,1086.416023,904.918662,764.798902,1667.23137,2705.938082,1391.062353,650.186236,1161.653904,1162.863045,1018.442569,1835.613009,1168.339434,1062.537041,1442.888609,806.710436,1511.42265,1551.156163,1231.880105,2075.360648,1696.945068,1342.737409,971.019374,917.24425,840.726614,1003.17086,1051.97838,849.973799,3567.797656,1590.71678,1957.396427,521.000773,459.232735,426.439878,2042.10495,1944.658448,718.985802,1008.978641,787.816892,1400.968708,1238.83877,576.125544,1356.498746,343.525291,1214.497778,494.118376,1921.707438,1752.833271,1151.562239,1071.501606,1137.07873,1608.727462,461.925422,1616.586399,1137.960108,2304.178691,419.008223,483.430306,1150.88336,1604.600387,609.8092,705.520438,999.253957,1364.74706,789.298434,1490.131892,1181.551144,435.097783,1673.69105,2437.808513,2007.543851,610.644954,1238.132183,1303.923719,988.810315,1254.303019,2076.902761,1837.982223,861.264651,1065.891885,1525.973078,806.816414,1639.319494,1573.332704,2046.358841,1350.792902,1380.317743,739.403306,1460.433569,2207.911343,872.932605,1320.931874,2215.670632
MIMAT0000444,305.273347,172.589697,215.868162,138.428119,368.309594,167.655736,210.166223,249.523378,334.765795,581.549695,172.089281,480.329166,320.921732,244.207456,232.375084,182.888764,92.023381,215.223595,145.89623,185.679944,197.179449,145.979952,189.798557,176.69868,211.667521,148.777096,298.969727,240.661141,244.701986,282.659301,122.340827,245.048337,245.619233,141.246038,90.214182,107.347281,208.955887,134.193715,176.995321,88.537326,126.434481,235.578175,291.257573,289.536894,162.122932,112.988929,205.312088,267.262176,286.683314,107.364344,211.103724,134.5678,318.545575,236.518217,119.780024,332.355126,182.857379,403.151341,230.604756,228.290311,148.81874,253.295554,285.752162,247.803076,249.297556,107.90449,179.14607,190.575858,334.627859,226.911363,299.718771,268.368188,244.618882,333.13128,41.740223,224.262285,158.616141,179.359948,166.668122,281.891991,241.795927,232.188898,173.115559,320.719432,308.222397,265.607111,227.265967,213.038244,149.649975,289.707136,162.283304,120.23025,136.326489,160.340228,276.592386,205.418736,104.473635,148.353539,305.398332,286.710192,189.34205,122.663605,179.335796,193.907161,138.551931,268.160524,160.09975,104.869741,289.133301,184.995926,324.583183,242.434156,109.028158,378.645257,331.728093,116.373792,190.088333,220.518583,310.1779,199.68109,165.371458,197.368979,123.360457,129.31934,201.390623,150.567344,114.92349,167.207909,496.028804,81.454725,319.574557,349.671433,206.128512,111.564457,125.203177,436.460527,265.323419,445.809042,143.931637,237.277784,319.462346,218.620006,188.779837,137.880297,176.945943,135.560727,138.509647,150.918441,185.393228,355.662209,173.103638,289.593525,395.180931,167.902262,273.131182,200.741478
MIMAT0000445,5525.484431,2798.793183,4482.311246,2879.186564,8552.638898,3220.192431,4194.529785,5020.849498,7409.477925,8648.507698,3097.934634,8565.749351,6631.660598,4869.908104,3969.506541,3547.768454,1660.101801,3037.235403,2011.599544,3029.558374,2663.610491,2774.5701,2318.033564,2782.505268,3115.745933,3324.116552,4553.11286,3582.376656,4423.875869,4254.235041,2227.70064,5241.519749,4203.792674,2808.190047,1672.066069,2181.02968,4613.977106,2954.836249,2195.196989,1154.680975,2974.134925,4160.8688,4427.11514,3752.02475,4129.508751,1952.600016,7668.797013,4758.461188,5097.140493,2599.107613,5847.54954,2990.681589,3161.07726,3075.714171,1661.313365,9219.432679,3722.688416,6609.538444,3722.815273,3942.291749,2295.136215,6416.531525,4866.807117,6109.276502,3720.415129,2344.989819,3222.196419,4395.012992,5353.651442,4804.167622,3611.69913,4270.092715,4534.398783,7624.660282,539.513309,3616.740503,2792.981809,3308.780062,2577.61661,5879.046337,4058.023961,5908.620683,4639.226838,4684.453132,5232.116912,4445.102927,4314.632479,3293.586507,3348.719186,5090.253505,2681.701604,2950.442328,2162.058566,1991.289481,5991.568264,3537.728458,1629.816277,2173.740118,3990.335068,5368.237876,3134.17594,2429.135058,3584.608562,3686.493429,2372.343051,5990.834348,2582.271125,1355.474566,4669.553288,3308.900222,4275.50049,4499.271237,1944.248532,6704.584532,5825.057412,2180.045251,3435.58554,4692.361835,4070.377858,3420.665897,4520.791334,2059.826329,4081.411317,1669.326878,3619.245178,3472.105608,2245.541264,2942.120361,8872.472323,1559.30888,4212.429349,4269.578487,5145.819643,2312.651071,2856.616653,4318.239073,5140.617629,8102.971377,2491.415819,6127.544031,6012.467228,4448.294103,2500.078177,2175.444691,2758.644309,1772.781756,3047.816227,3648.082281,4392.927232,7836.518528,3399.745725,6305.083903,11700.519265,2440.948735,6205.152016,3896.316921
MIMAT0000446,10319.454381,5328.870761,14685.546194,8766.522642,9745.169394,3607.270116,9943.908827,1090.175464,8517.464492,2516.829437,8889.350414,20109.024343,3474.814529,4240.665132,2928.413661,5922.196072,4018.300971,5614.179273,5956.987317,4883.602921,9265.058319,6049.133423,4550.108978,3499.585657,2916.924438,13663.54059,15287.728043,4953.890933,6559.530737,10861.927566,878.60524,424.286751,4116.906958,6353.417375,5714.944288,4994.02035,307.36737,3402.148644,1666.577029,2466.029627,18787.443843,22938.864495,18211.517421,263.98952,3262.101255,5035.873646,3974.713694,5976.818366,4078.945968,2952.671248,7610.017427,7455.056111,6749.590673,4232.894211,5589.184477,3440.724248,3199.534862,6241.42582,7371.957528,2811.066278,29412.960911,4150.317033,1661.679428,8804.571209,8796.928759,5282.613961,4512.269295,5301.697392,3427.898345,4625.516502,21322.239631,4685.07535,6333.384565,4634.600321,3507.255115,2928.659322,6976.00477,12369.935058,14513.441579,7358.750947,10184.991533,21941.521102,15305.756637,7272.889502,12163.829294,2124.856893,5834.399261,7373.053071,4058.094465,5993.155717,3493.289492,15720.755337,3461.137908,7023.828987,695.45943,15513.989014,12359.451604,18487.701964,4901.373683,5587.059645,6347.686431,10426.010697,4537.132411,18584.387429,2012.786439,10525.466405,31268.753411,6920.871808,6748.351034,11577.461929,7675.215007,7387.304631,13858.052644,7464.48752,16436.050472,20056.987461,4116.561331,1519.841459,26176.327888,9143.783589,4506.192694,6538.795098,2368.173259,17893.179593,6302.462586,2381.530108,1605.253253,8369.39038,4744.080844,3058.899544,7324.013672,7565.953586,17296.664171,2265.806325,3203.021421,2577.342691,9297.099066,4538.739291,6571.3241,6214.202003,93.00407,21169.892662,2694.262755,3169.128109,6493.345265,9562.277354,8234.277795,4445.934031,7889.126261,9029.688272,1878.089266,140.193951,109.732895,17217.143381,1364.835284,36695.971349
MIMAT0000447,4116.77129,2390.039609,7252.20196,3088.307676,3667.974203,2034.245188,3051.036935,359.47706,2829.585823,764.498053,4216.951734,6601.446977,2063.940203,1312.812875,523.641026,1993.213967,2657.635253,1439.271934,1474.878261,1795.089787,1845.509592,3372.517299,1329.5765,1163.816411,976.882109,6766.826365,8353.187295,1994.775789,2429.676634,5335.460005,426.854372,242.640657,1429.854824,2329.513975,1503.224846,1472.291663,128.551202,1607.428343,404.131732,1079.480489,6477.404902,9785.532752,5639.390907,121.513786,1572.549729,1370.261817,2679.378535,2167.461404,1937.702872,984.493593,3398.93545,3256.774788,2100.961302,1352.160965,1701.789876,2041.949017,1131.478911,4426.214233,3098.922591,1362.83235,12395.861545,2853.044772,691.185191,3632.409153,2642.687761,3647.57519,2680.11368,2810.159574,2849.594109,2451.837337,4762.589063,2350.080884,2249.016339,2091.964023,661.265592,965.832718,4372.215709,4660.829496,4638.699789,3632.213574,3340.137151,10317.177154,5568.963197,3529.038421,2843.958312,842.076909,2521.343369,3046.015242,2269.863284,2992.906037,1194.076096,5084.079153,1298.536931,1649.462078,260.441004,10273.025869,2757.249443,5922.086764,2658.817095,1749.31109,3142.709018,4666.360931,2601.949553,8497.151779,592.302984,4720.332667,14609.897346,1948.320462,2988.944943,3347.448727,3235.320709,3663.530603,5005.122761,4129.502886,5244.643097,5857.956863,1398.507032,596.400143,8886.620433,5106.038709,3361.99453,1638.55466,1250.430596,5164.139838,2991.929258,1354.351378,427.348752,4415.830814,1593.837708,1314.944697,1145.903057,2786.177895,7208.160933,991.752551,1599.135204,1471.663295,1882.037544,2266.957074,2240.846579,1495.881683,54.115719,18551.361164,1406.39049,1115.265808,4181.917552,4204.061285,3253.768799,1497.564518,4864.506798,6488.607364,716.030663,269.264443,573.461256,5489.846889,610.954928,13623.583327
MIMAT0000448,464.906636,340.591569,1269.665413,366.183788,642.586394,184.020541,1086.55394,67.827464,510.222546,212.580063,490.27974,640.116896,256.540499,120.257669,347.531098,197.738705,317.520676,334.313988,266.857471,173.833898,392.608411,234.661582,399.205932,241.943633,162.035137,812.431998,695.100879,455.900328,231.423584,398.751516,62.375081,22.471681,294.07473,379.498184,499.074788,349.625347,25.999119,117.459729,60.515108,139.635091,565.130632,814.617473,1082.082289,32.589275,252.08052,204.754949,278.398726,193.105633,228.705189,143.287382,426.226223,195.181819,253.768447,110.440324,257.324029,392.401716,184.108753,294.943542,347.276521,128.793324,1397.602077,184.766961,111.465897,238.495917,468.853176,176.143155,168.530007,453.86914,184.663057,416.829996,544.920379,314.264884,300.872698,258.855999,326.387016,273.253205,337.537061,509.837502,551.428137,475.604513,377.916444,1013.271819,1475.534372,409.943541,691.903763,138.460502,445.459141,304.703091,159.282616,339.276797,147.203124,918.030973,223.654994,322.128876,36.578124,322.402964,289.852314,1504.477353,147.659977,311.339482,254.839178,661.987774,383.749099,1096.399401,115.068551,383.118042,1414.921296,236.554277,194.214103,939.919487,295.572511,237.687703,591.829879,463.22406,1164.080011,579.727114,224.13712,59.997895,1374.234235,379.394071,168.721965,334.220188,162.590727,797.125169,209.229737,158.491943,151.924442,321.566027,151.979136,222.856469,222.511232,226.796713,1258.774547,144.84888,181.935864,116.688278,450.652677,183.527883,194.336846,368.915372,3.123563,623.010377,127.397436,265.003975,336.19729,484.325321,372.043355,350.696377,460.178379,375.916321,84.482366,4.411029,5.70041,737.258032,68.795688,1510.606453
MIMAT0000449,123.177242,678.124585,142.576497,164.457339,679.260921,598.818196,59.840252,2195.244038,201.995797,319.034717,158.112487,62.466137,391.80015,321.742008,323.899732,237.20829,112.66863,560.15528,1165.40141,738.036456,573.408335,264.856135,810.867774,2001.868618,432.385655,137.4825,117.222483,217.781385,404.042813,233.77837,87.405426,124.664329,882.502668,42.068152,159.323211,210.653665,94.848639,409.017299,3624.627593,487.999738,17.097902,47.578404,220.120932,376.823747,1484.584871,63.622597,215.354527,233.916617,559.05713,2436.593818,53.898823,326.941247,345.013647,433.942514,1077.893303,430.364298,115.674106,425.205118,241.833729,235.752587,58.69559,1147.637042,92.619783,563.95559,118.633555,1181.570988,1370.356855,224.475527,24.0522,91.633366,189.428291,251.156927,107.677765,453.920903,29.899873,27.726082,223.113667,268.302248,193.757429,52.558951,188.406681,409.923499,81.267512,438.060378,364.816628,256.807419,1787.191005,880.845855,1538.81456,62.421057,1361.157637,122.230752,1015.578102,91.540219,2272.594207,186.6177,566.610969,18.126233,580.561527,476.482026,1349.379205,560.691378,526.416942,34.086126,62.883269,70.743088,116.628958,602.403645,185.462689,84.843596,393.536085,837.931307,74.076548,523.147652,73.990743,164.565393,736.331189,374.513185,118.673688,208.376877,862.994895,236.973486,38.407259,181.872918,188.69872,712.836378,1165.039932,183.430771,957.284456,1259.344982,425.570095,627.856746,98.047466,869.401474,2065.013987,194.274392,38.200519,831.476084,101.975855,447.320205,372.640997,594.691724,2020.600552,312.756843,1036.275347,22.243712,67.644247,72.519252,231.658917,694.513502,2672.515669,519.350508,90.351501,131.695849,240.716513,121.73307
MIMAT0000450,269.922032,153.146047,268.123951,121.272498,75.956249,78.150284,11.06138,23.403453,41.266351,28.643984,93.469812,566.703088,42.723935,44.832902,64.142276,20.907156,52.493338,33.861846,74.804976,35.53815,64.392782,41.131159,33.297993,16.886928,42.333505,111.972291,153.302454,19.066463,39.56422,42.239501,30.652134,43.605763,19.215109,15.604631,42.831045,104.711913,31.487822,60.499805,20.293037,47.562701,207.424539,193.205919,133.6832,709.59466,54.515437,46.413583,47.28315,201.566446,35.52702,42.095728,125.291125,159.843143,167.166774,21.501656,44.917507,54.388702,50.915379,95.428973,28.757125,344.37013,77.64456,55.516835,32.376655,47.990033,63.159835,17.816007,16.5876,92.214124,82.934084,69.980742,76.876734,39.309671,31.252122,78.114561,43.653814,47.028015,49.925863,73.978076,53.719476,474.691166,176.27276,56.036503,46.149142,41.800371,32.522032,38.431319,59.047506,90.39525,59.85999,45.897835,39.928204,29.507423,45.020287,70.538114,28.027394,51.1806,46.585869,44.171694,121.409314,43.259137,66.419623,49.85682,93.145031,86.231125,51.663432,46.425152,164.340803,84.957764,43.757077,40.208487,50.0329,61.338762,93.11735,105.968423,41.301246,124.227239,79.586434,29.577911,168.28801,115.943859,81.848102,36.075389,234.558613,323.955273,21.464246,48.302306,35.898275,53.487257,48.06877,82.827557,19.253871,99.851609,90.126215,76.430899,21.938503,65.685455,28.744946,47.217502,115.669756,67.263093,75.043587,46.06501,50.572922,16.949824,12.84285,28.958794,101.265047,141.958532,51.718432,27.14051,28.728873,60.603677,125.551532,70.423459,39.663517,146.852589
MIMAT0000451,549.418378,2204.997238,2491.582727,564.952368,5466.764189,1198.304341,1068.601863,4045.819025,878.180837,2462.614387,816.11376,100.461002,3773.094549,1617.676612,4103.980257,2071.37156,728.98522,7053.164244,6065.392637,1430.066158,3423.070198,2937.192719,10171.303372,5392.303305,5478.539392,995.677091,576.980138,3257.823076,3257.815356,2345.487773,1786.390239,81.058566,9282.429814,212.512549,306.231629,1206.822367,1078.963466,2154.179246,12374.202508,1156.930561,51.743648,117.861396,1387.835633,4599.673484,18206.732503,963.197166,1190.168508,1101.398872,9217.534653,1570.899224,229.897393,1931.22345,2178.275934,1433.769524,5711.629095,10617.842885,582.750354,3491.092745,872.299466,771.930796,459.85915,8928.668243,1307.791321,4254.825326,388.98439,4137.01114,7501.575823,2369.463881,212.001075,743.859294,1898.0514,2063.86398,415.369111,6399.634976,164.449303,168.319395,302.899499,3251.241556,808.087858,289.863015,800.397463,2269.412431,275.093905,6313.355442,1953.090459,1287.808382,6605.735194,3764.098865,5021.358664,380.034075,6872.963534,403.201445,4279.639258,624.704069,1368.591954,1138.855405,3274.655813,112.101072,3961.037454,3478.413531,7136.188825,1600.166505,4108.707415,172.913722,143.248606,525.930658,517.938592,388.814516,1303.624299,581.73196,2643.334798,1362.23168,382.120216,9987.482993,340.603466,568.303922,3452.923266,1247.219437,142.832681,1555.580105,2540.641653,783.071231,223.85945,697.085678,1735.804247,3809.089665,4575.866166,985.739622,10866.61039,1994.954382,1312.24062,4563.409337,411.376887,1440.784082,1695.413091,642.481025,120.085795,4405.358466,1635.692715,7298.664641,846.485417,1917.739219,3682.171966,991.727671,12320.003881,239.224812,770.661239,160.71834,1328.981937,4495.805272,3151.89832,699.62727,316.087739,1212.317979,1264.582327,63.979636
MIMAT0000452,75.48979,24.905349,133.227218,77.791871,103.244879,22.376363,98.011081,9.446485,45.751824,32.155889,33.740857,123.161326,38.589361,15.823377,20.067905,17.390064,31.528011,37.73587,43.149916,29.47738,58.016019,31.858817,31.694757,23.181148,9.634522,84.125268,107.641078,30.506341,28.724707,33.73847,6.558754,2.94272,26.873307,48.422617,24.001938,45.679694,4.910945,13.515913,8.190015,11.569306,87.73923,97.75988,124.019354,4.09413,33.591757,38.847155,45.469932,25.880136,27.138696,20.238331,44.442888,47.040222,34.594235,14.66022,22.078098,41.247807,34.178219,49.878642,39.986098,16.582831,101.6774,37.300372,8.537128,45.372394,56.142077,23.194424,21.010959,32.845793,36.144015,55.047897,81.650125,29.747859,22.160595,52.420925,34.026055,34.023747,41.087314,61.332251,58.770026,78.713876,54.712946,239.70438,145.651193,47.048848,114.072746,16.162706,60.386115,35.040855,48.507233,35.249537,20.735248,103.125945,14.464349,41.135161,5.344206,64.759127,59.955186,122.220088,26.016281,33.154812,24.215488,43.130106,42.990015,142.439371,16.69929,97.050676,155.858697,40.089446,25.58106,104.394512,50.0329,56.957423,57.904907,85.558481,129.615612,95.669253,18.591057,9.368092,130.694259,41.868616,19.385077,21.174685,26.610744,85.211874,26.317034,23.773792,7.963782,25.699583,36.20499,13.270714,19.452365,40.958241,113.009826,9.245674,22.357711,12.673429,41.037193,28.433898,36.128589,41.265701,1.327514,131.398553,16.600272,16.786844,18.836181,50.78281,43.082943,32.339666,60.806335,94.789244,9.738601,2.684973,6.840492,93.102202,7.112079,137.835324
