,108d4b89-d1d5-4528-a040-c7e5696c8417_01,14213209-2217-4812-9a19-d9b2b6718467_01,158fd4c2-68dc-4ca4-8130-d5589c80d825_01,1791e250-70ac-439c-828b-15ba811935cc_01,1d2937e8-6104-4330-b7dc-7bcd79dac927_01,200f77a5-803c-4891-980b-5c3b08c91254_01,245e4254-dbc1-45bd-b5df-504d8c3822de_01,254f6921-82ac-4fe1-b1b4-ace94c420d05_01,276dd6d1-a5ad-4b64-8536-916584805091_01,2aa77a19-efde-478a-a113-c0af75708b31_01,2aad74b4-8d66-4563-8958-88d83f86556d_01,33ad8d6e-10f4-4965-9721-1a9984f9e87d_01,3428aa0a-127d-492a-bf4a-ee82563d3701_01,37c77a51-efce-46bd-ab8c-93e17c04c6ac_01,3af5b391-e72f-463d-a086-a86c6c30a51a_01,485b221f-f40f-46a0-a9cf-023f807e6146_01,4a31c620-5c6e-44ae-b7f0-0553c4b7eb33_01,4daeefc3-0e2e-4537-8e13-af9717b3ce29_01,4f0124a6-4a5b-4e42-b9ff-d7de51d2148c_01,4f4906dc-7ebd-47f1-a8f5-b35d3950e740_01,51f6692d-a05b-474b-ba99-637c8bc49b30_01,605e9e51-270c-48fb-b198-46b5512b29da_01,6385194a-d75b-4bd3-9e70-9aa36250d5b9_01,64d00705-5070-4338-9433-ba74424528b3_01,6717b82e-889d-45a4-9638-4d0e023399cc_01,6db758a1-dd0f-4abb-a0ca-80c4b135e8a5_01,6dfe9121-29a0-4593-984f-1644166e1d39_01,6e22b287-5b45-4f5f-a825-b200aa6943e6_01,75a43851-8fa0-4259-b843-88dc6fbce270_01,76b0106c-a4d2-4b29-bef4-fe03a25b5d21_01,76e4538f-3383-46b0-884d-978d031ee182_01,79823022-7feb-49de-8de7-607721b595d2_01,82c37e7c-0899-497e-9753-84da21f8e0fe_01,83059a0f-4de9-454c-8e51-9265ab5f3558_01,8481dc3d-109a-4f2d-a0ad-8f0fd2a61a53_01,8703c5c3-d519-4d78-a5f6-2ef53fca277a_01,89d0b316-65de-4f4c-988a-3c3861a68090_01,8b7c42cd-fc2a-4023-843e-a411821f94ff_01,8c113bc1-101b-405f-9eb1-8c9e8ebbe185_01,8c8d4495-1a1d-4942-b0f0-1445fd05dfce_01,8def73e4-83a5-4998-8f6e-f71f21c946ac_01,9205fbf2-f4ba-475c-8351-1aae5ff3b8bf_01,98315e03-ffe8-449c-8f92-7fd2c0f20b79_01,9f15bf13-11d2-400f-b6f9-c8be0a57c763_01,a1206473-cf9d-4bca-97c9-67f35817b806_01,ae10b73d-e7f4-4334-8452-167b60d71cb5_01,b0770eff-dff2-4e10-8fc9-c07a81efcc5e_01,cdde118f-4673-4e7e-b965-1f9fe007050d_01,ce2b2c41-7d28-4d8b-a037-af842a8fe20f_01,d9952e44-b573-4854-893e-b3bbc5287f2f_01,ddfdd05e-058c-4877-b389-724a6c101353_01,ebb834c6-374e-4077-a4ce-c74a850be358_01,ee6083aa-9453-44ff-8cc5-79b71fea289d_01,eec002c4-7602-4179-8eb3-2b0508d5ee1c_01,f2cc142b-9fc0-44d9-9ae3-558b4eace375_01,f98c183e-aaa1-40c4-83e7-c248cc3adb55_01,ffedc8be-1056-4205-b9d9-99b5bdb872db_01
MIMAT0000072,90.919416,25.909015,103.510563,100.574574,306.240418,31.636184,66.274242,22.394559,73.083839,117.983962,90.778381,68.18765,145.329799,190.077667,155.757079,23.354816,119.538581,85.982249,165.364574,440.679387,138.274118,112.165692,42.193523,194.081012,61.945445,158.273011,18.71124,149.266959,26.871965,41.792669,40.68366,47.159513,28.469564,138.097232,319.457473,59.745605,24.721576,81.419432,330.980781,61.925246,22.428666,392.777429,32.916745,105.805609,91.195362,148.229232,224.713285,40.648082,397.182025,149.556223,41.984579,84.334465,207.424008,347.844984,100.64842,131.986566,248.062376
MIMAT0000073,170.065099,115.828536,233.30101,255.897403,2068.34065,156.633498,132.247241,125.893739,251.148284,196.003413,253.664413,194.236879,251.386663,238.548472,478.643975,103.681226,350.990853,294.966883,414.513866,903.996411,252.671682,274.722237,238.327475,461.850539,213.505306,384.995718,66.46679,351.348012,138.743201,206.998735,185.850356,162.384307,148.917718,352.559487,994.875809,208.740819,95.678159,189.10788,785.520264,179.760141,88.046412,687.618232,89.34545,390.454281,139.98488,169.404837,507.075526,272.482315,741.26485,487.841935,111.243807,263.73015,407.835461,888.747351,268.94578,234.962223,339.018579
MIMAT0000074,401.397236,330.503227,666.650936,577.898252,5909.498324,389.090677,395.53673,332.892101,512.515917,631.111892,751.49692,474.999078,812.969718,662.768174,1256.811283,307.858934,671.236189,827.067351,1333.205941,3079.473585,611.607156,806.755922,552.471436,1096.505832,506.094298,887.681623,227.048326,951.101311,677.516588,506.69147,428.895596,520.2132,517.318742,820.123784,3331.304195,418.588037,280.806905,480.824564,1800.826169,386.413531,272.480475,1591.384324,215.78755,1184.391144,358.245776,508.214506,1504.755449,686.952583,1583.152685,1117.944668,362.844815,689.471248,961.827338,2276.368647,584.824159,713.250171,764.652271
MIMAT0000075,873.872963,710.429534,1178.482962,1288.408943,12800.719649,518.730254,454.581058,482.390914,1183.896284,646.38843,2117.679365,1371.408511,803.799387,1113.827078,5900.226468,797.720288,1717.07579,1093.885281,1672.01958,4130.23736,1564.045581,1288.398749,822.773691,2611.790752,1196.166567,2112.741788,327.167421,3041.510091,678.278913,1079.108167,1039.018404,1584.219357,868.686692,1811.268642,8788.667486,1166.330106,451.215933,767.171337,4227.552641,812.45922,657.660353,2731.57288,678.973176,3265.761186,553.403851,1874.346407,2541.260181,627.94278,4247.670605,4082.742177,546.412419,1267.236319,1463.409594,4323.118603,727.088596,1694.916586,2078.142544
MIMAT0000076,129633.21101,138033.867222,108176.404884,68700.949624,36678.704108,201352.962675,37499.774065,99624.618757,372953.962132,45118.157874,109269.808646,161495.413893,58779.425048,170596.407235,212847.115769,44570.070291,139011.194564,138255.532768,135080.808159,51130.882156,94258.081951,234887.179727,318376.498738,47659.516174,57317.914977,87770.907252,182869.273639,195628.335572,477554.475761,204951.431194,67218.916531,115545.428954,44276.498355,114201.608241,169950.741512,11629.740254,270694.64797,23705.391114,30665.760572,99043.591132,233124.283351,61681.520387,42583.948802,329671.722303,116601.781164,151898.209686,404713.331728,68189.540046,112839.785106,90948.264171,184631.315655,133608.357397,162919.3785,58520.989089,70868.03855,196722.70826,40928.017884
MIMAT0000077,46558.154959,38108.023607,21669.999027,47547.84592,16402.210904,23388.768297,47546.64803,19689.054567,51835.333432,16269.647227,29111.371394,37917.851867,37850.139658,52632.084953,17693.880478,14920.188458,56220.150709,22791.267003,11908.454171,12806.490061,32785.134614,56948.865499,42742.697638,16157.330858,21234.073053,43016.4401,72979.420008,20279.941568,16199.983839,46322.530817,26062.111003,59681.823993,16727.937063,15296.32602,31729.258739,7622.35909,76250.02005,25856.692801,49121.014012,95078.959995,75363.650218,80798.406899,16314.949505,33041.749392,33086.893068,19882.670867,74210.679883,44058.455867,41037.983186,32223.418917,59692.568701,44552.270908,49203.410614,28160.750852,13915.881751,21243.82571,33550.642865
MIMAT0000078,2253.144513,2307.644073,1490.802396,1854.546458,2379.777089,4771.561824,2234.948216,1290.713461,3660.695263,974.288367,2436.530382,1628.491969,1222.84361,3411.98423,2455.522704,1210.08612,1451.065554,849.757107,3436.275842,2482.594486,1728.032915,2288.012701,2664.125386,2071.062364,2035.527365,1666.871834,1310.205683,1879.376186,1120.618154,1402.376252,1911.339474,1663.95297,1607.678706,1174.512373,950.565327,374.885234,2528.960569,1086.318094,918.024392,1956.130035,2976.154069,3130.53578,1601.817631,2785.687976,1382.673671,1213.321411,5302.527613,3524.889523,1659.350038,1012.319593,2501.606601,3349.33592,2290.152971,8257.388884,807.937328,1670.61015,2557.523083
MIMAT0000079,27.908118,14.369705,16.62605,12.166281,5.845521,10.488082,18.978534,9.078875,22.916119,5.046712,18.348823,36.141235,31.09938,12.217848,2.966802,6.723357,8.854709,28.83135,24.988425,14.714466,9.44567,12.388446,26.700588,8.475909,8.878848,7.57546,13.823976,8.727753,8.766739,9.287259,13.341071,5.347987,6.083239,14.861456,15.192164,2.766,18.305289,17.561055,13.697685,14.154343,27.248047,25.085522,4.310526,9.869926,14.591258,10.38419,15.294621,109.329323,7.433888,6.661041,32.177963,13.685856,22.513995,17.084723,36.116099,27.442752,10.95609
MIMAT0000080,1161.239371,741.346174,983.260962,1008.990072,870.658075,1868.254208,2040.041697,535.048393,1367.225238,803.791309,2165.000009,872.908731,2646.637069,3550.987288,1040.976472,534.56578,710.590456,1171.508148,2460.257382,2075.494265,762.21312,1433.377092,1404.253174,1097.889658,786.294201,1166.620895,747.192856,945.954175,655.409154,904.793438,1184.44928,664.365737,676.212976,720.894981,852.660266,188.456816,866.38743,867.167751,979.524202,1322.369384,2468.079934,1679.011835,864.848285,1078.190737,1630.573063,967.053206,2511.847445,1617.653492,1492.884042,728.273784,1931.90347,2062.12565,1608.089685,3455.556303,853.953269,1370.308041,1778.400506
MIMAT0000081,12839.478824,13399.750403,11247.969119,18492.338491,11919.020028,9924.993015,5607.403438,20231.97132,19751.527327,13078.078785,22266.456118,19628.963053,12147.697339,11084.592375,17040.195217,21038.914198,12342.112531,10952.671378,24183.282744,33593.87999,7379.692331,10281.241239,8837.235521,20659.249267,11464.45023,14847.90234,9631.401145,15180.695823,9745.566314,24113.477457,17381.036951,7044.756324,11172.722168,8848.282817,13433.249951,226939.256605,7454.970405,8212.622857,17756.951084,16705.308021,8254.304728,17717.595434,16813.141827,20926.612361,37296.16697,21401.613256,21150.108473,23690.402906,11324.201154,23341.396893,9140.992485,22314.23392,14413.384975,17195.774878,7668.529731,10033.853902,21333.98436
MIMAT0000082,1788.081881,1568.25741,2016.578857,944.914335,1895.572988,1942.01466,1657.458569,1432.041287,899.922205,2061.377578,2173.530608,1581.846635,4909.914463,1729.326205,1613.074697,815.767191,1424.870367,1654.134696,4701.131094,5044.043416,1608.650135,3196.5548,1114.502343,2033.180243,1003.929203,1067.057702,987.925519,942.821133,2510.718293,1563.474489,1814.781827,1220.799386,1818.888807,1577.372176,1366.661844,435.184039,1064.914892,1778.310708,1879.657738,1011.327722,903.448865,3337.061797,600.208108,1976.748822,3283.336996,1191.840391,884.735025,2223.169747,1314.736221,1303.185037,1337.070884,5422.188322,2052.095169,1219.849303,832.68694,1385.989616,1482.999566
MIMAT0000083,956.507159,963.205717,971.28306,315.917712,402.691538,946.850352,687.444647,632.494991,410.632088,1361.794066,730.411869,430.312135,2306.736784,595.069277,452.437229,390.780321,305.487484,1117.086838,2631.869061,2630.493731,508.7543,1453.801294,777.943074,621.854941,384.268251,525.141735,416.394899,396.32951,975.39519,514.549921,829.127704,282.713996,1133.915962,646.816333,945.501272,218.145219,458.953221,454.845813,552.659629,825.905843,362.009772,940.191648,983.322443,730.769337,1102.855904,302.159586,1264.747543,2059.876588,863.127515,531.1387,1194.262026,1790.997738,1017.558701,992.280779,838.553514,928.087709,587.70111
MIMAT0000084,664.12601,862.617779,659.321171,422.16988,776.480215,2156.762449,730.824152,273.879409,927.483488,801.608948,1212.63178,409.303932,772.301296,951.38979,542.430206,287.099096,381.490409,425.987453,3279.363236,2233.580448,591.928675,1337.785138,1215.70087,733.94451,488.543087,509.720263,355.373916,448.696031,656.933805,437.751425,673.393825,329.144239,811.990894,364.677289,412.298479,122.257211,807.131137,280.251203,393.878309,947.987042,869.342462,1260.11797,477.945911,1380.605279,703.26823,391.036042,1742.410337,943.035498,530.726516,336.541152,1035.517421,1944.501263,914.21578,3165.457691,361.710993,936.451214,916.590474
MIMAT0000085,151.314332,60.309218,69.185816,98.546861,124.379724,287.304693,73.504161,77.170441,67.819328,57.287011,294.868785,111.272273,99.876858,93.736934,93.948714,82.685484,28.900788,92.635637,127.881937,102.623967,75.040603,58.594015,57.686457,98.078373,46.66557,60.33313,58.786803,24.616741,59.461372,99.659444,163.395089,53.479862,75.188848,102.201097,42.411462,16.964801,66.42744,84.176953,45.006679,44.23232,126.416111,258.415248,25.210046,78.564612,259.754787,38.482589,75.296598,167.077633,75.931858,159.706379,142.808855,69.169058,99.652104,83.715146,83.782018,47.306077,39.68998
MIMAT0000086,1061.816701,1024.821273,1379.246972,529.233135,1594.853342,1285.907713,453.074823,1929.866293,1620.231589,1087.498407,1686.321099,1734.245139,796.423251,1571.896226,1884.16618,475.942829,848.453365,1667.782673,1682.676409,1761.585662,803.931499,1991.192145,3710.392891,295.964896,601.903255,734.007999,1921.672238,2351.122434,1241.446709,2746.707129,6463.154145,572.234518,1481.147311,1559.538428,562.110106,524.433648,2364.779115,346.721969,378.223812,1514.514574,2951.315712,1461.145789,821.743025,5134.730414,1114.103332,707.244828,15299.327505,1709.602255,1206.944844,1148.712333,3721.610996,5183.980446,1780.450916,795.80645,8546.132634,5012.614521,783.877105
MIMAT0000087,36957.762153,40776.43438,42723.404043,17121.604393,18695.604165,12436.458983,4724.75102,14958.052568,4114.991848,8715.672979,28408.804671,80358.164973,11047.656412,26049.853627,12927.343033,17023.18343,19247.802248,23612.363363,10782.872641,32799.298837,26706.84575,33496.693449,27319.316954,7764.451381,15444.032188,7158.268952,17551.28241,14006.924913,5083.184933,17706.339696,23115.715823,23467.206391,30492.849518,35041.714969,52271.175926,1962.753779,53173.467144,5266.574626,41558.494569,24643.06289,9524.212024,21228.881338,2600.161606,76807.765813,11111.698811,106019.532052,5488.416086,7377.767014,7478.226009,23200.087669,4670.707607,30201.725822,16034.023444,22188.272972,9441.88525,35071.835976,13284.36031
MIMAT0000088,6164.859796,7389.076761,5118.320263,4360.394383,2793.834921,2143.007588,611.831761,2533.308878,1305.289785,1634.862146,3252.248175,12035.387076,1288.032699,3220.304225,2565.541592,2116.441688,3578.409561,4540.16984,2967.375406,5495.287033,4094.960474,4171.894086,8540.562314,1477.056841,3701.033933,1225.871819,3911.626532,1679.30923,725.54308,2329.673438,3683.324205,3249.387777,3802.268415,6137.553073,8346.406684,380.601635,9747.849362,1596.894858,7504.374176,3650.050887,1466.575175,3943.925264,495.44926,7905.021305,1866.161081,16246.880673,1421.223285,1376.287985,1456.245594,3474.684317,676.656546,4564.787918,4155.861796,4501.824815,2439.395075,5452.221258,3800.522296
MIMAT0000089,6.322933,0.435446,5.184468,27.5769,3.247512,197.38228,0.301247,0.907887,61.006425,1.636772,10.944911,9.613925,5.98065,30.84506,1.483401,0.353861,6.149103,16.206972,15.06655,59.612452,13.118987,3.683051,45.819529,5.535288,25.397634,0.541104,1.117088,30.211454,28.396617,24.468357,5.151503,2.187813,1.946637,4.344118,2.321025,9.5888,14.342289,0.725664,3.354535,9.908041,16.126395,18.212776,1.436842,10.659521,3.191837,6.210154,0.0,41.068579,1.858472,20.617507,32.790875,8.137536,16.977767,20.159974,19.066366,26.658673,15.090461
MIMAT0000090,38.155631,26.344459,26.637434,12.977365,17.211815,32.151992,31.630889,30.262917,27.561279,24.278782,25.591779,12.106424,27.311636,28.842133,29.049931,13.564667,8.608745,32.413942,31.603007,29.051638,11.019949,24.442074,16.152208,25.081771,15.073392,17.315338,10.333071,9.622908,9.529067,16.967109,17.039585,7.292709,18.73638,16.233284,25.531278,5.3476,28.307147,10.739819,26.27719,20.169938,12.048457,56.01288,8.49043,40.664095,44.077758,39.70426,32.942262,7.148457,15.133272,38.06309,34.936074,21.453504,25.097568,42.71181,44.732631,23.522358,21.912177
MIMAT0000091,17.878638,11.974755,8.044862,16.221705,12.340547,4.470331,18.074794,8.170987,52.64514,24.960769,16.256413,18.515706,5.781295,5.207608,41.164371,8.49266,14.265921,7.335787,21.313656,46.784456,15.742784,11.38398,17.800392,12.454396,25.604118,12.4454,8.517803,12.084582,5.145696,6.072439,10.831364,9.48052,9.003196,19.434214,9.495103,5.532,3.585572,23.656626,62.338441,7.077171,25.765161,51.545594,30.957415,41.848487,65.660661,13.743782,77.649616,11.773927,5.30992,3.806309,19.306777,12.206304,29.157467,39.636559,19.433029,13.067976,56.227471
MIMAT0000092,20538.194982,13497.507945,19545.440242,20673.752309,185212.127503,8871.542481,18940.877352,9796.106614,30382.748746,22599.998229,20674.293448,24516.931457,20951.61315,28918.644358,80328.128246,12701.127131,43074.227307,25423.790983,30648.670103,73483.287577,27860.00467,18670.565339,15424.699233,53310.8716,22744.922488,30637.596739,9085.005021,31862.788981,17889.487227,21343.373574,17579.700018,35059.209498,15178.170806,34291.097076,175074.510178,15417.132201,12187.736776,32884.307343,71447.121212,15880.109899,11350.572639,64473.573428,14679.03953,34564.08681,10892.221977,34184.450102,43561.434963,29808.780214,72896.70745,51192.635551,10849.488972,20737.771225,31954.738754,74314.791503,21465.796673,28075.241227,38206.15348
MIMAT0000093,9495.73736,16939.705588,12172.949526,20317.685876,12213.244652,10747.533795,4209.920652,18062.725343,15843.709585,6704.898926,26000.280385,25427.58374,13479.58814,12877.211029,22956.491857,28772.424902,8420.459988,10885.284498,22258.439105,31594.221818,13791.465838,9525.04358,12296.774735,25047.002375,15949.507028,16704.701788,15381.337156,26207.204919,5103.577135,19035.846677,15050.972794,10616.481813,14726.307729,11264.755713,15694.350519,470178.921488,6431.006516,5818.659333,20628.432984,16916.915432,12146.141474,12862.687691,19655.476628,29693.475622,21764.532966,19669.184123,22910.16645,7556.758741,16559.251408,27771.306169,12549.404662,29647.263697,16935.69044,21901.591299,10181.80698,14485.3295,21391.245424
MIMAT0000094,3.706547,11.103863,1.608973,9.327481,2.598009,1.203551,7.229918,7.868358,0.929032,19.641262,1.448591,1.958392,3.9871,0.80117,4.94467,4.246331,7.501907,14.330375,4.042246,9.055056,3.148557,2.845995,14.174386,10.551642,4.129697,16.774233,6.562898,1.790309,1.905814,1.60741,4.755233,6.806528,8.759867,4.801394,1.266013,0.922,1.698429,6.240706,7.827249,2.123152,2.409691,3.092736,1.828708,7.106347,13.983288,0.509029,1.176509,2.943482,7.168392,3.806309,1.532284,6.657984,5.536228,6.833889,8.06654,3.659034,5.374685
