,0304b12d-7640-4150-a581-2eea2b1f2ad5_01,075dbfd0-9cf4-4877-884f-ae858902c79e_01,0824b246-9fa2-4a8b-ad4c-1ffc7731bf7d_01,08e0d412-d4d8-4d13-b792-a4dd0bd9ec2b_01,0acc28bc-d348-41df-8f49-bc0332eb9be4_01,0b73cbba-5520-4610-b649-912d76114033_01,15fb07ae-101c-4553-891d-539cee89a5e9_01,199560cb-15e5-4276-865a-7d44d47c856c_01,1ae9cd13-73ef-4b1a-a734-4c465c73bc8e_01,1d5602a7-72e7-4dc6-b2db-2f778fcbf475_01,202f7a77-9e5a-4f12-8ffe-78ae5527a746_01,240dca72-76e0-4d57-978d-1242e6e7ed68_01,28153e3e-8515-4852-aaa0-247f86399f27_01,2f04e760-8a64-49f2-a1d6-3d390604745c_01,33c02ece-911b-4f45-b410-9df07e9b189e_01,344f7ea4-2bd4-4f2d-89f2-9fc7f572a3d6_01,388b8788-a635-4bc9-9b73-d204b2256747_01,424a497a-48b9-4507-b234-c4fd08c8acad_01,42ef34cc-ffb4-432c-82bb-7aa56639ff51_01,42f69b2b-f3aa-4f4e-ac3a-149e14789927_01,48402d61-3a6b-4603-bfa0-b1a38a47d34d_01,4fbbbe43-3c0e-4475-bcf8-3745bd7195eb_01,56cdbba2-327e-4acd-a1eb-0f313a77834f_01,5e086192-ab74-4aa3-bf6b-b34ab19995db_01,5eb5ee1f-ecff-4427-b717-b91380c043ae_01,5f3e2974-f1df-47a2-8a8a-29bb525eeef6_01,5f461197-15ed-43cf-9331-9e0efc4622a4_01,63b7b596-cb55-41dc-b862-a6c3a058dfe2_01,69f4f19c-08c8-4001-92a8-fed155c3b4fe_01,6d980941-219e-40a0-9b41-e84c3fb0bd1a_01,70f1569e-f8f5-4f1d-bf18-d0586b29077d_01,71892706-f8b6-44e6-8de4-6cbb43f612e0_01,723eb689-7b4f-4758-bcdf-426b12508935_01,802dbd0d-ef07-4c91-ab8d-1dd39532e947_01,82940e94-ac74-4a9b-9da5-9e4b7d4d45c0_01,83e7b9f8-04a4-440f-aafc-7a8e9ddff284_01,888a7158-2319-4563-849b-573705c72ab7_01,8b3649e3-16e2-4044-8ab8-f4d28a87e513_01,8e7c2e31-d085-4b75-a970-162526dd07a0_01,905368c2-ba60-4dda-b32d-a51a203b5e4d_01,94cdac79-2b4e-483a-8f17-3e0c9be589d0_01,99f86b57-3894-45c5-bfbe-c757c69a3050_01,9a8ea017-0152-48b2-accb-d040deb1c6b6_01,9c87dcee-d422-4df1-82e1-3fa201473e31_01,9ec86c06-e7a9-4ea6-b36d-6f832909054b_01,a19104d6-b6a6-4878-af2c-783679070a05_01,a477b55d-a591-482f-a554-d8ef7298c23d_01,a53e9117-0a49-40d8-af40-7867370b671a_01,a5be4e42-cb6c-4e67-8547-45dbd058bb95_01,a9a57127-94d3-425f-a4c5-5cbcf24a9a35_01,b3164f7b-c826-4e08-9ee6-8ff96d29b913_01,b4b41a43-ee45-4aa3-abf0-100db752a6ac_01,b7adb786-1f81-43ca-ac72-7243966cd439_01,bafe2638-4adc-4957-9d62-d7eebe5dd2f9_01,bdfcd747-f6a2-42e2-bc9b-483112205fa8_01,c0e1a036-be4c-4fb5-bb50-e2431be60ed4_01,c4dd9501-c193-45fb-8535-a9d901520bdd_01,c6312de5-dd56-4025-80d1-dbdd8568d047_01,c72b973b-4719-46ab-ac99-05d14088d3bc_01,c8898b42-b704-45a0-9829-144b98f416e0_01,cf327482-199b-4604-ac19-c8b68d91c5d9_01,cf332daa-f335-4af1-81de-cbfdafb0f764_01,d63f2f1e-1970-445f-907b-23cf4d9efd83_01,d885b720-e813-4828-a731-b3cdcbd20687_01,d890cbf7-41d8-4992-99c2-24c60c77b156_01,dafb9844-1a5c-4af8-b382-59c751942bb8_01,de7f06aa-9638-4389-ac8e-711adfa0f2a5_01,dfd687bc-6e69-42f7-af94-d17fc150d1a1_01,dfef51c8-6050-4ebb-b25c-e74919397244_01,e612ef6e-f3f2-44be-ab15-8e4095687cd6_01,e93ca89f-ca48-43ca-bf1c-adc7491c0fe5_01,edc62c30-cacc-457d-96ba-d05ed35432a3_01,f13a3d5e-7f8e-4acb-ad46-f6380a9443e8_01,f63946ec-ddcb-469a-8f5e-74366b7f419b_01,f8954241-e541-406f-a09d-c3c987473732_01,f8e77bb6-e521-4a6a-9cb4-4b58ee38ca7f_01,fad4b7e6-510c-4968-83df-3140ed5a0549_01,fb504e55-1859-48ee-aec7-a3fcb082785e_01,fb54458d-c373-46c2-841e-82663e13efaa_01,fc83ab27-929e-4ad4-ba18-abb0694f1e43_01
MIMAT0000072,5.0,15.0,188.0,62.0,12.0,22.0,2.0,18.0,5.0,19.0,4.0,8.0,18.0,16.0,50.0,67.0,8.0,32.0,9.0,8.0,36.0,69.0,11.0,12.0,20.0,17.0,14.0,7.0,14.0,13.0,21.0,3.0,17.0,7.0,24.0,23.0,11.0,14.0,23.0,16.0,6.0,89.0,9.0,19.0,8.0,5.0,23.0,15.0,3.0,6.0,20.0,12.0,14.0,11.0,18.0,2.0,104.0,41.0,11.0,11.0,38.0,4.0,99.0,70.0,13.0,8.0,9.0,9.0,5.0,3.0,14.0,22.0,14.0,34.0,34.0,4.0,18.0,8.0,28.0,8.0
MIMAT0000073,67.0,48.0,446.0,175.0,62.0,63.0,45.0,34.0,113.0,94.0,29.0,48.0,149.0,36.0,108.0,121.0,83.0,71.0,40.0,89.0,201.0,193.0,79.0,89.0,60.0,76.0,47.0,54.0,86.0,24.0,87.0,45.0,59.0,107.0,102.0,75.0,61.0,61.0,218.0,78.0,45.0,124.0,55.0,50.0,66.0,29.0,181.0,103.0,48.0,48.0,126.0,88.0,48.0,59.0,80.0,28.0,183.0,107.0,97.0,30.0,132.0,17.0,215.0,75.0,67.0,70.0,130.0,64.0,37.0,16.0,53.0,63.0,41.0,73.0,130.0,28.0,86.0,62.0,74.0,64.0
MIMAT0000074,281.0,163.0,1355.0,702.0,224.0,216.0,170.0,171.0,408.0,497.0,88.0,206.0,344.0,155.0,592.0,298.0,244.0,308.0,109.0,462.0,640.0,1016.0,269.0,329.0,294.0,292.0,231.0,243.0,293.0,109.0,254.0,116.0,266.0,406.0,378.0,307.0,219.0,288.0,531.0,180.0,165.0,423.0,180.0,272.0,261.0,138.0,492.0,448.0,282.0,200.0,397.0,294.0,172.0,152.0,290.0,78.0,432.0,339.0,237.0,157.0,491.0,82.0,838.0,379.0,273.0,273.0,415.0,236.0,103.0,84.0,296.0,309.0,148.0,234.0,395.0,151.0,432.0,242.0,214.0,289.0
MIMAT0000075,886.0,376.0,3240.0,913.0,207.0,654.0,475.0,592.0,1019.0,711.0,196.0,970.0,373.0,336.0,818.0,1307.0,762.0,495.0,161.0,858.0,1077.0,1573.0,1042.0,463.0,1021.0,425.0,542.0,832.0,401.0,318.0,630.0,199.0,876.0,405.0,1088.0,838.0,301.0,1153.0,1364.0,690.0,552.0,1714.0,425.0,724.0,399.0,463.0,951.0,1359.0,398.0,243.0,947.0,717.0,877.0,557.0,1040.0,379.0,665.0,866.0,1516.0,325.0,1384.0,140.0,1949.0,336.0,448.0,816.0,1195.0,417.0,826.0,126.0,486.0,878.0,706.0,963.0,738.0,443.0,549.0,527.0,979.0,279.0
MIMAT0000076,405929.0,163344.0,1338484.0,879168.0,40933.0,410022.0,622766.0,763059.0,402689.0,398738.0,107170.0,167375.0,220146.0,321059.0,238951.0,839170.0,272286.0,1441851.0,84014.0,296843.0,459153.0,2322007.0,453550.0,93543.0,755732.0,205551.0,209764.0,328664.0,195968.0,160386.0,199929.0,106551.0,296850.0,1194930.0,557294.0,428285.0,133218.0,455406.0,764898.0,295736.0,387234.0,256491.0,186855.0,475450.0,375985.0,171151.0,715547.0,74481.0,394924.0,200082.0,98349.0,348934.0,1595762.0,247424.0,289666.0,255585.0,179729.0,255004.0,394023.0,113061.0,182502.0,151956.0,1511802.0,72008.0,207480.0,525876.0,507292.0,809498.0,434129.0,30985.0,407542.0,572007.0,1945281.0,78527.0,330287.0,273601.0,380831.0,330212.0,372131.0,124134.0
MIMAT0000077,2753229.0,1242673.0,275277.0,413117.0,497989.0,662364.0,1469063.0,1843074.0,1496726.0,1852018.0,401812.0,1013087.0,570049.0,481079.0,342034.0,484534.0,868076.0,631651.0,209313.0,942115.0,1048286.0,704151.0,1825712.0,808125.0,468471.0,2071013.0,1738972.0,2300888.0,776903.0,1223222.0,659893.0,718767.0,528134.0,851974.0,1328203.0,1002064.0,324536.0,1503429.0,1510581.0,722155.0,951653.0,243116.0,843407.0,802200.0,226241.0,989320.0,1671557.0,558459.0,1076617.0,1197055.0,1116829.0,633753.0,1602902.0,707844.0,500325.0,422930.0,712093.0,643685.0,1424859.0,585567.0,780970.0,209754.0,127518.0,440134.0,712398.0,1550097.0,1258083.0,1251350.0,1068274.0,217791.0,798824.0,814440.0,1037639.0,1129433.0,353639.0,742352.0,977349.0,1271974.0,803674.0,352095.0
MIMAT0000078,11132.0,7351.0,7830.0,13947.0,3262.0,8098.0,16443.0,17447.0,21654.0,8545.0,7059.0,9802.0,13042.0,8314.0,2921.0,5513.0,14822.0,8039.0,1191.0,10825.0,17894.0,12705.0,32336.0,18712.0,22438.0,8821.0,33987.0,28203.0,14835.0,14163.0,8855.0,11059.0,9907.0,13364.0,15097.0,21815.0,7170.0,28356.0,85494.0,7651.0,15310.0,3751.0,8172.0,9210.0,4832.0,9595.0,20460.0,17195.0,45153.0,11750.0,7330.0,12241.0,18476.0,3861.0,5922.0,6690.0,8850.0,19532.0,4545.0,6344.0,3726.0,9352.0,10338.0,3584.0,15314.0,33913.0,23749.0,6087.0,18152.0,742.0,12871.0,6260.0,9011.0,11725.0,8597.0,4359.0,10347.0,4454.0,38127.0,8599.0
MIMAT0000079,43.0,61.0,21.0,42.0,22.0,64.0,39.0,33.0,20.0,63.0,7.0,35.0,60.0,31.0,112.0,23.0,25.0,63.0,10.0,43.0,71.0,245.0,47.0,47.0,51.0,77.0,32.0,44.0,18.0,25.0,52.0,34.0,62.0,44.0,32.0,216.0,10.0,433.0,89.0,36.0,12.0,37.0,50.0,20.0,39.0,31.0,60.0,24.0,78.0,34.0,36.0,23.0,71.0,49.0,36.0,6.0,82.0,23.0,11.0,57.0,24.0,40.0,207.0,53.0,21.0,36.0,75.0,23.0,24.0,5.0,85.0,284.0,22.0,12.0,13.0,13.0,55.0,57.0,47.0,19.0
MIMAT0000080,2341.0,3222.0,3366.0,3187.0,1034.0,1829.0,2068.0,3208.0,1752.0,2729.0,2614.0,2089.0,2135.0,1364.0,2359.0,2940.0,2010.0,4239.0,522.0,2651.0,6407.0,4798.0,6375.0,3365.0,5205.0,4973.0,4523.0,3432.0,2491.0,3404.0,1728.0,1486.0,1582.0,2869.0,4274.0,8911.0,1569.0,4022.0,11599.0,1464.0,1530.0,3393.0,3770.0,1949.0,1717.0,1320.0,3859.0,6282.0,4379.0,2443.0,1782.0,2275.0,5091.0,1822.0,1602.0,1489.0,5206.0,4122.0,1077.0,2157.0,1552.0,4469.0,5453.0,2235.0,4624.0,4872.0,3197.0,1479.0,1794.0,173.0,2615.0,3984.0,1527.0,2316.0,2022.0,584.0,1805.0,1006.0,12220.0,1714.0
MIMAT0000081,21839.0,60668.0,39105.0,37140.0,11976.0,20739.0,22547.0,42613.0,58687.0,36376.0,7040.0,15736.0,65232.0,13488.0,44599.0,57418.0,24779.0,20659.0,17049.0,17098.0,66446.0,53209.0,40789.0,22725.0,27903.0,17087.0,41644.0,30788.0,26554.0,20090.0,33304.0,26538.0,17330.0,32724.0,43023.0,21137.0,12240.0,37821.0,38053.0,38075.0,16389.0,119659.0,55623.0,42131.0,35415.0,28972.0,42834.0,29551.0,27453.0,12850.0,21835.0,33323.0,21615.0,18823.0,14827.0,11475.0,58786.0,28726.0,57032.0,11357.0,30300.0,8114.0,52996.0,40371.0,26065.0,34862.0,37040.0,23406.0,28970.0,6621.0,31723.0,36318.0,24239.0,34281.0,62104.0,28547.0,21790.0,41277.0,32466.0,22747.0
MIMAT0000082,10110.0,10271.0,4775.0,10574.0,6444.0,6376.0,8711.0,12417.0,12548.0,41639.0,1790.0,5397.0,6444.0,6364.0,22854.0,19839.0,8531.0,12711.0,10440.0,14416.0,14982.0,23655.0,15010.0,18293.0,20160.0,14049.0,8034.0,19448.0,7607.0,11562.0,20250.0,4618.0,12692.0,10477.0,9525.0,20500.0,3333.0,17804.0,23039.0,13481.0,11381.0,7754.0,3676.0,16382.0,5973.0,12445.0,23174.0,11235.0,10918.0,5997.0,7961.0,5935.0,14552.0,10674.0,14680.0,4768.0,19742.0,21393.0,15222.0,13463.0,15795.0,5960.0,3123.0,10898.0,28416.0,9609.0,19933.0,6624.0,6467.0,2953.0,12656.0,21286.0,10996.0,11919.0,9486.0,12151.0,11404.0,14597.0,21958.0,5087.0
MIMAT0000083,1685.0,2999.0,3845.0,3086.0,1461.0,1422.0,1509.0,2688.0,1382.0,3208.0,696.0,961.0,3184.0,1058.0,6755.0,3186.0,1768.0,3331.0,1842.0,1860.0,4668.0,4847.0,2344.0,1966.0,3292.0,2281.0,1954.0,1562.0,1312.0,2506.0,1886.0,1148.0,2301.0,2123.0,2481.0,2783.0,565.0,3210.0,4252.0,1515.0,1324.0,2285.0,2428.0,2636.0,914.0,2058.0,2686.0,1175.0,1780.0,1949.0,4428.0,1496.0,2627.0,4802.0,2108.0,585.0,5706.0,3438.0,1354.0,3674.0,1600.0,2022.0,4231.0,6164.0,2400.0,1440.0,2711.0,1298.0,1275.0,290.0,2692.0,3572.0,2455.0,1293.0,3317.0,1146.0,4450.0,1556.0,2002.0,790.0
MIMAT0000084,2122.0,2196.0,4263.0,3506.0,1099.0,2001.0,3137.0,3985.0,3132.0,3125.0,1237.0,1902.0,4179.0,1629.0,1374.0,1814.0,2156.0,5077.0,417.0,2691.0,8353.0,4006.0,5822.0,4077.0,5296.0,3812.0,6670.0,5269.0,3627.0,3332.0,1553.0,2957.0,1687.0,3205.0,4763.0,3985.0,1762.0,6841.0,15094.0,2199.0,2338.0,1896.0,1940.0,2499.0,1653.0,1935.0,4086.0,4677.0,11236.0,3427.0,1266.0,2756.0,3531.0,1244.0,1643.0,1135.0,3738.0,4602.0,1037.0,1791.0,1188.0,3931.0,3556.0,1323.0,6141.0,8358.0,4103.0,2059.0,3092.0,165.0,3676.0,2818.0,1855.0,3660.0,3168.0,743.0,2447.0,1212.0,8403.0,1988.0
MIMAT0000085,215.0,209.0,340.0,178.0,76.0,119.0,103.0,348.0,372.0,235.0,100.0,171.0,168.0,170.0,274.0,170.0,173.0,102.0,103.0,238.0,549.0,424.0,334.0,274.0,322.0,205.0,165.0,310.0,128.0,185.0,292.0,102.0,302.0,142.0,244.0,669.0,75.0,321.0,387.0,203.0,313.0,238.0,275.0,250.0,72.0,270.0,435.0,131.0,182.0,172.0,299.0,436.0,297.0,195.0,218.0,87.0,264.0,407.0,322.0,160.0,268.0,94.0,347.0,297.0,63.0,320.0,414.0,138.0,114.0,23.0,250.0,148.0,237.0,173.0,250.0,238.0,280.0,145.0,274.0,152.0
