,108d4b89-d1d5-4528-a040-c7e5696c8417_01,14213209-2217-4812-9a19-d9b2b6718467_01,158fd4c2-68dc-4ca4-8130-d5589c80d825_01,1791e250-70ac-439c-828b-15ba811935cc_01,1d2937e8-6104-4330-b7dc-7bcd79dac927_01,200f77a5-803c-4891-980b-5c3b08c91254_01,245e4254-dbc1-45bd-b5df-504d8c3822de_01,254f6921-82ac-4fe1-b1b4-ace94c420d05_01,276dd6d1-a5ad-4b64-8536-916584805091_01,2aa77a19-efde-478a-a113-c0af75708b31_01,2aad74b4-8d66-4563-8958-88d83f86556d_01,33ad8d6e-10f4-4965-9721-1a9984f9e87d_01,3428aa0a-127d-492a-bf4a-ee82563d3701_01,37c77a51-efce-46bd-ab8c-93e17c04c6ac_01,3af5b391-e72f-463d-a086-a86c6c30a51a_01,485b221f-f40f-46a0-a9cf-023f807e6146_01,4a31c620-5c6e-44ae-b7f0-0553c4b7eb33_01,4daeefc3-0e2e-4537-8e13-af9717b3ce29_01,4f0124a6-4a5b-4e42-b9ff-d7de51d2148c_01,4f4906dc-7ebd-47f1-a8f5-b35d3950e740_01,51f6692d-a05b-474b-ba99-637c8bc49b30_01,605e9e51-270c-48fb-b198-46b5512b29da_01,6385194a-d75b-4bd3-9e70-9aa36250d5b9_01,64d00705-5070-4338-9433-ba74424528b3_01,6717b82e-889d-45a4-9638-4d0e023399cc_01,6db758a1-dd0f-4abb-a0ca-80c4b135e8a5_01,6dfe9121-29a0-4593-984f-1644166e1d39_01,6e22b287-5b45-4f5f-a825-b200aa6943e6_01,75a43851-8fa0-4259-b843-88dc6fbce270_01,76b0106c-a4d2-4b29-bef4-fe03a25b5d21_01,76e4538f-3383-46b0-884d-978d031ee182_01,79823022-7feb-49de-8de7-607721b595d2_01,82c37e7c-0899-497e-9753-84da21f8e0fe_01,83059a0f-4de9-454c-8e51-9265ab5f3558_01,8481dc3d-109a-4f2d-a0ad-8f0fd2a61a53_01,8703c5c3-d519-4d78-a5f6-2ef53fca277a_01,89d0b316-65de-4f4c-988a-3c3861a68090_01,8b7c42cd-fc2a-4023-843e-a411821f94ff_01,8c113bc1-101b-405f-9eb1-8c9e8ebbe185_01,8c8d4495-1a1d-4942-b0f0-1445fd05dfce_01,8def73e4-83a5-4998-8f6e-f71f21c946ac_01,9205fbf2-f4ba-475c-8351-1aae5ff3b8bf_01,98315e03-ffe8-449c-8f92-7fd2c0f20b79_01,9f15bf13-11d2-400f-b6f9-c8be0a57c763_01,a1206473-cf9d-4bca-97c9-67f35817b806_01,ae10b73d-e7f4-4334-8452-167b60d71cb5_01,b0770eff-dff2-4e10-8fc9-c07a81efcc5e_01,cdde118f-4673-4e7e-b965-1f9fe007050d_01,ce2b2c41-7d28-4d8b-a037-af842a8fe20f_01,d9952e44-b573-4854-893e-b3bbc5287f2f_01,ddfdd05e-058c-4877-b389-724a6c101353_01,ebb834c6-374e-4077-a4ce-c74a850be358_01,ee6083aa-9453-44ff-8cc5-79b71fea289d_01,eec002c4-7602-4179-8eb3-2b0508d5ee1c_01,f2cc142b-9fc0-44d9-9ae3-558b4eace375_01,f98c183e-aaa1-40c4-83e7-c248cc3adb55_01,ffedc8be-1056-4205-b9d9-99b5bdb872db_01
MIMAT0000072,417.0,119.0,579.0,248.0,943.0,184.0,220.0,74.0,236.0,865.0,564.0,383.0,729.0,949.0,1260.0,198.0,972.0,504.0,450.0,1168.0,527.0,670.0,128.0,1122.0,300.0,585.0,134.0,667.0,141.0,234.0,308.0,194.0,117.0,604.0,1514.0,324.0,131.0,561.0,1184.0,175.0,121.0,1143.0,252.0,268.0,600.0,1456.0,191.0,290.0,1496.0,943.0,137.0,228.0,562.0,1018.0,549.0,505.0,1200.0
MIMAT0000073,780.0,532.0,1305.0,631.0,6369.0,911.0,439.0,416.0,811.0,1437.0,1576.0,1091.0,1261.0,1191.0,3872.0,879.0,2854.0,1729.0,1128.0,2396.0,963.0,1641.0,723.0,2670.0,1034.0,1423.0,476.0,1570.0,728.0,1159.0,1407.0,668.0,612.0,1542.0,4715.0,1132.0,507.0,1303.0,2810.0,508.0,475.0,2001.0,684.0,989.0,921.0,1664.0,431.0,1944.0,2792.0,3076.0,363.0,713.0,1105.0,2601.0,1467.0,899.0,1640.0
MIMAT0000074,1841.0,1518.0,3729.0,1425.0,18197.0,2263.0,1313.0,1100.0,1655.0,4627.0,4669.0,2668.0,4078.0,3309.0,10167.0,2610.0,5458.0,4848.0,3628.0,8162.0,2331.0,4819.0,1676.0,6339.0,2451.0,3281.0,1626.0,4250.0,3555.0,2837.0,3247.0,2140.0,2126.0,3587.0,15788.0,2270.0,1488.0,3313.0,6442.0,1092.0,1470.0,4631.0,1652.0,3000.0,2357.0,4992.0,1279.0,4901.0,5963.0,7049.0,1184.0,1864.0,2606.0,6662.0,3190.0,2729.0,3699.0
MIMAT0000075,4008.0,3263.0,6592.0,3177.0,39417.0,3017.0,1509.0,1594.0,3823.0,4739.0,13157.0,7703.0,4032.0,5561.0,47730.0,6763.0,13962.0,6412.0,4550.0,10947.0,5961.0,7696.0,2496.0,15099.0,5793.0,7809.0,2343.0,13591.0,3559.0,6042.0,7866.0,6517.0,3570.0,7922.0,41652.0,6325.0,2391.0,5286.0,15123.0,2296.0,3548.0,7949.0,5198.0,8272.0,3641.0,18411.0,2160.0,4480.0,15999.0,25743.0,1783.0,3426.0,3965.0,12652.0,3966.0,6485.0,10053.0
MIMAT0000076,594560.0,633989.0,605099.0,169405.0,112944.0,1171094.0,124482.0,329197.0,1204331.0,330784.0,678886.0,907096.0,294848.0,851736.0,1721831.0,377861.0,1130337.0,810409.0,367590.0,135520.0,359243.0,1403053.0,965840.0,275524.0,277589.0,324414.0,1309613.0,874166.0,2505778.0,1147537.0,508888.0,475319.0,181961.0,499487.0,805445.0,63068.0,1434415.0,163336.0,109699.0,279896.0,1257678.0,179496.0,326009.0,835041.0,767156.0,1492039.0,343995.0,486492.0,425015.0,573458.0,602471.0,361213.0,441418.0,171267.0,386559.0,752690.0,197989.0
MIMAT0000077,213538.0,175030.0,121214.0,117245.0,50507.0,136032.0,157833.0,65060.0,167385.0,119281.0,180867.0,212979.0,189863.0,262776.0,143135.0,126492.0,457141.0,133595.0,32406.0,33943.0,124953.0,340173.0,129666.0,93407.0,102836.0,158995.0,522640.0,90621.0,85003.0,259363.0,197306.0,245513.0,68746.0,66902.0,150374.0,41336.0,404050.0,178159.0,175718.0,268692.0,406578.0,235127.0,124902.0,83693.0,217688.0,195300.0,63077.0,314331.0,154571.0,203179.0,194783.0,120448.0,133313.0,82415.0,75906.0,81282.0,162301.0
MIMAT0000078,10334.0,10599.0,8339.0,4573.0,7328.0,27752.0,7419.0,4265.0,11821.0,7143.0,15138.0,9147.0,6134.0,17035.0,19864.0,10259.0,11799.0,4981.0,9351.0,6580.0,6586.0,13667.0,8082.0,11973.0,9858.0,6161.0,9383.0,8398.0,5880.0,7852.0,14470.0,6845.0,6607.0,5137.0,4505.0,2033.0,13401.0,7485.0,3284.0,5528.0,16056.0,9110.0,12263.0,7056.0,9097.0,11918.0,4507.0,25148.0,6250.0,6383.0,8163.0,9055.0,6205.0,24166.0,4407.0,6392.0,12372.0
MIMAT0000079,128.0,66.0,93.0,30.0,18.0,61.0,63.0,30.0,74.0,37.0,114.0,203.0,156.0,61.0,24.0,57.0,72.0,169.0,68.0,39.0,36.0,74.0,81.0,49.0,43.0,28.0,99.0,39.0,46.0,52.0,101.0,22.0,25.0,65.0,72.0,15.0,97.0,121.0,49.0,40.0,147.0,73.0,33.0,25.0,96.0,102.0,13.0,780.0,28.0,42.0,105.0,37.0,61.0,50.0,197.0,105.0,53.0
MIMAT0000080,5326.0,3405.0,5500.0,2488.0,2681.0,10866.0,6772.0,1768.0,4415.0,5893.0,13451.0,4903.0,13276.0,17729.0,8421.0,4532.0,5778.0,6867.0,6695.0,5501.0,2905.0,8562.0,4260.0,6347.0,3808.0,4312.0,5351.0,4227.0,3439.0,5066.0,8967.0,2733.0,2779.0,3153.0,4041.0,1022.0,4591.0,5975.0,3504.0,3737.0,13315.0,4886.0,6621.0,2731.0,10728.0,9499.0,2135.0,11541.0,5623.0,4592.0,6304.0,5575.0,4357.0,10113.0,4658.0,5243.0,8603.0
MIMAT0000081,58888.0,61545.0,62917.0,45599.0,36702.0,57725.0,18614.0,66854.0,63781.0,95882.0,138340.0,110253.0,60935.0,55342.0,137847.0,178366.0,100357.0,64201.0,65809.0,89039.0,28126.0,61413.0,26809.0,119433.0,55522.0,54880.0,68975.0,67835.0,51136.0,135013.0,131585.0,28980.0,45916.0,38700.0,63664.0,1230690.0,39504.0,56587.0,63521.0,47209.0,44531.0,51559.0,128716.0,53006.0,245382.0,210220.0,17977.0,169017.0,42653.0,147175.0,29828.0,60327.0,39052.0,50325.0,41829.0,38391.0,103203.0
MIMAT0000082,8201.0,7203.0,11280.0,2330.0,5837.0,11295.0,5502.0,4732.0,2906.0,15113.0,13504.0,8885.0,24629.0,8634.0,13049.0,6916.0,11586.0,9696.0,12793.0,13369.0,6131.0,19094.0,3381.0,11754.0,4862.0,3944.0,7075.0,4213.0,13174.0,8754.0,13739.0,5022.0,7475.0,6899.0,6477.0,2360.0,5643.0,12253.0,6724.0,2858.0,4874.0,9711.0,4595.0,5007.0,21602.0,11707.0,752.0,15861.0,4952.0,8217.0,4363.0,14659.0,5560.0,3570.0,4542.0,5303.0,7174.0
MIMAT0000083,4387.0,4424.0,5433.0,779.0,1240.0,5507.0,2282.0,2090.0,1326.0,9984.0,4538.0,2417.0,11571.0,2971.0,3660.0,3313.0,2484.0,6548.0,7162.0,6972.0,1939.0,8684.0,2360.0,3595.0,1861.0,1941.0,2982.0,1771.0,5118.0,2881.0,6277.0,1163.0,4660.0,2829.0,4481.0,1183.0,2432.0,3134.0,1977.0,2334.0,1953.0,2736.0,7528.0,1851.0,7256.0,2968.0,1075.0,14696.0,3251.0,3349.0,3897.0,4842.0,2757.0,2904.0,4574.0,3551.0,2843.0
MIMAT0000084,3046.0,3962.0,3688.0,1041.0,2391.0,12544.0,2426.0,905.0,2995.0,5877.0,7534.0,2299.0,3874.0,4750.0,4388.0,2434.0,3102.0,2497.0,8924.0,5920.0,2256.0,7991.0,3688.0,4243.0,2366.0,1884.0,2545.0,2005.0,3447.0,2451.0,5098.0,1354.0,3337.0,1595.0,1954.0,663.0,4277.0,1931.0,1409.0,2679.0,4690.0,3667.0,3659.0,3497.0,4627.0,3841.0,1481.0,6728.0,1999.0,2122.0,3379.0,5257.0,2477.0,9264.0,1973.0,3583.0,4434.0
MIMAT0000085,694.0,277.0,387.0,243.0,383.0,1671.0,244.0,255.0,219.0,420.0,1832.0,625.0,501.0,468.0,760.0,701.0,235.0,543.0,348.0,272.0,286.0,350.0,175.0,567.0,226.0,223.0,421.0,110.0,312.0,558.0,1237.0,220.0,309.0,447.0,201.0,92.0,352.0,580.0,161.0,125.0,682.0,752.0,193.0,199.0,1709.0,378.0,64.0,1192.0,286.0,1007.0,466.0,187.0,270.0,245.0,457.0,181.0,192.0
MIMAT0000086,4870.0,4707.0,7715.0,1305.0,4911.0,7479.0,1504.0,6377.0,5232.0,7973.0,10477.0,9741.0,3995.0,7848.0,15242.0,4035.0,6899.0,9776.0,4579.0,4669.0,3064.0,11894.0,11256.0,1711.0,2915.0,2713.0,13762.0,10506.0,6514.0,15379.0,48930.0,2354.0,6087.0,6821.0,2664.0,2844.0,12531.0,2389.0,1353.0,4280.0,15922.0,4252.0,6291.0,13006.0,7330.0,6947.0,13004.0,12197.0,4546.0,7243.0,12144.0,14015.0,4824.0,2329.0,46616.0,19179.0,3792.0
MIMAT0000087,169506.0,187286.0,238979.0,42219.0,57569.0,72332.0,15684.0,49427.0,13288.0,63899.0,176502.0,451360.0,55417.0,130059.0,104576.0,144321.0,156509.0,138408.0,29343.0,86933.0,101787.0,200086.0,82877.0,44887.0,74795.0,26458.0,125693.0,62590.0,26672.0,99139.0,175000.0,96537.0,125315.0,153263.0,247728.0,10644.0,281767.0,36288.0,148665.0,69641.0,51382.0,61777.0,19906.0,194550.0,73107.0,1041390.0,4665.0,52636.0,28167.0,146284.0,15241.0,81651.0,43443.0,64936.0,51502.0,134190.0,64263.0
MIMAT0000088,28275.0,33938.0,28630.0,10752.0,8603.0,12464.0,2031.0,8371.0,4215.0,11986.0,20206.0,67601.0,6461.0,16078.0,20754.0,17943.0,29097.0,26613.0,8075.0,14565.0,15607.0,24920.0,25909.0,8539.0,17924.0,4531.0,28013.0,7504.0,3807.0,13044.0,27885.0,13367.0,15626.0,26844.0,39556.0,2064.0,51654.0,11003.0,26845.0,10315.0,7912.0,11477.0,3793.0,20023.0,12278.0,159587.0,1208.0,9819.0,5485.0,21909.0,2208.0,12341.0,11260.0,13175.0,13306.0,20861.0,18385.0
MIMAT0000089,29.0,2.0,29.0,68.0,10.0,1148.0,1.0,3.0,197.0,12.0,68.0,54.0,30.0,154.0,12.0,3.0,50.0,95.0,41.0,158.0,50.0,22.0,139.0,32.0,123.0,2.0,8.0,135.0,149.0,137.0,39.0,9.0,8.0,19.0,11.0,52.0,76.0,5.0,12.0,28.0,87.0,53.0,11.0,27.0,21.0,61.0,0.0,293.0,7.0,130.0,107.0,22.0,46.0,59.0,104.0,102.0,73.0
MIMAT0000090,175.0,121.0,149.0,32.0,53.0,187.0,105.0,100.0,89.0,178.0,159.0,68.0,137.0,144.0,235.0,115.0,70.0,190.0,86.0,77.0,42.0,146.0,49.0,145.0,73.0,64.0,74.0,43.0,50.0,95.0,129.0,30.0,77.0,71.0,121.0,29.0,150.0,74.0,94.0,57.0,65.0,163.0,65.0,103.0,290.0,390.0,28.0,51.0,57.0,240.0,114.0,58.0,68.0,125.0,244.0,90.0,106.0
MIMAT0000091,82.0,55.0,45.0,40.0,38.0,26.0,60.0,27.0,170.0,183.0,101.0,104.0,29.0,26.0,333.0,72.0,116.0,43.0,58.0,124.0,60.0,68.0,54.0,72.0,124.0,46.0,61.0,54.0,27.0,34.0,82.0,39.0,37.0,85.0,45.0,30.0,19.0,163.0,223.0,20.0,139.0,150.0,237.0,106.0,432.0,135.0,66.0,84.0,20.0,24.0,63.0,33.0,79.0,116.0,106.0,50.0,272.0
MIMAT0000092,94198.0,61994.0,109330.0,50978.0,570320.0,51598.0,62875.0,32370.0,98111.0,165692.0,128448.0,137708.0,105097.0,144382.0,649816.0,107679.0,350248.0,149026.0,83403.0,194764.0,106182.0,111525.0,46793.0,308195.0,110153.0,113241.0,65062.0,142379.0,93868.0,119503.0,133089.0,144223.0,62377.0,149980.0,829728.0,83607.0,64583.0,226581.0,255584.0,44877.0,61235.0,187621.0,112378.0,87549.0,71663.0,335781.0,37026.0,212668.0,274568.0,322786.0,35403.0,56065.0,86579.0,217489.0,117088.0,107420.0,184822.0
MIMAT0000093,43552.0,77804.0,68091.0,50100.0,37608.0,62509.0,13975.0,59686.0,51162.0,49157.0,161538.0,142823.0,67616.0,64292.0,185707.0,243930.0,68469.0,63806.0,60571.0,83739.0,52563.0,56896.0,37304.0,144799.0,77243.0,61743.0,110153.0,117107.0,26779.0,106583.0,113945.0,43673.0,60520.0,49269.0,74380.0,2549777.0,34078.0,40092.0,73793.0,47807.0,65527.0,37431.0,150476.0,75212.0,143195.0,193203.0,19473.0,53913.0,62371.0,175107.0,40950.0,80152.0,45886.0,64097.0,55538.0,55423.0,103480.0
MIMAT0000094,17.0,51.0,9.0,23.0,8.0,7.0,24.0,26.0,3.0,144.0,9.0,11.0,20.0,4.0,40.0,36.0,61.0,84.0,11.0,24.0,12.0,17.0,43.0,61.0,20.0,62.0,47.0,8.0,10.0,9.0,36.0,28.0,36.0,21.0,6.0,5.0,9.0,43.0,28.0,6.0,13.0,9.0,14.0,18.0,92.0,5.0,1.0,21.0,27.0,24.0,5.0,18.0,15.0,20.0,44.0,14.0,26.0
MIMAT0000095,41.0,209.0,112.0,84.0,24.0,950.0,463.0,191.0,8.0,3535.0,220.0,125.0,185.0,172.0,22.0,885.0,710.0,538.0,321.0,95.0,184.0,109.0,131.0,245.0,296.0,791.0,610.0,426.0,272.0,110.0,12.0,382.0,212.0,59.0,117.0,76.0,176.0,66.0,404.0,83.0,161.0,231.0,1239.0,156.0,1518.0,220.0,18.0,99.0,19.0,695.0,149.0,68.0,59.0,182.0,268.0,288.0,881.0
MIMAT0000096,393.0,323.0,476.0,138.0,95.0,453.0,126.0,198.0,218.0,113.0,281.0,213.0,155.0,606.0,236.0,411.0,224.0,268.0,404.0,24.0,402.0,441.0,164.0,162.0,241.0,73.0,504.0,576.0,102.0,675.0,322.0,92.0,155.0,153.0,44.0,16.0,182.0,68.0,73.0,350.0,767.0,80.0,424.0,64.0,215.0,44.0,49.0,505.0,291.0,185.0,273.0,94.0,44.0,394.0,43.0,65.0,96.0
MIMAT0000097,17348.0,109.0,5124.0,5010.0,1475.0,902.0,9160.0,3176.0,7341.0,8685.0,5317.0,7531.0,8140.0,4370.0,2834.0,10955.0,3316.0,2569.0,6630.0,1704.0,5714.0,9888.0,840.0,4076.0,1997.0,977.0,20928.0,669.0,2076.0,2580.0,19394.0,6900.0,1015.0,1752.0,1115.0,515.0,1713.0,4542.0,4800.0,2114.0,197.0,5082.0,24357.0,852.0,5065.0,5832.0,1745.0,15179.0,2120.0,12498.0,102.0,1041.0,3003.0,1703.0,786.0,375.0,4604.0
MIMAT0000098,39753.0,6779.0,21349.0,20083.0,5838.0,10130.0,19388.0,4084.0,12341.0,11631.0,19372.0,38605.0,12928.0,18389.0,63973.0,22899.0,22623.0,19959.0,7331.0,6832.0,22204.0,19857.0,5782.0,26603.0,31068.0,15294.0,58928.0,4840.0,20492.0,13799.0,51718.0,21226.0,4337.0,18663.0,11735.0,1968.0,23511.0,63449.0,65132.0,8751.0,30239.0,30530.0,40839.0,1566.0,19310.0,16677.0,2401.0,36584.0,18984.0,41833.0,8685.0,7537.0,9063.0,7082.0,9422.0,3281.0,25954.0
MIMAT0000099,19769.0,14846.0,27770.0,10042.0,8830.0,28465.0,19262.0,21278.0,6856.0,27610.0,31417.0,29229.0,16101.0,32655.0,53896.0,19946.0,36974.0,19476.0,16432.0,14524.0,13799.0,37576.0,13350.0,26035.0,19064.0,10505.0,19809.0,16939.0,17472.0,25052.0,30180.0,21313.0,17294.0,28678.0,17293.0,8915.0,24079.0,27234.0,19997.0,7993.0,13825.0,8329.0,15398.0,23170.0,31653.0,53615.0,2852.0,36940.0,10852.0,51015.0,7632.0,15436.0,8492.0,9493.0,17100.0,10211.0,27951.0
