,0011a67b-1ba9-4a32-a6b8-7850759a38cf_01,016c9c14-4c88-49f5-a11a-dd4bc282f11e_01,03a9dd9d-62ae-4acd-9272-389274858f3d_01,04178a4f-14b0-45ba-aa3e-f21638e23765_01,065b26fc-6827-44d5-83d8-1100c63fcda6_01,093ca3a7-f545-468a-85ed-a35c3da03628_01,09daff79-6493-45c1-8cba-9381259e2bea_01,0a2cb2f9-972c-450c-8b7a-115a4cb93658_01,0b6b1937-4024-4f2c-aeca-46387277755f_01,0cb21fb0-520f-4105-99ec-697a335115b5_01,0eda7373-8335-455f-b90a-8c3540f28088_01,10290e91-9784-4f94-8daa-b5d9a8b0efb9_01,107cb92b-6231-4e7a-af05-1f5de5981947_01,1118490d-75aa-43cc-b2a2-c2af61829ffc_01,12f1d449-4da3-460d-b4f3-9e1232440a8b_01,1388bba1-02ba-40df-93e5-c3d58b7bbae0_01,1543c1da-bde4-41c1-a510-56b62db8cca8_01,156cb6c6-b5d4-4ea9-9495-fc972cf9c84a_01,1586cb0a-081a-4364-9470-46f9d0f0167d_01,16a9e1c5-85c2-4930-a16c-af59114bac9a_01,17878cb0-a8f9-43a4-911c-0f94c2a5e3df_01,17a8d208-fcf6-4480-945c-848d4234aafd_01,17e286b7-7793-446d-b556-1108addb5ba2_01,182fe81e-9c96-4824-8a8a-28f7c498020f_01,19e46a3d-18c5-4927-8501-2265e2d617b8_01,1e89c189-7c8a-44c9-9b0f-2f625a285003_01,205f30ff-fb10-44a8-a1c6-c538de100db5_01,21e8c2b7-3a80-4b7e-acec-6ff863f15324_01,25b43e40-e1f9-42a0-8052-5138f381eed9_01,261925e3-96e4-440c-8e95-c003d44ab2f2_01,26964b56-583f-46cc-ab2e-a948bf3e5432_01,2a7903cc-345d-48f7-9fec-b4a5f09f8002_01,2b1783da-9ede-4590-b96a-6b0eabc8777f_01,2bd23664-453b-4fbf-823e-6dbcde0c4a2a_01,2cf90e4e-b952-4a77-aaa9-39e4e2e5c4b3_01,2cf90e4e-b952-4a77-aaa9-39e4e2e5c4b3_02,2faf928d-453a-4d07-b058-b5d4e1d13845_01,3124e819-292b-48e7-baac-8c5c4a86dc20_01,3165bf70-df19-4043-bcfc-9ae92197ef72_01,31bd8589-378c-40e5-8b7f-3b4c81f304be_01,335d0351-3740-4847-9ff4-be2f078c70f7_01,335d0351-3740-4847-9ff4-be2f078c70f7_11,33e91116-8844-4861-843d-784c70b4a6fc_01,3546a93b-b279-4615-9d5f-5baa787e487e_01,368fd5c9-cd4b-4326-a47b-4d72938cfb8f_01,375436b3-66ac-4d5e-b495-18a96d812a69_01,398da5c2-d9f2-4eb4-9813-21009d3ad048_01,3aecf83e-c614-4ffa-8c82-1b5dadf6509e_01,3b55aa84-9fdc-4125-8d39-d8949de2a1b3_01,3be106bc-ba42-4c70-9b50-697d89db617d_01,3e97286f-8aa8-4b6a-b339-d7a8e30f60c2_01,3f10de1e-c8ce-415e-b4e1-e50901686a2f_01,40974ab3-e532-4d6e-9c98-ee640f3976d6_01,468c2ecb-a21f-49a7-91f3-63d3ef266cf8_01,4d5437b3-b6a0-4d17-a7aa-4f2b790e4532_01,5555fbdd-962f-4d79-b36c-ae3c3cc4aff4_01,594a52b0-c929-4e50-ae27-7542e32667ae_01,5a7d19f9-6be2-45ac-9ffc-11e28594eeee_01,5af7b4eb-8314-41ce-ab2b-f98054a78a8b_01,5bc1db25-3e25-44d7-99cb-e31f00cf1d58_01,5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c_01,5daa9f6b-eeba-466f-992b-2bd29fa60e93_01,5f10f8e4-a6f9-4643-b210-390bc8fd32bd_01,60778da8-d99e-4e51-96a2-3e900b3978d9_01,6221496d-40cc-4071-969f-6fbcba4f573c_01,634d542b-a72f-408b-9fef-65ef6c45f882_01,644571e9-b8e6-42f3-a2e4-33bad0fac661_01,652e503a-1be8-445b-96d6-ff114f911e76_01,6bc056f2-f06e-428f-aebc-85b780d880ed_01,6dafce6c-b2a9-4b23-b9f8-b71e01616389_01,71a32fca-d48f-4ea3-8df7-69f9dda8fa91_01,71a32fca-d48f-4ea3-8df7-69f9dda8fa91_11,72756208-a5ed-47d2-8c4c-19a8d39f7b9d_01,72802851-9340-4c5f-a90b-23b7afd7577a_01,72e640f2-869f-4aef-8ebe-b127f3e7048a_01,74543fa4-ce73-46e4-9c59-224e8242b4a2_01,769880ae-34d9-405e-8ea7-33ba47cf2dd2_01,78499f63-fe28-4b99-9f0e-6002203c4596_01,7a285463-76f4-447d-bb04-336bb5ec1009_01,811f3feb-a5a9-48b1-acda-fbb23fcbcf16_01,813bb368-9389-4528-9b18-387374bc912f_01,81dac02c-6e5f-4afe-9c90-12b5a4f26594_01,830fd359-abd4-4c99-89e4-2d6bb9ce5637_01,830fd359-abd4-4c99-89e4-2d6bb9ce5637_11,835cbd02-4dbb-4273-9704-4b5d272493d7_01,848a5838-8a06-45a9-a3d6-e4ed47b824ab_01,856a490c-c6da-48fe-88b5-9fde0f481365_01,85947797-54b8-44fb-910b-5cd689542994_01,866de12b-e4df-4f19-b62e-e3fd85d4ec08_01,89e4905e-31bb-4125-9262-93f600aed7e5_01,8ad1c98b-5395-477e-87a8-19dff3a59c26_01,8b4383b1-a684-41ea-bfb0-c84e6f5b287d_01,8c7ccdb0-7653-4a8d-86b6-de39afc40765_01,8e00e7e7-ffaf-44f0-91a7-172671f18e08_01,8feb0e8f-d09b-437d-8651-0cdecfe776bf_01,9084b672-8e65-4b7f-a256-32fd35aa8ab5_01,92c65e5a-3f07-49d9-ab69-46a0eb86ae88_01,99d2c035-06a2-4bc3-8ff9-db875d232c93_01,9af35239-ffb9-4d4f-889e-f743da271eef_01,9c7b5e85-5579-4d0f-a7ea-b9d081ac0037_01,9d7e0672-0a9e-4dbf-a583-80f4eb086ec6_01,9df9af6b-00b0-47af-aac7-b52dac399ba5_01,a2b6246d-2b80-49c5-968b-694b4e8171dc_01,a2e47568-eb43-4c89-ad7c-dfbaa2ba7e27_01,a424bfe7-5518-4c80-83c8-709a34320bc7_01,a46be4e1-260c-4ce9-8b0f-1326d90c697f_01,a744d4a3-f99a-46ce-9b3f-8ee8835e67ec_01,a83923fd-276c-4526-9922-5ef741f551fd_01,a8a5553c-bfe1-4d5f-aacc-5549ded3f91f_01,a8b974f4-aabf-484d-bfa2-a286b39681e0_01,a91f7a8c-e0fe-403a-9ef0-f7679b2761cc_01,acccb105-6439-4b30-a0b9-bb94c7873d4a_01,add567b7-29ef-4122-8a54-57d36f735e78_01,b1a787b6-8e94-4b1b-b063-3338c80eef78_01,b26143d3-d458-4d5c-8446-fd2f05707352_01,b2b125c7-8993-4424-b390-048ccccc9d08_01,b2c48624-a483-4b1d-9155-c0c80ed2f7a0_01,b2db7f47-540f-4bd3-81bb-d686b0225201_01,b6ba7313-8e91-4c39-8629-db3e96f4c556_01,b6e6e715-ccc5-474f-860a-a10bf1962936_01,ba902e78-752f-4248-9a59-ea08475c961b_01,bcb21cdd-2f57-4df0-bbbe-a74fa5a654d6_01,bcfe4fe9-d090-49f9-85a7-2b472e0f7453_01,bd0ddc1e-ba3b-4719-a2fa-776f0475dd8a_01,bd6877a8-06b4-4b95-bed2-15c524068f21_01,bd818ae4-b31a-4616-9303-b8aee56a848f_01,bf65c2cd-8348-488f-8485-9196ba42d17e_01,c2395f04-e248-4091-855d-802b1b871f29_01,c2ea7b58-cabd-407e-98ce-6cbf9e4d93e1_01,c3760fb2-3b8a-4251-a189-21d56fba5017_01,c3f0608b-d493-4c74-930a-d7998a48a659_01,c69dec57-7a84-481b-bcfe-61a771d0a9d1_01,c7162d11-4bdc-41cd-a964-46fc416829db_01,c8fd1040-82a2-4cda-ac49-c2f82b20cbab_01,c9632a8b-dcfe-4480-a8ad-482f55b8cfa2_01,ca8374a4-ce94-4091-aa9e-44339a7c4b22_01,cb005c69-7301-41ce-b534-c9751f1436c5_01,cbcb2141-b415-4410-8dd7-2a3cd3980a19_01,cc2a014b-fb3c-4839-a5fb-6c40e745df1b_01,cd05d121-f107-4c8e-95a8-153a84f5134a_01,ce2e0f1c-60ff-4f93-8bba-4f4d3ccac37c_01,d004a083-6dc6-4db6-96d0-88a8ca3b1b93_01,d7cb062c-898d-4452-8e87-57262162bafa_01,d846228f-67af-4b3b-9796-dbc263c2054c_01,d8bfcc67-f5c3-42cd-9fc4-bd483f896da1_01,d9121e5a-88f2-47a6-a0b1-25735c209e54_01,db1e3104-8bfd-4353-854a-c478ba1f7d07_01,ded3feb2-1079-4520-a7ca-f5b5fc73d7c5_01,e2d395f8-bf13-4fe4-8031-683b0eedd875_01,e3a80e41-2e46-4b04-86c6-fd444d616ab5_01,e5d7bbd4-4f38-4a5a-9966-f44f8a15a10e_01,e5e4aa9f-6015-4d62-a088-69920d7f2500_01,e6827400-0d95-46b0-8874-6ce9e9d5011b_01,e7503a51-6647-4cc2-80dd-645d0df4db43_01,eb75ca70-e60f-453f-820c-485390abad88_01,f1ce4b5f-55d0-4989-a5f3-6b6e591538b2_01,f2a8deb2-0e2c-4bbd-8fa1-99b7abb2f3aa_01,f49a8e1e-d247-4c76-ac3b-ad8e5d6b8d18_01,f9204a59-6877-4d06-a20e-fd7ab0859ed5_01,fb632146-92c7-40d9-acc3-6dc4a2d499be_01,fbcd7e69-533f-4b6c-9868-162139135b58_01,fd798ddf-7273-49b8-b13c-d9909c8c87ff_01,fdeeff8e-1328-42a4-aca0-a03b97421f1e_01,ff004403-8cc5-43e6-bd1c-dde4eb1e6193_01,ff427104-0727-483c-8513-243dec80db9d_01
MIMAT0002806,0.0,0.0,3.550644,0.459061,0.0,0.0,0.0,0.671579,3.854143,0.0,4.63343,0.0,0.508842,0.0,0.491139,0.416515,0.0,0.0,12.318745,6.627285,0.0,0.0,28.412827,0.903964,0.0,7.007708,0.240136,0.0,0.0,0.0,6.677982,0.0,9.808996,0.747109,0.0,5.145754,0.352356,0.0,3.038867,0.0,0.0,336.093899,0.0,22.607142,11.293276,25.034329,3.088235,0.659354,0.0,0.0,7.956454,95.281727,48.72601,15.833664,1.84488,8.819846,0.0,2.263109,0.0,0.524058,0.0,3.785994,5.101109,1.360605,0.363024,0.27791,6.540596,0.0,0.567394,5.068417,0.892178,417.8913,2.57995,5.25967,40.084845,0.0,1.017375,6.413942,1.373422,0.209947,30.440335,0.0,8.870849,161.695447,0.171747,0.0,3.082168,3.481667,4.008367,0.353222,0.838036,38.298418,0.533772,0.0,14.672809,5.058716,0.0,13.592881,0.0,0.0,0.0,0.0,0.151797,1.113223,0.0,0.63091,0.0,1.334363,0.452612,0.839974,1.084598,0.0,0.372888,28.327014,0.353483,0.596418,1.91403,13.52963,7.511564,0.0,1.915476,0.27714,0.504114,3.518195,0.0,0.0,0.127638,0.0,0.941376,0.896842,0.0,0.0,0.853778,4.274819,0.0,0.0,0.0,0.0,0.335576,0.0,0.139177,0.0,1.799233,0.786624,0.75341,6.638184,0.0,0.0,0.0,0.0,9.151549,0.0,0.0,0.0,0.0,4.334342,0.0,0.168319,19.175441,0.0,0.453191,0.197574,0.0,0.0,0.0
MIMAT0002807,1.171744,0.939016,3.227858,0.459061,0.95722,2.351998,1.883271,1.343158,2.312485,0.465373,3.706744,0.0,1.696142,0.760112,1.718985,2.082574,2.502919,0.437487,1.627004,0.895579,2.497206,1.733908,0.42726,0.451982,3.703923,1.121233,1.560885,4.692782,1.374765,1.158792,2.504243,0.714946,1.114658,0.747109,4.330769,1.929658,0.352356,0.0,3.038867,2.275804,5.931128,8.617792,1.00729,0.723428,1.209994,1.892129,1.69853,0.989031,1.508925,5.359537,1.010344,5.705492,0.888866,1.181616,0.61496,1.329019,2.614192,3.960441,0.0,1.834201,0.951063,0.0,0.373252,2.040907,0.726048,1.945372,0.344242,1.739804,0.567394,0.330549,1.784356,5.553373,1.901015,0.525967,1.065377,2.406196,1.3565,1.803922,0.457808,2.729313,1.522017,0.0,1.18278,4.709576,0.686987,1.116208,1.155813,2.103506,1.336122,2.29594,1.676072,1.538776,0.533772,2.811501,3.668202,0.344912,1.577155,1.0962,0.564016,1.672301,1.620399,0.309736,0.303594,0.556612,2.915648,1.892731,1.107614,0.912985,3.394591,1.259961,2.711495,2.329001,0.745776,0.122099,0.942621,0.596418,0.63801,1.649955,1.877891,0.0,1.915476,2.355691,3.024682,1.172731,1.556613,2.72407,0.765827,1.596013,1.098271,2.690526,2.826941,0.622926,0.853777,1.628502,2.846024,1.209741,3.40613,1.128275,1.845668,0.461887,3.061894,0.20204,5.217777,4.326432,1.695174,0.642405,0.0,2.097851,0.992479,1.143309,1.782768,1.283457,0.940375,0.592904,0.965678,3.189421,2.568221,0.673277,0.74904,0.0,1.510637,0.98787,3.05918,2.239884,0.707076
MIMAT0002808,8.652883,6.729609,2.259501,7.344976,9.093584,3.527998,2.259925,2.798245,2.890607,24.664762,12.973606,12.858119,7.123797,1.900281,1.718986,11.245897,6.793636,4.666517,8.367451,3.671873,3.745809,16.472123,2.456748,10.395579,10.370986,2.242466,3.361908,5.631338,4.71348,2.993546,4.173738,5.00462,3.121044,8.218197,5.918718,21.226236,3.523557,11.032199,3.545344,6.258459,23.724511,5.170675,3.021869,5.425715,5.243307,1.018839,5.713234,3.626443,3.01785,4.019653,1.641808,16.54593,0.727254,8.743965,12.91416,3.987054,6.099781,5.657772,1.79258,2.882315,5.706378,28.249345,1.741843,3.741664,2.904193,3.473879,1.72121,2.007468,5.673942,3.636038,8.921777,2.776686,5.974618,9.467406,2.263928,10.226327,9.834628,11.625269,4.806977,1.46963,3.913758,4.874701,14.193356,3.139718,3.950177,2.232415,23.501527,9.066837,10.688977,0.883055,4.19018,3.675964,9.607891,10.041076,10.1581,2.069475,14.982975,6.13872,8.460245,6.689208,4.861197,1.084076,1.214376,3.061364,9.475855,16.193366,3.876649,4.213776,4.752428,2.93991,15.726671,5.822506,14.915528,1.953587,3.534827,9.840886,4.466071,3.29991,6.760408,5.504692,4.78869,6.789932,41.337313,0.335066,4.514179,1.872797,2.16984,2.793022,4.863771,16.143164,4.947145,10.589749,13.945034,7.124696,10.672588,13.307155,10.218391,30.463417,5.201428,3.233209,3.896956,4.646914,3.23862,6.686304,1.695175,9.207804,9.974664,13.636033,4.466154,4.19213,4.754051,18.61012,10.34413,13.043886,4.345551,10.058944,5.650085,5.554541,2.097314,4.78038,5.89148,3.095326,29.572073,7.839597,2.828306
MIMAT0002809,802.825236,436.642065,237.570331,179.951892,359.914521,325.751863,229.382415,327.394712,449.585782,1245.570522,142.709665,479.663767,836.706961,305.565389,763.72113,238.66289,617.505773,750.872057,598.969965,512.091973,267.201068,421.33955,323.436233,214.239323,380.763306,171.268394,826.308945,753.660837,746.890232,449.804329,713.500606,527.987259,93.408379,570.542143,655.822807,1742.695549,463.700137,265.421718,737.769155,246.92468,270.289965,53.430312,250.210726,387.576782,797.78926,353.391602,777.154228,210.333647,1154.893625,794.551491,160.897167,604.782229,396.191745,338.415073,400.338966,538.131523,321.545649,552.198609,332.702942,545.019531,427.661351,455.775503,320.498982,233.343729,237.538802,538.729166,393.812667,588.053992,363.13231,671.344668,187.35731,48.592012,969.517634,646.413432,71.77984,814.496845,327.255758,326.710136,303.526193,507.862206,393.912427,355.853232,188.06197,28.257457,493.428623,138.037727,554.790153,623.653349,289.93853,310.658337,631.04119,829.229079,287.702966,255.444974,466.143898,485.981555,462.895061,1401.820698,386.915268,360.213919,281.949405,373.231757,216.614303,440.001572,354.980075,997.048809,384.342102,317.43771,665.113601,314.570404,598.698157,847.52394,552.993188,277.043081,543.892067,322.36353,593.349506,476.396957,383.84097,399.640653,279.659468,579.499999,984.029683,403.922351,512.281523,700.596894,712.856356,397.274273,578.004393,482.501255,1209.57697,267.858366,883.375255,758.271268,290.294351,702.859706,339.477614,507.723603,827.194946,466.813945,674.869295,717.03894,671.833703,438.542844,451.293033,772.384814,273.74912,604.705589,476.389912,179.880519,629.43642,247.065377,224.749739,322.539716,297.911626,632.813927,453.547816,440.491927,689.117413,239.01899,400.016317,239.657342,584.303351,367.341131,772.363477
MIMAT0002810,0.270403,0.156503,0.322786,0.0,0.0,0.0,0.0,1.678948,0.0,0.0,0.926686,0.0,0.169614,1.140169,0.245569,0.0,0.35756,0.0,0.464858,0.268674,0.0,0.0,0.106815,0.0,0.0,0.280308,0.120068,0.0,0.0,0.0,0.0,0.0,0.0,0.498072,0.0,1.072032,2.114134,0.0,0.0,0.0,0.0,0.0,0.201458,0.090429,0.403332,0.0,0.308823,0.329677,0.754463,0.0,0.0,0.0,0.0,0.472647,0.0,0.362459,0.0,0.0,0.0,0.524057,0.0,0.58246,0.124417,0.0,0.242016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133172,3.007743,0.339125,0.200436,0.0,0.0,0.072477,0.0,1.18278,0.0,0.858734,0.0,1.541084,0.290138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919767,0.788578,0.21924,0.564016,0.0,0.0,0.0,0.0,0.556612,0.0,0.0,0.553807,1.474822,0.0,0.0,0.0,0.0,0.372888,0.0,0.589138,2.08746,0.63801,0.109997,0.0,0.0,0.0,0.13857,0.504114,0.0,0.622645,0.0,0.255275,0.399003,0.784479,0.0,0.0,0.0,2.276741,1.017814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359847,0.0,0.0,0.0,0.0,0.524463,0.0,0.0,0.831959,0.0,0.0,0.592904,0.0,0.16356,2.054577,0.0,0.299616,0.0,0.0,0.131716,0.0,0.0,1.178461
MIMAT0002811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380056,0.245569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352356,0.0,0.0,0.0,0.0,2.585337,0.0,0.0,0.201666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.709576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282169,0.459883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381103,0.0,0.0,0.0,0.0,0.0,0.0,0.513644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120068,0.0,0.0,0.0,0.834748,0.0,0.0,0.0,0.288718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110183,1.784356,0.0,0.271574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59139,0.0,0.0,0.0,0.0,0.14507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556612,0.0,0.0,0.0,0.0,0.452612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170254,0.0,0.0,0.0,0.896842,0.0,0.0,0.142296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707076
MIMAT0002813,13.069458,11.581188,15.170931,1.836244,11.008024,5.585997,7.15643,8.170876,4.817679,10.238203,1.853372,3.91334,12.381838,3.04045,14.979739,8.330293,6.078517,14.874529,11.389029,6.8064,3.745809,1.733908,8.972471,9.943598,10.370985,4.765241,17.770085,10.32412,16.693576,11.491352,13.773337,6.077037,5.350361,2.490363,21.509487,13.936417,13.037162,6.489528,5.74008,3.982656,15.251472,1.723558,5.036448,13.021712,13.914929,8.29626,14.669114,7.252884,10.939708,5.359537,6.314645,10.269887,4.201911,7.089702,10.45432,5.799352,5.228384,7.355104,1.434064,8.908974,10.461693,6.407066,9.455715,6.462872,11.253748,9.72686,6.884838,24.624928,2.836971,15.205247,8.0296,1.388343,19.01015,14.727076,3.062961,6.617035,6.443377,10.021783,11.902987,19.944981,4.276142,8.530727,3.54834,1.569859,6.354632,7.441387,6.549606,7.833747,11.357039,5.828155,2.514108,8.121317,5.337717,6.024645,5.36122,12.646787,5.520043,11.400481,9.024263,11.706115,12.963191,11.769965,4.402113,15.585128,6.560207,10.725477,0.553807,2.247346,14.257284,7.139782,4.880691,18.632017,18.644409,4.761868,15.081929,4.174921,9.570153,10.449714,6.38483,7.706569,6.704166,4.849952,2.520569,5.696126,11.985924,23.154599,13.401955,7.049058,7.687898,1.793684,12.014495,5.606338,8.110888,12.417328,7.115058,1.209741,9.083014,9.026198,18.288894,10.623405,22.685852,12.324422,7.01701,11.406047,10.54775,8.993669,4.433184,5.769091,11.413508,6.859851,6.180267,3.208642,17.867134,2.371616,14.485169,18.236948,12.841104,5.891179,15.729853,4.78038,8.00637,4.478345,12.23672,6.719654,8.956304
MIMAT0002814,8.743017,7.825127,8.715216,2.295305,3.350268,5.585998,2.636579,7.163508,10.020771,8.376713,5.560116,1.118098,10.855309,2.660395,6.384805,1.249545,4.648278,7.437265,4.183724,3.761432,2.497206,1.733908,7.583875,10.84756,2.222354,3.644007,11.286405,9.385564,7.8558,6.276789,9.599599,2.502311,5.12743,6.225907,22.953077,13.936418,7.047115,1.297906,5.740081,1.137902,3.389216,37.056507,4.432075,10.851428,29.039853,10.625036,7.10294,7.252886,9.242167,6.699422,5.17801,35.944604,2.989822,8.980287,7.37952,7.853289,1.742794,2.263109,3.585161,10.743174,10.778714,2.329842,6.594118,2.721208,5.929394,4.307609,3.270298,11.910971,2.83697,3.085123,8.921776,73.582189,13.850253,5.25967,3.062961,3.007743,1.695625,10.623091,4.349169,7.138204,4.276143,2.437351,2.36556,59.654631,6.354633,3.348623,4.237981,2.973923,4.676427,4.41527,0.838036,11.284355,1.601315,1.606572,3.950371,6.898248,0.788578,9.646561,3.384097,5.685827,21.065185,3.407096,2.428752,19.48141,3.64456,4.206069,3.876649,2.247348,10.183773,0.839974,3.253794,9.781809,3.355993,4.273472,14.374965,5.964172,3.19005,13.969618,1.87789,6.60563,1.915476,9.977044,2.016454,6.868857,7.938729,6.129158,5.616057,6.118051,7.374105,0.896842,4.240411,3.114632,7.257109,13.638705,1.423012,2.419482,4.541508,10.154472,12.080737,10.315478,13.639346,4.444874,9.715861,4.719744,12.996334,11.991559,6.649776,3.67124,4.466154,6.097645,4.397499,3.208641,8.463379,2.96452,11.588136,10.631405,11.813816,5.386221,17.227937,0.956076,4.985097,2.831894,6.11836,2.239884,3.771074
MIMAT0002815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733908,0.106815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236323,0.0,0.0,0.0,0.565777,0.0,0.0,0.0,0.0,0.248835,0.0,0.121008,0.0,0.0,0.133831,0.0,0.110183,0.0,1.388343,0.135787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109997,0.0,1.100938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622926,0.0,0.203563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149808,0.0,0.0,0.065858,0.0,0.0,0.0
MIMAT0002816,2.16322,2.191036,3.227858,0.918122,2.871659,0.294,1.129962,4.029474,0.192707,0.698059,0.926686,1.677146,3.392283,1.140169,1.227847,2.915604,0.71512,2.770746,2.091862,3.224084,1.248603,0.866954,0.854521,1.807927,1.48157,0.560616,5.282998,1.877112,5.302665,0.96566,4.382426,0.714946,0.668795,2.241327,3.608974,3.64491,2.46649,1.946859,1.350607,1.137902,0.847304,0.0,1.611663,0.813857,0.806663,1.309935,4.323529,0.989031,2.640619,0.0,1.389222,6.846591,0.888866,0.945293,3.0748,0.845739,1.742795,0.0,0.0,1.310143,0.0,0.582461,0.995338,0.340151,0.968064,1.806417,1.72121,2.676622,2.269576,2.313842,4.460889,0.0,4.209391,3.155802,0.133172,3.609292,2.03475,2.004357,1.831229,2.729313,1.232109,2.43735,1.18278,0.0,2.919696,0.372069,1.926355,1.740833,2.004183,2.11933,0.0,1.196826,1.601315,0.803286,0.0,1.37965,1.577155,1.31544,1.692049,1.672302,3.240798,2.013284,0.607188,1.669835,3.64456,3.364854,0.553807,0.912984,2.263061,0.419987,1.084598,7.219906,2.610217,1.220992,2.710035,0.894626,1.91403,0.659982,0.375578,1.100938,0.957738,1.24713,1.512342,1.172732,4.202856,3.234834,3.063305,3.990032,4.863772,1.793685,0.176684,0.0,2.27674,2.239191,0.0,0.0,1.135377,5.641374,2.684608,0.923774,3.896956,2.222437,2.518927,2.359872,1.695174,2.783755,1.108296,2.097851,1.488718,0.762206,3.090134,0.641728,0.940375,0.0,1.931356,5.152141,4.109153,1.346555,1.198465,0.956076,0.755319,1.514734,3.059181,2.239884,3.299691
