,0050d8be-1db6-4c17-8bef-3ae2eaaa63ce_01,0477055e-a57e-4bdb-89ab-2999881bdd6c_01,056386db-d338-4fc8-8bb1-249be72fd6cb_01,09f8acfc-4d80-4005-9f40-7485309997f5_01,0a312064-878f-4b69-8bb7-e7f14e6cd7fe_01,0be4fa90-0122-4b26-b35f-7b1a4a16e63b_01,1248516e-7552-4a33-a1ab-2884d551ef32_01,154c7698-c0fe-40da-b0fc-47b6385fcee1_01,15a2baae-d15e-4349-9358-74356a2d2ad0_01,173b805f-3088-43f6-a159-95fff3581fd5_01,17e2bf75-4ce6-4cd7-94a1-434c5aa36549_01,18c3debb-08ea-4ca1-ade4-d577bcee4fa2_01,23cc4cd3-87dc-4342-9072-be3695e393fa_01,262b4693-961b-4006-be4e-e6f38a1cce4a_01,29e038ba-b042-473e-a526-96d41b2830e1_01,2a654463-1d68-4c82-9549-4526aad41870_01,2b794eae-814c-4b5c-b276-be9096b94f94_01,2c2e169e-9f93-41a7-bfc4-ade18bb5d7ae_01,2f6f86f3-6d31-4a8c-b70d-2759b44bac6c_01,2fdb7682-1dce-40bf-8180-d3a5a084ecb1_01,335535a1-e3d4-41a1-bbdb-1d5afd5acfd3_01,38668ba7-213e-4f2c-85d1-c0e2a8ed0ea1_01,3afa9201-61ad-4958-925f-b93912d2841a_01,3cc2d49b-a3a6-4f55-a355-68cbe84f4056_01,3eab80e6-21bc-45dd-a7b5-411a5dad4e9a_01,3f19d238-1b55-4530-a9e2-8fda644d45a6_01,3f691bf4-9558-4454-889e-cfa7d0de96cc_01,4165391b-6122-4e87-ba91-ce935e0b3cf4_01,440421ad-5f1f-4345-86a2-fc25cb7cd453_01,49d8939c-7c23-4a6c-b71a-0c39c262c346_01,4a2f3f77-7eea-4bb1-92bd-2d595e23ab88_01,4c0cf497-abea-4ea5-a207-e26f85f3bd18_01,4d6f70aa-ef52-4f98-a929-5d511601abed_01,4db60b44-21b5-433c-9689-f6aa79b819b8_01,4fc4cba2-7212-4755-b53d-111878b2ff90_01,50072717-861c-4b60-b595-d8ea23bb1c67_01,50612721-2e12-4dc3-8e1e-87624cf9333b_01,51abe033-5fb4-49b5-89ef-c44d0bb1ab00_01,51feca45-114e-4817-99d6-1c9842cd679a_01,5324c178-1b4b-42f8-ac9e-17c5f349a289_01,55536b55-0e84-49a2-b5df-b88431965b3e_01,56c4f5e8-4e89-4ba0-984d-e17f11a401f5_01,57000a6a-b132-4c02-807f-5505ad3e1fdd_01,5b7b3e7c-3230-4675-8fdf-3e5119b02ce1_01,5f18924a-bcd6-4462-9c99-e634bddaf18e_01,5f539ac1-c4c8-46cc-98d7-8951a6ed680a_01,628ecfe9-9e29-4b51-a11e-96d4e9181d86_01,66c564ba-b42d-4be9-9e5f-bf93984569eb_01,66c564ba-b42d-4be9-9e5f-bf93984569eb_11,67ff20ba-1b56-45ae-9310-19dd74401e67_01,67ff3aa1-9d52-4dc8-8501-ecd0d37a8735_01,68d2ab61-50fc-41e8-b3ee-75c70f0f4369_01,6e98a600-252d-442f-9372-ddc7c5338ae7_01,71020ee6-3b76-4e31-b3ce-7e54ce706134_01,7459bec0-1b54-4fd7-90db-8375168e6b1a_01,748fc94f-d496-46b1-a5f4-42aa53de0f31_01,756dd9bf-bf40-4ad2-a78e-9430c2c8ea6e_01,7933b320-ae8c-4d3d-9468-8abb135e93d5_01,7a99a808-5ac7-49b3-87f6-106663eb323f_01,7aef4dcf-0a4b-4848-beab-377394456bee_01,7fc85735-1bf2-4414-973c-e18f030e5ac0_01,80606b1c-e8c8-4c3d-8475-3d846a84ca98_01,81186204-5cc8-48e3-994b-4d3cb1f59c65_01,81fdc97f-8bad-4286-9d36-9a887c6b59a1_01,82505b35-d771-4fb4-8ec4-54a2e5a8ad79_01,85d1afdf-6164-49e1-b599-71512c5acd99_01,8889f7a6-3f3d-417b-bf3e-9a2155c4786c_01,88c0af76-b1ba-478f-a42b-8a50c0568d5e_01,8cc1e08d-75b6-48da-90df-e6af23cb4c35_01,8cc1e08d-75b6-48da-90df-e6af23cb4c35_11,9084a558-11ea-448c-9f9d-0f90a94a29af_01,91f67f4e-b8b1-4455-83a6-4d96d04e8ca9_01,9291a2cb-98e6-43b9-8cbf-889e6da9bffa_01,9627ff18-f5ee-4b34-a823-35ebe3c00a3f_01,96e5c81e-8edb-4e6c-84fc-f127142f2835_01,9b116a89-ba1a-4b7f-bcc6-2dcd950269ec_01,9bbd057c-5a3b-4e04-8df7-c2f0c1823084_01,9cabde13-0cbb-4502-9dc1-4c9bd8a68313_01,a4f4c331-97a3-48c4-aa3e-27304c1eb611_01,a653b0bb-aacf-4b11-bb11-42e043e49bf6_01,a6885883-f1a2-48dd-8d72-0038319069a1_01,a8117654-b223-4301-9c4d-530fbc55ea72_01,abdbdba3-807e-4192-88a6-41dd6d9309ab_01,acaaed1a-2667-4c56-919b-daf5574371bb_01,acfba23a-06eb-4ff1-be60-0452a13a4978_01,add338c1-8b31-4378-9a44-19bf646c972b_01,aea15ea1-38c2-4d0e-824d-e3495271b05d_01,afc984dc-588c-4277-88aa-5d82dd8bd40c_01,b1774c5c-7a6f-4bf6-8539-15a35f1457e6_01,b1fa64a6-f86b-43b6-a488-54fe6fe85e9c_01,b2cab6ab-3b4a-408c-a331-9353dbc4fc0d_01,b39f3099-62b0-41c1-85a2-61989cee0b60_01,b7e1a4f5-9173-41c2-8079-c5ce59c8d190_01,b8348adb-17dd-4849-bd4f-c2e7e15db1f4_01,b9d753e0-6caf-4569-88d1-af4b76b255a9_01,bab3ce0b-d318-4791-aa17-d815ea23b62d_01,bb9bb553-f304-4d14-a655-5c3bf4720a9b_01,bd06627d-1e86-4212-b53b-082686abee7e_01,bfe41ba3-2bcf-4760-ae65-cd417e22393f_01,c1f7e0cd-24b0-4c45-8e60-1ff669a692ab_01,c7ff8f16-9b89-4efb-8c06-b866a8b26d7a_01,cd458290-f27b-479c-9b78-0af23e7f63d9_01,ce6eee0d-6f27-4516-95a4-b1b604de9776_01,cffd89d3-0d36-4b30-a676-e9d66e2c764b_01,d04d927b-bb66-435f-bb8f-dd71145c5eec_01,d2385e2f-82e3-4ac3-bde2-0bf2daa46860_01,d3189c8e-ffe0-41ff-9c7b-64da4c83b991_01,d3bf7bb0-086b-4aab-8048-abc0d91948ad_01,d542aa45-86cf-462e-abbe-76a3354e707e_01,d6b1516a-8271-4071-8c56-d4538de63892_01,d8e19e8a-7442-4b6b-8f4a-d02dca5c9894_01,d9816402-1073-4b19-ba16-1c7e7c00fbb3_01,dd240b82-b1d6-4c0f-aa3e-6fcfe1364ec1_01,e0df61c1-c93a-419a-b99c-1e97e0cabed1_01,e464f16e-151c-4754-a8ff-e35b31d4c76f_01,e687f26d-f092-4116-9f9f-a2a2b9fc9b0d_01,eddb3067-a0e5-461f-a8b8-95081ec67de0_01,eeaa0fa3-408c-4e0f-a18a-095514173ff1_01,f4ee567b-ea34-4bd0-96c9-398e2045d5fd_01,f6051ac0-3d70-4cbb-8c1c-99c9efeacb0f_01,faa4ad8d-97c1-41b3-bb5f-534e8f6d6aef_01,fac44b50-aa8c-498e-88af-4eb5c2f5f67a_01,fbc5debd-f117-4ade-81b0-45d49fdd50a1_01,fc9b7bf7-e649-4163-ad5a-b741785d3b79_01,fd15ff57-f121-40ea-a3b9-b66cbf34c1e0_01,ff0e9d4a-2b62-4a15-b71a-2887d8747ae6_01
MIMAT0002820,77.331207,69.120475,85.507931,58.369885,76.908138,87.138959,33.465198,63.612624,51.435648,95.100584,63.176439,124.525741,81.892906,91.591522,6.34973,115.934925,16.964307,8.714419,26.704767,65.642826,43.564067,46.743551,33.080828,25.682479,80.434924,8.93922,3.714066,2.311347,23.92737,64.303697,65.92793,79.485935,9.643891,51.035468,1.791474,16.987533,20.670242,79.193643,36.428513,63.154225,85.213062,16.440609,45.669071,37.946044,38.702041,10.870509,61.39628,46.462898,54.271931,39.62116,98.99092,30.410524,105.511413,107.471061,15.888753,87.851687,82.715908,53.1976,68.417932,46.628169,30.529083,68.809768,92.33095,42.271173,39.124515,62.299494,4.528705,15.107663,1.601926,42.852912,15.517091,91.728053,103.883232,62.728784,128.209204,178.539418,103.675422,29.576422,55.968739,16.479396,11.459129,73.719623,109.87327,59.011462,54.826179,59.339876,95.05493,58.310873,87.201626,50.865671,0.297415,78.989472,34.936185,90.883768,40.131806,72.111819,76.226288,23.388857,158.405919,18.9981,60.515637,139.698848,64.697021,7.483255,39.589627,54.174712,96.213,46.767263,8.712849,58.24647,101.017335,91.260352,1.901782,85.946493,40.559686,61.757608,30.451686,11.946009,79.538009,12.320365,19.236017,77.602865,29.229029,43.01021,4.372514,15.764126
MIMAT0002821,170.188953,54.737831,20.12791,124.228013,37.650551,136.84389,117.00425,82.092972,79.642293,33.509049,118.895526,99.517109,114.532448,81.376854,22.138249,26.060707,7.142865,60.053712,139.716237,92.130278,71.370919,92.980856,12.171248,52.670846,152.796451,84.989299,78.227517,63.793185,158.991072,42.553916,38.131289,52.420831,33.990764,43.596399,84.995441,10.464321,39.668626,60.14234,40.071364,72.483828,684.082086,52.503878,37.160385,127.104617,20.212807,23.499484,58.396464,91.075505,33.137188,34.186398,110.674675,33.789473,13.228298,90.951657,39.8132,90.826739,98.878788,29.252509,44.253301,56.249855,18.457411,35.542685,86.528263,101.390999,77.214899,32.640165,6.270516,29.435577,128.332098,63.066549,19.673454,88.523583,83.155644,191.924079,91.245254,131.564834,86.297447,16.996839,85.267814,83.85105,79.297177,100.651859,57.036124,13.754551,57.851071,86.792486,211.163964,151.214902,63.690524,99.470646,65.728795,80.336842,84.307806,17.957427,68.154877,53.203323,122.24702,36.753917,63.764594,56.994299,67.817116,38.32017,108.856992,161.264159,69.873323,81.824046,94.899512,134.747055,54.085419,39.385707,70.885023,40.647571,156.118952,9.687015,118.233832,102.123271,182.710115,89.703668,48.749102,6.358898,62.746059,141.511106,82.564475,163.598099,16.275467,10.307313
MIMAT0002822,93.00849,123.299759,0.142751,138.62848,0.459153,118.515196,0.123945,122.196581,41.48036,1.492306,178.13223,121.766167,112.915174,51.584073,0.343229,1.267818,0.357144,2.083883,558.090897,179.654046,0.0,273.711343,1.092292,1.08824,66.530745,0.400263,0.0,0.231135,0.0,0.0,156.088828,147.860931,0.316193,0.0,1.194317,0.815401,24.925881,0.0,231.841461,102.864835,56.491696,1.414245,0.0,0.487739,0.0,0.0,116.392948,62.909942,0.130461,0.525945,192.846129,0.938597,0.629919,172.029648,1.095776,170.978281,110.129419,0.123428,0.0,0.74013,0.174952,0.325086,154.283139,0.099696,112.719966,1.341377,0.812845,0.584813,0.0,0.202136,1.108364,0.60084,168.151017,62.891293,111.702015,142.003628,119.67106,0.0,59.537215,0.0,0.343774,109.891386,113.022501,0.295797,0.945279,154.57932,128.691667,105.28352,183.70242,65.984082,2.676737,121.431577,71.691961,0.13708,126.795747,227.272727,0.284958,0.589635,314.682404,0.0,160.261249,189.660588,208.988397,542.910202,0.473184,70.584478,147.931592,25.265074,0.164393,0.369819,122.999103,80.770656,0.172889,0.206107,295.662885,85.567771,0.529594,0.2172,111.534324,0.198716,158.239152,75.235893,0.0,50.497173,0.971669,0.202104
MIMAT0002823,466.248394,772.473685,1.570262,623.636155,0.918307,529.668174,0.24789,704.138946,282.066454,3.120275,843.384343,437.392355,462.540539,378.112962,1.372915,3.239979,1.785717,4.167766,3347.771326,1208.55186,0.926895,1373.619187,1.8725,5.005906,449.867438,0.266842,1.160645,1.617943,1.259336,1.182055,965.220526,1207.388489,1.106676,1.903018,2.587684,4.212908,630.898291,1.120664,1428.648189,862.390059,405.142458,3.005271,0.173647,1.560764,1.096818,1.119021,785.952373,317.01677,0.652307,5.78539,831.343993,3.003508,1.102359,997.430188,4.383104,827.415887,715.920452,0.987426,1.74684,1.48026,0.349904,1.191981,744.79162,0.797569,641.676499,2.533712,0.812845,0.584814,1.245943,1.010682,2.216728,1.602237,750.976431,397.498975,531.57197,749.073644,713.681858,0.864246,581.661675,0.323126,0.802139,514.857847,507.026641,0.739491,4.537339,854.832073,723.563587,572.927464,1247.492077,340.234818,6.245722,754.021053,1092.604908,1.096638,619.102292,780.624351,1.282311,6.68253,1493.203512,1.15842,812.320342,1252.681501,1383.111591,3962.00975,1.735004,455.202458,846.378868,156.965984,1.315146,4.252916,789.367739,458.924185,1.037335,1.442747,1210.369934,502.803648,1.05919,0.6516,558.728102,1.391009,912.336881,421.321004,1.20532,241.175776,1.457504,1.212624
MIMAT0002824,39.645432,56.553116,0.285502,37.825222,0.0,52.190179,0.123945,23.509013,16.592144,0.542656,68.80463,30.700252,25.435319,21.791291,0.0,0.140869,0.178572,0.757776,168.936669,77.981702,0.0,97.874588,0.156042,0.870592,33.041109,0.0,0.0,0.231135,0.314834,0.0,43.833164,27.349998,0.316193,0.0,0.199053,0.1359,33.513149,0.0,103.691158,25.118158,27.865432,0.0,0.0,0.195096,0.0,0.15986,37.997698,16.035867,0.391384,0.35063,58.932339,0.0,0.0,40.254178,0.182629,34.300657,28.522728,0.246856,0.29114,0.148026,0.0,0.216724,37.376114,0.099696,21.199626,0.447126,0.0,0.194938,0.0,0.0,0.0,0.0,66.720754,36.564706,50.939359,53.993776,33.373613,0.096027,23.47682,0.0,0.114591,21.427838,34.291658,0.0,0.189056,32.943134,25.788166,40.725055,59.830492,19.357214,1.784492,24.421052,84.550417,0.0,29.233946,108.631174,0.0,0.39309,80.445127,0.231684,41.705052,40.0179,66.505982,190.074696,0.0,24.277463,41.046502,12.005389,0.164393,0.0,25.68656,28.059936,0.172889,0.0,106.488751,26.972448,0.0,0.0,40.297244,0.198716,37.098035,18.935775,0.0,16.88549,0.242917,0.0
MIMAT0002825,29.847133,35.886793,0.0,25.536825,0.0,35.570091,0.0,23.131865,12.325593,0.135664,64.442781,44.325644,29.699044,31.154737,0.0,0.0,0.0,0.378888,213.057586,41.787663,0.0,50.287287,0.0,0.0,18.837919,0.0,0.0,0.0,0.314834,0.0,39.200391,55.269789,0.0,0.173002,0.398106,0.2718,65.962386,0.186777,63.879999,25.83582,22.92003,0.0,0.0,0.0,0.0,0.0,33.397976,18.9141,0.0,0.0,52.127516,0.0,0.0,61.900292,0.182629,51.625989,97.294192,0.0,0.0,0.0,0.0,0.0,32.085431,0.199392,37.91803,0.0,0.0,0.0,0.0,0.0,0.277091,0.0,62.673355,21.126275,25.419043,53.633817,43.839893,0.192055,17.091126,0.0,0.114591,31.650291,30.442594,0.295796,0.378112,36.744265,30.522226,27.072904,29.652062,17.944279,0.297415,35.36842,36.877084,0.13708,33.212528,29.845766,0.0,0.196545,61.635164,0.231684,27.349605,72.517284,58.844493,283.989555,0.0,29.222873,42.35999,10.57191,0.0,0.184909,51.620105,14.947816,0.345778,0.0,70.470497,22.880078,0.0,0.0,47.541694,0.397432,44.197043,21.302748,0.0,15.133222,0.0,0.0
MIMAT0002826,83.963903,117.016079,0.142751,111.363599,0.0,173.190624,0.0,85.235887,51.435646,5.697896,137.609259,55.53641,45.430714,43.242092,0.0,0.563476,0.178572,3.978323,339.421441,202.522098,0.0,222.24281,1.404375,5.223554,52.477058,0.0,0.0,0.0,0.0,0.472822,121.87758,75.212496,0.0,0.173002,0.597158,0.2718,57.831076,0.186777,259.55315,67.938636,40.514245,0.176781,0.0,0.975478,0.0,0.31972,125.592392,39.88408,0.260922,0.525945,165.626837,0.563157,0.31496,95.508734,0.365258,81.726568,53.400884,0.246856,0.0,0.0,0.0,0.0,126.80572,0.099696,68.769521,1.937546,0.116121,0.0,0.355984,0.0,0.277091,0.40056,148.036674,49.727997,104.916853,120.226141,60.625439,0.0,53.527147,0.0,0.229182,73.326453,161.660668,0.0,0.189056,90.171269,74.374563,70.690362,106.852697,41.399005,8.327628,52.547369,110.388637,0.27416,78.187829,244.698206,0.142479,0.589635,256.477993,0.0,181.175653,122.721558,105.877523,283.615392,0.0,46.307014,95.720444,24.548334,0.0,0.184909,72.119955,70.543201,0.0,0.0,252.284377,68.454214,0.0,0.2172,165.565838,0.0,90.226086,38.547826,0.0,35.523248,0.0,0.0
MIMAT0002827,90.747342,137.123852,0.428253,104.259368,0.0,96.613962,0.123945,95.921803,41.717394,1.085313,135.357983,69.161801,74.100582,62.479719,0.0,0.422607,0.178572,0.757776,334.196596,242.500056,0.185379,223.086555,0.312084,1.523536,67.726804,0.0,0.0,0.0,0.0,0.0,158.583399,166.094264,0.158097,0.519005,0.79621,0.1359,66.418349,0.186777,244.981747,128.222211,43.747778,0.353562,0.0,0.195095,0.0,0.15986,135.191809,50.163482,0.130461,0.525945,150.861653,0.375438,0.0,116.585213,0.365258,109.202093,96.026517,0.370285,0.87342,0.0,0.0,0.325086,122.027041,0.099696,75.146644,0.596167,0.232242,0.0,0.177992,0.202136,0.0,0.0,127.431732,58.341021,107.651172,131.024895,103.477946,0.096027,85.26781,0.0,0.114591,90.822575,159.911095,0.147898,0.0,118.2574,95.926993,97.06909,159.840406,46.909453,1.784493,108.463158,91.464871,0.0,96.869877,241.639481,0.427437,0.196545,236.721614,0.231684,181.423159,201.059624,191.324408,434.777156,0.157728,63.166364,139.722291,21.14382,0.0,0.184909,113.613628,100.438834,0.0,0.206107,200.762615,83.149551,0.264797,0.2172,95.687093,0.0,177.704171,61.879409,0.0,62.763049,0.0,0.0
MIMAT0002828,8.7431,8.098964,0.142751,13.824446,0.0,18.328694,0.0,13.828831,3.792491,0.271328,9.42722,5.519147,4.263724,3.915623,0.0,0.0,0.0,0.189444,20.512357,9.377544,0.0,9.787458,0.0,0.435296,2.541623,0.0,0.0,0.231135,0.0,0.0,5.880059,7.977082,0.0,0.0,0.0,0.0,6.535443,0.0,13.010183,5.023632,1.71187,0.0,0.0,0.097548,0.0,0.15986,8.599479,5.345289,0.0,0.0,12.197326,0.0,0.0,13.291473,0.0,6.650126,4.912248,0.0,0.0,0.0,0.0,0.0,11.434701,0.0,7.755961,0.149042,0.116121,0.0,0.0,0.0,0.0,0.0,13.981921,3.250197,8.709313,6.659233,5.331879,0.0,6.197882,0.0,0.0,9.436112,11.197276,0.0,0.0,8.446957,6.85193,4.627846,9.299168,2.684578,0.297415,6.063157,2.790042,0.0,9.168043,17.33279,0.0,0.0,22.713918,0.0,17.325541,12.369168,11.705053,16.837326,0.0,2.247914,10.343718,1.43348,0.0,0.0,7.409584,9.440726,0.0,0.0,13.154493,3.534322,0.0,0.0,15.394453,0.0,11.908012,3.04325,0.0,3.663832,0.0,0.0
MIMAT0002829,10.099785,11.589897,0.142751,8.640279,0.0,11.649595,0.0,11.314501,7.584982,0.0,14.914705,4.829253,8.380423,5.277579,0.0,0.140869,0.0,0.189444,33.671227,23.526125,0.0,20.756162,0.0,0.0,5.681276,0.133421,0.0,0.0,0.0,0.0,16.571074,19.088021,0.0,0.0,0.0,0.0,10.791085,0.186777,23.288229,15.310117,5.516026,0.0,0.0,0.0,0.0,0.0,17.598934,7.195581,0.0,0.525945,13.738041,0.0,0.31496,15.000376,0.182629,13.475257,6.972224,0.0,0.0,0.0,0.0,0.0,15.701382,0.0,8.273025,0.149042,0.0,0.0,0.0,0.202136,0.0,0.0,15.453703,6.175372,12.861429,13.858403,7.89908,0.0,8.451657,0.0,0.114591,11.205383,18.895403,0.0,0.378112,14.782176,13.703858,9.602782,18.598335,7.064678,0.0,11.789473,7.035759,0.0,11.243825,21.967224,0.142479,0.196545,23.542031,0.231684,20.543141,21.585413,23.942155,55.937337,0.0,7.193323,17.403716,3.225329,0.164393,0.184909,11.114376,11.014179,0.0,0.0,21.767552,7.81271,0.0,0.0,6.187966,0.0,17.633017,7.100915,0.0,8.12415,0.0,0.0
MIMAT0002830,159.787681,94.953379,0.0,21.888706,0.0,143.212335,0.0,112.264967,32.236167,0.542657,241.167964,95.205276,116.590797,97.039344,0.171614,0.140869,0.714287,0.0,768.439301,172.744275,0.185379,259.705153,0.468125,0.435296,89.704374,0.0,0.464258,0.462269,0.314834,0.236411,150.921505,201.421346,0.158097,0.0,1.194316,0.679502,152.519018,0.186777,250.31592,102.147171,71.13769,0.707123,0.0,0.195096,0.0,0.15986,119.79274,51.808187,0.130461,0.70126,202.218809,0.563158,0.15748,187.979419,0.182629,225.579328,158.934976,0.370285,0.0,0.0,0.0,0.0,107.861665,0.099696,119.269443,0.74521,0.116121,0.0,0.0,0.202136,0.554182,0.0,266.024478,80.279842,105.929565,236.492739,177.136864,0.0,87.145955,0.323126,0.114591,95.737217,110.923013,0.0,0.189056,191.74593,127.321278,132.81921,112.291833,83.787063,1.189661,126.652632,124.217544,0.411239,25.947289,172.679073,0.142479,0.589635,314.209204,0.926736,100.240628,374.470523,167.595074,1126.604152,0.0,97.334648,245.45808,37.091277,0.164393,0.184909,238.094651,96.5052,0.345778,0.412213,263.246454,88.916073,0.264797,0.0,194.241781,0.397431,176.10117,74.897756,0.0,57.665542,0.242917,0.0
MIMAT0002832,237.269632,292.40056,0.285502,181.63787,0.229577,207.518089,0.123945,126.722382,96.471466,1.220977,374.556078,257.847621,212.157024,205.995805,0.171614,0.422607,0.535716,1.136664,935.440842,315.710729,0.185379,354.711,0.468126,1.523536,128.875284,0.0,0.928516,0.231135,1.259336,0.472821,229.500469,355.265089,0.632386,1.03801,0.398106,0.951302,101.147391,0.186777,370.530011,168.650483,114.600155,0.353562,0.0,0.097548,0.156688,0.479581,252.784681,133.015467,0.391384,0.525945,370.156716,0.187719,0.944879,305.893779,1.278404,264.430077,196.33144,0.617142,0.29114,0.444078,0.174952,0.108362,213.333989,0.299088,170.803495,0.298084,0.232242,0.0,0.177992,0.808545,0.0,0.40056,380.087534,126.920156,189.478216,277.887966,297.992785,0.480136,101.232044,0.161563,0.114591,191.474433,231.993557,0.443695,0.378112,285.507154,178.025546,161.85895,275.816814,124.338307,0.892246,214.736842,174.802229,0.13708,227.99017,321.629838,0.0,1.768905,395.482439,0.231684,203.080086,377.13838,349.023389,1062.996478,0.157728,195.793254,273.698074,71.315596,0.0,1.294366,269.955862,116.173379,0.864445,0.412214,492.353872,155.882151,0.264797,0.8688,234.991804,0.397432,325.180314,130.014385,0.30133,151.332226,0.728752,0.0
MIMAT0002833,471.524402,787.135603,1.28476,390.348616,0.68873,485.710376,0.743671,269.913643,267.607583,3.798597,789.353714,735.426263,563.25264,275.796038,0.686457,2.676505,0.714287,4.35721,1658.985177,1151.299474,0.741516,1018.908189,2.184583,4.57061,313.068268,0.533685,0.928517,1.155674,1.574169,0.472821,571.078416,722.780697,1.42287,1.557015,2.786736,2.038503,62.010721,0.186777,745.35338,381.317547,290.161886,1.414246,0.347293,1.170573,0.470065,0.479581,368.977641,306.531779,0.652306,1.402519,1075.290491,2.44035,1.259838,757.8039,1.095776,853.141381,735.886361,0.617142,0.87342,0.444078,0.087476,0.541809,620.887239,1.196354,504.13746,3.278921,0.464483,0.682282,0.533975,1.010682,1.939636,0.400559,712.955416,334.770192,449.8462,504.121884,553.922969,0.480136,228.570314,0.807814,1.145913,420.103558,470.985409,0.443695,1.701502,713.556712,407.253675,365.947006,928.688546,291.205961,2.676739,526.652632,721.407947,1.096637,489.192868,636.58609,0.569916,2.948175,1137.588732,0.926736,648.222722,612.880187,850.744511,2380.04949,0.946366,471.612226,650.17659,287.054231,0.493179,1.849094,431.978779,197.468522,1.037335,0.61832,1697.555973,430.071043,1.059189,2.172002,460.777121,0.993578,588.75957,466.969751,0.30133,273.831679,0.97167,0.808417
MIMAT0002834,763.513778,1123.940834,1.142009,823.514614,1.377459,836.440798,1.115507,799.935029,631.923667,6.104887,1384.112747,902.897861,814.959378,347.639202,1.2013,4.226061,0.535715,7.009424,5018.947804,2118.338383,2.039169,4112.420099,2.496667,7.617684,621.800825,1.200791,2.321291,2.542482,3.148338,1.418464,1662.631108,1603.678576,1.897159,3.114028,2.587684,6.387312,101.679344,0.560332,2555.330031,654.985848,580.51398,3.712395,1.910114,1.950954,1.096819,0.959163,893.545852,510.680709,1.304614,4.558187,2209.256537,3.003508,2.204716,798.058075,4.748363,1185.647763,1042.822598,1.727996,2.911401,0.888156,1.137187,0.866895,719.191541,1.096658,860.3946,2.533712,2.090171,1.364563,1.423934,1.212818,2.216727,1.802516,1153.631281,647.926579,861.411926,1221.699163,801.164167,1.82452,328.487655,1.454064,0.687548,697.879098,573.510465,1.331085,5.671674,967.387778,606.831649,988.970914,1612.089619,483.789041,9.517292,1163.621052,5175.286239,1.233716,1057.784438,1462.349845,0.712395,5.11017,2152.262041,2.316842,1296.816706,2262.587752,1390.453849,7128.736505,0.630911,609.8589,1301.995039,470.718767,1.150754,4.437826,902.487397,435.322371,1.210224,2.885494,4658.256456,563.073118,1.853581,2.172002,924.874613,1.78844,1251.715211,531.723341,1.355986,292.469438,3.886679,1.414729
MIMAT0002835,1746.057276,3029.012865,4.853538,1702.711031,2.066189,2158.902626,2.354958,934.451842,934.374751,47.211131,3578.825623,2337.530986,1633.300332,1335.227358,3.260672,8.452121,3.928577,21.217715,13139.518661,4850.165727,2.039169,9660.72787,7.958124,63.770901,2050.043978,1.867896,2.553421,2.311347,4.722507,3.073339,3724.037091,3370.602455,4.110511,3.806035,11.943154,11.415622,404.817534,2.428106,7720.502761,2225.468711,1021.415488,8.308694,4.341166,6.925885,2.663703,2.557766,3380.595136,1494.625105,3.131072,15.427708,5102.205238,6.945614,5.98423,2472.593931,9.314096,2539.298754,2386.718426,3.332564,4.949382,3.404597,1.92447,2.817408,2120.710514,3.589062,2389.69774,12.07239,4.412585,2.144313,1.957911,2.425636,5.818909,4.406151,3153.78214,1258.475901,1639.680283,3083.224568,2767.442599,2.688766,974.194091,1.938753,2.177234,1814.289064,3650.31188,3.69746,14.179184,1985.668471,1176.164562,1970.305882,2880.636414,911.48455,64.83655,3663.831579,2736.667781,2.330353,2435.412444,3883.100994,2.564623,19.261411,4242.179107,6.255471,2122.626215,4133.727693,4366.835927,14648.286044,2.365914,1955.459844,1950.529771,889.115539,2.95908,13.868208,1949.955666,1573.716599,4.14934,3.709921,8220.774983,1690.707489,2.383175,3.692403,1959.925219,3.974312,4105.973975,1349.68122,3.314632,1286.961105,5.587101,3.637875
MIMAT0002836,26.380041,30.440938,0.0,26.880867,0.0,25.007795,0.0,20.743247,12.088564,0.135664,25.326858,13.107973,21.024572,12.257598,0.0,0.281738,0.0,0.0,55.151146,31.587524,0.0,30.037373,0.312083,0.217648,8.222899,0.0,0.0,0.231135,0.0,0.0,17.996543,23.076562,0.0,0.0,0.597159,0.0,30.09344,0.0,26.670876,17.4631,10.746737,0.0,0.0,0.0,0.0,0.15986,16.998971,8.840285,0.0,0.0,41.21412,0.0,0.0,31.519782,0.0,31.67561,20.758208,0.0,0.0,0.0,0.0,0.0,29.013421,0.0,21.889045,0.0,0.116121,0.0,0.177992,0.0,0.0,0.0,33.360377,11.700706,26.026669,15.298237,28.239211,0.0,13.52265,0.161563,0.0,24.180036,23.444296,0.0,0.0,30.197873,21.55243,16.313161,25.265663,12.292537,0.0,18.526316,26.929974,0.13708,21.968705,38.836572,0.0,0.0,72.518915,0.231684,34.27982,41.715628,28.198535,80.444999,0.157728,15.735392,26.926504,3.225329,0.164393,0.0,23.957655,27.010966,0.345778,0.206107,31.790022,13.765252,0.264797,0.0,21.431493,0.0,30.457029,12.680206,0.0,9.876419,0.0,0.0
