,014d4b17-d683-438b-9287-33fcec82bf5a_01,01b18f83-da8a-4d3f-b722-f00fe7559c60_01,029cc59c-60df-4411-a044-3a2eeee7b110_01,15d19ccc-52b8-41f6-b1c1-2cc55691aed5_01,1a2ce30c-5891-4bf6-8c97-6d1f34d4fe48_01,1d00217f-28df-4d91-aeb9-0d9a83a907e6_01,1dbd7b0e-9234-47d9-bdca-5b17f5af619b_01,2112a42a-9b85-475a-a31b-4ce7751cdeb9_01,22e7816d-4be9-4f84-b487-baa6ca35452d_01,2bf47a88-df0a-4102-af2e-998c3d252b9c_01,31771082-c094-4749-a9c7-80b67762f4d1_01,339490ef-6cf5-4d05-81b1-5e339e95f678_01,367869f9-bbe7-4e57-a16f-f2b63f2de697_01,39af6e0f-908c-4b2b-97b8-a4d1966e47e1_01,39e494bc-7710-4f9f-98b0-0f509f7aef1a_01,3a161c85-2544-4283-a10d-e332c9dd1692_01,3eb7aded-8887-4c27-a464-1b50ec090133_01,411ddf79-fe92-44ad-8d10-eeb703f11be7_01,418152bd-7d33-4f0a-b890-2356b30d6f44_01,4464418c-ec35-4826-b3d5-152ac2a27a04_01,4480d290-5e8a-4289-8e3c-de087e0de412_01,4498044c-1607-403e-867e-befd7fad275a_01,4b9fd822-17aa-4a22-8e17-175a72931d5d_01,4e531546-56f1-4165-94a2-ee45abd5e0f7_01,5019e7f1-db46-4a07-9e7b-b6e5d1481b84_01,5383fb57-69c2-4b34-af7f-c67208efb2b5_01,56ed4ea2-18ce-48d4-bf72-9ffabe576ca9_01,5e54122f-1c4d-45cc-8842-cd1c1df0eed8_01,60d7b6cf-d605-4837-9061-612f6bbb7393_01,6103e640-8b62-4e39-908b-b62a0debeb0e_01,64422cc5-5e5b-4ef9-a9e2-214cebf8dfbc_01,64bd88bd-1d5a-4569-9f46-f668d448c336_01,6be5176c-4980-4663-adff-d04f05737da0_01,711eb720-4cb7-48de-9350-5c729bf9f0da_01,7289bc25-2551-4c6d-b2fa-c7e13859b9b3_01,73b3e4dd-c53d-4fe3-8607-ee462c9cbbd1_01,743fc661-9ba2-4fa8-966e-508fb4b965e0_01,78039723-94a9-4903-8bb4-c00852e8e889_01,7f1e74d4-8789-4954-8a63-b0ca5f0373c3_01,892e7630-b11e-47bd-987c-327d33258e11_01,8de236f1-c029-44df-a2a9-319145488baa_01,8e6d3005-445a-4b7f-95ec-a988a121c628_01,92fca97d-6123-46a7-9c34-7a6f877fe612_01,94f3d9b0-0ee4-4f6a-a8ff-ce7a4d8fab76_01,9752c320-79eb-49ea-aa1f-d7a79bead901_01,995fcbf5-90aa-4d4a-b57b-46a7129209e0_01,99d1bfcc-1989-4dd2-a5e9-78e08f6ce7cf_01,9b1ecfb2-9dfb-4e71-b51a-d2a0c5a7940e_01,9dc5cc23-c903-4fe2-8354-64f8316ff0d4_01,9e35ef82-55b0-460b-8ab9-8cd708efa3b1_01,9f57834a-4dc4-45ed-97de-ed4da9d0598d_01,a08e4c1d-5d92-43ec-b0b9-87b2286d685e_01,a18d3ba3-e2f4-4144-9c25-2019cad193f4_01,a6ff0b7a-1d04-4a64-af43-5011a4487cb2_01,a83802da-0219-4cf1-9560-16295363491d_01,a9f956a0-660f-4185-a843-d9911d2484de_01,a9fe64a9-6d22-4e9f-96f3-f16af7d298f8_01,af04ca52-8b71-497e-8135-6ddfca9ab221_01,b224e42d-8b6d-4578-963c-bf528b954900_01,b26cb5f2-4ff0-4476-8d02-7256ace7d8a3_01,b533e555-90cf-4657-80c6-15b67da8ad26_01,b5c516ba-4785-41dc-bd07-b129d47808dd_01,bbf07e1f-8c17-4c2e-89ed-38332d82e455_01,bcb87378-9f43-45e4-bdf2-f6dfa6ac5b8c_01,c510a423-6ab1-431e-9248-d2ac91fdedba_01,c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab_01,cba920f4-c57f-47bc-958d-9b7872df01c8_01,d8e15178-d8c5-4e4e-895c-57ffe5bc80c2_01,d9ccba9b-6bf0-44d9-8097-a97ab747f0bd_01,da6f0ed2-a6d5-4d87-823e-122ebd59aaba_01,df291bbf-fc62-4c40-9582-289ac78225fd_01,df685f8c-645a-47ae-a471-63bf1973a0ae_01,df941bc1-6356-4f2e-a3f5-ae190266b441_01,e00ce846-9a0e-48b5-be9f-84d443a0f78a_01,e21d8018-8fe9-4c92-8b36-28d7d3f7df2b_01,ebdabfcb-1c68-4ca1-8b7f-3ea9cdac3a6a_01,edbf6720-467e-4928-b1cb-0e7336358d18_01,eeab0529-31e6-4edb-bd2c-a21f2a169381_01,f78d8541-b317-4c8a-aa66-f172a8eaf14f_01,fa9089fa-9af9-4932-8ab7-0e7f2fd6b121_01
MIMAT0000072,2.292824,5.773934,3.014304,0.828431,3.381836,3.181436,6.435368,1.237634,0.978343,6.311451,14.147635,2.566202,1.056834,6.152865,4.255374,3.926622,5.169562,7.574944,0.215603,2.494748,5.76793,2.707824,4.850435,2.399153,1.684616,4.049147,4.770676,0.567964,5.110926,2.889658,2.565125,3.34659,2.201498,0.475975,1.855522,8.092353,2.014108,6.622982,1.499583,4.573079,2.108727,3.35684,2.324435,5.258948,2.486416,3.156755,3.332958,19.701503,2.241191,2.78105,0.391005,24.564529,0.388247,8.380591,1.133183,1.963257,1.383642,7.881509,6.432752,2.36254,4.031621,2.48127,4.689307,4.926652,3.872756,6.855358,3.957145,0.918055,1.021767,6.490027,1.633992,6.51358,1.184019,0.257789,5.265713,1.321441,7.56024,3.429735,0.601575,16.227027
MIMAT0000073,26.138181,46.191475,22.259479,3.313724,9.722779,30.32969,28.471633,7.01326,0.195669,24.29313,154.167614,9.277806,7.662048,5.428998,34.042987,12.875665,27.69408,38.079452,0.431206,12.117346,56.077092,19.341597,17.94661,0.299894,0.336923,19.233446,29.26015,3.691763,52.735461,13.09978,40.015979,22.6387,30.820957,3.807803,3.40179,75.842283,11.221459,114.577599,8.697582,12.515793,1.874424,0.83921,16.271048,17.2794,15.581539,14.569642,7.842253,108.883645,31.376684,43.738328,5.86508,42.276848,4.270717,51.392744,1.942601,2.804654,2.075463,31.910497,37.73881,5.154634,6.853755,26.983815,34.756042,36.334054,27.109291,106.765857,43.792378,9.364168,0.851473,20.412182,16.884578,16.501069,3.552056,0.580026,23.624543,9.580446,22.320708,29.914916,0.601576,153.958878
MIMAT0000074,257.713288,586.246796,179.698894,49.153551,30.436524,172.433834,201.641566,119.225407,24.067235,227.331293,687.304599,97.51568,91.416157,56.823509,361.379406,54.150851,185.36571,159.073841,10.348965,101.571873,698.239887,165.564069,251.575904,31.788797,11.455395,271.697757,268.430076,48.276899,181.902493,88.23087,335.518592,135.438484,206.060103,37.602045,67.108014,350.135408,109.337289,439.103747,143.959979,100.126339,28.584958,70.773368,121.202703,91.906378,93.654998,104.415766,68.031544,445.122641,190.921519,200.741227,55.913761,144.801434,61.343024,211.979662,50.022,57.214944,36.666502,118.030391,224.931886,40.592747,56.845853,169.036537,240.809718,142.564975,175.640867,435.823056,288.079981,74.913353,18.221521,102.165588,118.192045,134.39687,51.208811,9.538213,75.997024,109.679587,136.084324,363.551973,15.640964,589.600871
MIMAT0000075,1431.63857,1989.312833,852.352433,123.436165,572.516636,1733.246346,1307.940017,349.837871,257.695499,889.080906,2377.634918,363.018896,212.952084,1037.300471,2015.083008,575.660975,1483.848812,1590.533693,67.699479,329.306693,3337.387976,517.581125,1341.307018,577.596454,263.137146,1059.459292,1783.278967,257.28747,1675.686676,675.023942,2403.865886,1330.958696,998.378818,101.620721,396.772261,1320.841374,290.607006,1599.615867,247.431215,511.944037,258.904742,498.210945,500.417734,662.126609,819.191152,648.834719,409.561667,1810.962231,1343.594442,1034.550499,306.548165,1948.096443,307.103367,2500.250803,366.989881,945.729381,43.584711,1428.667544,1555.224959,516.752132,306.403181,933.888102,1443.479092,1886.907487,1675.536416,2498.397243,1707.111303,446.358733,138.449482,904.940053,296.841767,1040.001631,175.234769,29.581352,921.926438,251.734472,906.148797,1219.652081,181.675809,2204.44461
MIMAT0000076,24117.744706,43678.273302,30191.501056,21864.769748,189020.39064,79220.090045,125121.321333,16694.444676,19655.494191,87515.879851,106542.927564,185697.884577,34478.157752,35713.755745,128982.006642,147442.536634,24759.615382,61905.110916,2542.180115,50684.36275,85090.415499,28616.278971,56259.712995,35013.261325,38823.342317,54177.990778,75192.226465,16769.406534,57818.740559,32023.952564,39667.805805,58109.211845,45755.24991,45368.296575,24251.969873,281677.492067,57311.442088,186218.566707,41659.618626,50432.865892,59003.804848,35662.504466,59471.011633,138368.183463,56360.749106,18110.307728,111603.299627,254751.214661,41334.859394,40517.619089,25188.171307,50290.701812,12381.584672,85591.224831,79155.686912,39309.471707,4472.621539,51170.980674,39296.179757,53870.013854,34864.650423,30829.007911,67758.833897,69834.051908,68586.27782,81715.362983,90441.284718,27643.027586,13450.88654,238820.640673,16966.821806,141022.70156,16538.669309,4544.765543,152071.324495,25919.400698,112036.10051,26334.46248,21389.619411,100475.270999
MIMAT0000077,63096.191255,109103.49277,20911.61829,262524.145305,115367.66827,105909.581044,127195.460297,245600.623769,93465.58963,187207.619089,71518.584272,144384.202299,93829.96437,151526.941765,67498.734026,119236.244728,81362.253336,75941.688483,44537.633038,63915.435182,56826.600667,96222.895655,50700.144152,110816.948107,169429.99979,25468.931705,40573.651613,132519.801339,41984.395879,38726.994236,76863.171342,53796.244221,64519.047791,156835.754504,94805.375943,151245.511917,81570.509316,120962.650519,151012.818438,137152.142211,138729.595437,88606.858417,84603.471246,127407.283495,79640.89524,200773.550852,277769.663224,120573.86015,147225.425645,75521.175039,67207.166346,53862.901485,75262.84321,61732.297789,166692.729906,55182.131433,54597.114693,80344.479579,75784.248934,63229.971451,96860.899406,47981.254004,86080.508783,87190.336866,126766.232939,148621.882557,59336.297499,95830.521021,108457.032469,109321.573406,150913.809679,67302.001272,124121.273116,35949.721239,122164.645702,82761.507352,126908.893162,129240.629868,99369.047537,64886.06223
MIMAT0000078,6925.242056,15098.068349,14312.147416,10058.252482,4251.249552,9400.08297,13140.048647,21601.663383,7083.984668,15262.515844,12009.573787,9718.799524,11281.704695,6621.748348,8530.714466,8822.022687,12340.29747,5871.196455,10821.352068,6435.379799,9160.433032,11841.312258,22938.51653,9097.893904,6869.530469,21516.76185,11891.388864,5635.901885,8701.118644,15582.187922,14416.354972,12308.169009,15933.333393,9613.98644,11158.485315,8949.954161,9202.747016,7537.947623,4383.581364,11889.280487,10001.923629,13291.686143,8896.61044,9323.864553,7425.432387,7623.079476,10902.69234,5509.197185,13238.859627,12866.400139,7861.161833,3919.335258,9057.413965,9571.004932,7294.146513,7313.135707,10249.325303,13347.814804,16172.79572,13275.761791,6315.937158,6454.249251,16278.240321,8714.938408,22280.192059,7460.914936,5432.101505,7943.386067,5947.197106,8424.787758,9330.635434,10531.373527,6928.581473,1253.695088,8016.405114,16528.911967,11628.549556,19071.99739,13611.648908,6833.388169
MIMAT0000079,2.292823,3.84929,3.709913,1.933006,3.804566,1.908861,4.485257,3.712902,6.652731,5.477864,3.328855,9.870007,10.304135,8.867363,4.582711,6.118225,1.846272,3.685107,5.174481,3.920319,1.922643,5.028816,5.173797,8.097146,7.412311,2.834402,0.954135,2.839819,3.484722,3.660233,2.394117,3.543449,5.283592,4.283778,5.25731,3.105206,10.35827,5.132812,2.69925,5.295143,10.777935,12.588148,7.305368,4.758095,5.304352,6.556338,3.332956,8.800006,3.081637,2.781052,8.21111,2.456453,4.270717,4.067052,2.913901,1.682791,2.767284,1.730088,8.148151,4.510304,6.04743,2.171112,8.551089,2.771242,5.923037,2.412069,3.165716,1.101666,5.279133,4.291792,2.178656,11.507325,2.960047,3.351264,1.565485,4.625043,7.020224,4.57298,4.812604,2.374687
MIMAT0000080,750.211631,787.179712,952.056338,918.729578,1597.212916,813.811338,2028.896363,1479.385147,1811.499562,2480.638143,912.106365,2432.364779,1279.033554,904.832933,635.032657,2759.136474,1472.032672,724.32851,1282.624838,882.071501,557.566503,1024.717789,1311.719361,1326.13267,1365.213469,1091.245094,656.12707,749.143868,823.09135,1667.910185,1053.5831,1434.703001,814.553833,1798.472552,1572.244874,1592.405683,973.38961,890.79116,1932.962639,2015.042534,2817.258474,2359.298771,1706.799701,2176.20281,1029.873455,541.74785,2111.330585,1658.209904,1325.524829,1255.770364,1296.96463,1493.781944,1186.482794,2074.689309,1047.54809,879.259074,749.24194,957.314908,1290.410007,1970.144354,1411.470444,1295.688325,1452.857709,1077.397078,1584.412746,1260.243364,478.814255,867.929959,629.579009,2159.608819,665.034492,1756.712569,1005.527889,268.294487,1639.628666,1084.24218,1818.237784,1177.733093,1323.666684,1398.916837
MIMAT0000081,19916.834732,22802.806287,20973.063719,16527.46731,9081.779416,14734.926993,7819.363481,12852.828819,15252.755845,5576.225886,19418.045351,15008.531632,26383.336475,19335.555843,14415.568645,6795.155462,14045.88355,26318.22466,16742.684844,18053.419676,23373.572119,27036.844195,19578.620059,26962.298485,12790.62167,10235.636054,12245.691122,19173.028096,43566.692006,16461.029023,10897.855963,14708.658632,22258.01367,12882.270611,26437.773712,6427.11608,24994.792092,21022.671299,18595.730388,15479.868708,14544.823207,30250.999291,26291.688748,13679.776139,16308.567526,10704.073088,7801.669421,12469.344459,12579.669112,15967.017762,15786.839542,10286.849057,25939.169462,8238.614166,13704.732919,17025.933513,65578.386414,24194.692478,16700.066944,12925.246626,20376.617888,8984.679705,10375.505929,11468.012792,17665.917401,9286.979262,21133.515576,16800.604887,18769.696696,5740.533536,23341.566835,7313.664926,12420.060237,3704.564911,6715.774409,32294.69187,13396.925754,13802.018133,22165.852367,7510.3436
