,02979422-5149-4750-ad5f-483e0bec6ac5_01,02ec7a3a-2812-4a65-93cd-07bf655cc91b_01,03f3dd32-e1d1-485b-a968-3f55798f4d46_01,03f3dd32-e1d1-485b-a968-3f55798f4d46_11,04e9a63a-d742-488c-8564-bf9d79aa2091_01,04e9a63a-d742-488c-8564-bf9d79aa2091_11,0697436f-e487-45db-b0bc-ad9246f70196_01,0697436f-e487-45db-b0bc-ad9246f70196_11,08a96dec-e658-493a-9308-83f7ace3b3b6_01,0b77657a-0297-4cee-b9f2-5de72e182016_01,0ec3caa1-7c51-417b-a89c-18e9fceb80c4_01,0f3c4f8f-0766-46b0-81b4-18ca4f6ea20a_01,11a33d4a-4839-468f-9d61-5630586ed978_01,151f07f5-1529-4fcd-912c-e55b2ff8abef_01,222a2e5b-9d55-4477-8a54-7776bd44f8a7_01,222a2e5b-9d55-4477-8a54-7776bd44f8a7_11,23656226-2d99-4548-959f-5c2eed803e33_01,2a05f855-83cc-4276-befd-5d6d4ec18f82_01,2ea84e23-6a0a-4c5d-9c70-d5355a85df35_01,2f1c4db6-88a7-4a5d-a5fe-94d85f569440_01,2fc175d1-9d95-44fd-a53e-820f6f404551_01,3129e869-bb2f-423a-bd20-d0daae33b11a_01,366219b9-fde3-4d2d-82d3-15fe6245aa98_01,366219b9-fde3-4d2d-82d3-15fe6245aa98_11,39034b58-1fe1-4cae-ad3e-3ee291f1b4d0_01,3ec3bcb3-492c-4942-be02-76a67f57e38f_01,3ec3bcb3-492c-4942-be02-76a67f57e38f_11,40f79cfe-a51f-497b-b06e-7a4f9004f092_01,452135f2-6de6-4593-a091-ddf6344ee431_01,452e96b0-dd23-4f5a-bc05-625763b0ee12_01,455fd7d4-5ff4-423f-83ce-4630aef89bb7_01,455fd7d4-5ff4-423f-83ce-4630aef89bb7_11,4a88bc85-4c6e-4fac-8dbb-d3fc5f36b35e_01,4a88bc85-4c6e-4fac-8dbb-d3fc5f36b35e_11,4e4faf51-2cbf-4910-a093-186660e4a19b_01,5f633c79-fcf8-47da-b349-ada3fb794819_01,6101ffe6-2ef6-4256-9d6b-a7c545836995_01,63643ba6-bed9-4c36-91dd-a18105fadc06_01,63643ba6-bed9-4c36-91dd-a18105fadc06_11,648fecca-4946-4880-8359-6801cbb4fc0d_01,648fecca-4946-4880-8359-6801cbb4fc0d_11,70e306ee-9584-49d6-81a1-a49d837ab6aa_01,739deed4-d1dc-458f-bd0f-1e24d2bfd305_01,83b3060c-2449-4581-88ef-817d126e4525_01,872092b3-d31e-44d7-bd03-e29f52f8ab5a_01,8ac7f218-bd7b-4dda-8879-2cec49748e42_01,8c9e1f60-1838-4aa4-a667-c1cef7dddbdf_01,8c9e1f60-1838-4aa4-a667-c1cef7dddbdf_11,955d428c-8fe8-456b-b86d-65ea6c2a1b18_01,955d428c-8fe8-456b-b86d-65ea6c2a1b18_11,9680b5ff-1882-434f-9981-e8ac33764b93_01,9aa02d46-294b-4e99-b9ee-56edcbfb5275_01,9aabcbd7-a26a-49b1-abf1-02c0dc3adcf2_01,9f8aa332-e625-46f7-b77b-1fcb3ca99ee2_01,9f8aa332-e625-46f7-b77b-1fcb3ca99ee2_11,a122d361-835e-4cf2-850f-af7864aa112c_01,a5af1391-89d3-4f41-930e-7e8272afec98_01,af1111af-9384-4e37-9b16-227d38007ebd_01,af1111af-9384-4e37-9b16-227d38007ebd_11,b08dfba8-6afb-4217-9259-72be6f1f3363_01,b08dfba8-6afb-4217-9259-72be6f1f3363_11,b4a0bf74-1381-4c17-b97d-206810d9e59a_01,b5f6a0e3-f9ac-475f-9a34-b8b8834f1779_01,baaf32ff-b31b-4c42-bbf6-8ff7ab569ab6_01,c689ae1d-4a6b-45db-b4d1-6b34c5c61522_01,cc316faf-dcb1-4dea-b8b0-a17d000ff40f_01,cc316faf-dcb1-4dea-b8b0-a17d000ff40f_11,d52c3cb6-921e-4f26-b49c-e6e4f11f9c06_01,d542c363-fd6c-447d-b71a-0e94fec125e4_01,d542c363-fd6c-447d-b71a-0e94fec125e4_11,dc04b82c-e1e8-4917-ba19-c2fea4a1b69a_01,dc04b82c-e1e8-4917-ba19-c2fea4a1b69a_11,dc8dbf62-b687-4362-8839-2fac69703f64_01,e0e38071-877f-4ebf-955f-483eb4865351_01,e0e38071-877f-4ebf-955f-483eb4865351_11,e1e15226-9f8e-4035-8f08-eb1fed57080e_01,e1e15226-9f8e-4035-8f08-eb1fed57080e_11,e562c60c-8e6e-481f-ad4f-28b067437ece_01,e8c2a8c6-5c2b-460b-b536-60bc537e6be3_01,e8c2a8c6-5c2b-460b-b536-60bc537e6be3_11,edcbbfd8-9fc9-4774-bfbd-d1a30dc2f46a_01,edcbbfd8-9fc9-4774-bfbd-d1a30dc2f46a_11,ee8c1919-17a9-4df1-8aa5-79546621b23c_01,f1c1502e-1bd6-425a-b651-454363809668_01,f1c1502e-1bd6-425a-b651-454363809668_11,f2b58595-dec0-4194-ab33-7c7dc6c058a6_01,f2b58595-dec0-4194-ab33-7c7dc6c058a6_11,f31ba8ec-a3dd-4dd8-8d15-f6c5975ebe44_01,f3ba1cf8-ac67-4da8-96f3-8680dc55f247_01,fb322d32-d753-41cc-a21e-e47bf063d5bb_01,fb322d32-d753-41cc-a21e-e47bf063d5bb_11
MIMAT0000072,33.0,14.0,7.0,39.0,5.0,25.0,10.0,23.0,28.0,8.0,23.0,3.0,40.0,9.0,8.0,16.0,16.0,16.0,53.0,4.0,11.0,12.0,22.0,20.0,42.0,27.0,17.0,4.0,7.0,19.0,16.0,36.0,17.0,37.0,7.0,15.0,7.0,54.0,51.0,17.0,31.0,14.0,8.0,80.0,4.0,15.0,18.0,28.0,51.0,41.0,3.0,7.0,22.0,25.0,31.0,9.0,11.0,9.0,29.0,23.0,5.0,4.0,76.0,9.0,15.0,16.0,13.0,40.0,15.0,27.0,9.0,19.0,8.0,8.0,26.0,6.0,22.0,5.0,29.0,24.0,4.0,18.0,11.0,7.0,28.0,15.0,11.0,56.0,4.0,94.0,41.0
MIMAT0000073,47.0,26.0,22.0,78.0,26.0,63.0,24.0,51.0,48.0,16.0,16.0,29.0,66.0,23.0,37.0,51.0,33.0,44.0,65.0,45.0,24.0,27.0,46.0,56.0,38.0,55.0,36.0,27.0,29.0,41.0,60.0,76.0,33.0,81.0,13.0,53.0,47.0,45.0,64.0,22.0,92.0,33.0,31.0,59.0,14.0,21.0,33.0,78.0,75.0,148.0,8.0,19.0,31.0,26.0,115.0,21.0,25.0,38.0,101.0,30.0,34.0,13.0,60.0,30.0,28.0,26.0,60.0,33.0,21.0,48.0,26.0,98.0,26.0,13.0,41.0,15.0,42.0,5.0,29.0,52.0,56.0,39.0,24.0,30.0,91.0,17.0,53.0,44.0,18.0,70.0,71.0
MIMAT0000074,223.0,116.0,117.0,586.0,99.0,358.0,150.0,323.0,235.0,137.0,89.0,138.0,238.0,87.0,166.0,289.0,153.0,153.0,520.0,154.0,133.0,202.0,212.0,295.0,161.0,195.0,238.0,106.0,104.0,181.0,289.0,418.0,143.0,471.0,39.0,354.0,198.0,235.0,412.0,111.0,433.0,169.0,298.0,230.0,63.0,172.0,126.0,581.0,392.0,787.0,52.0,66.0,156.0,121.0,775.0,162.0,170.0,208.0,568.0,113.0,159.0,89.0,286.0,163.0,210.0,116.0,288.0,206.0,98.0,338.0,98.0,429.0,148.0,144.0,235.0,77.0,328.0,38.0,165.0,412.0,289.0,206.0,142.0,354.0,575.0,155.0,355.0,322.0,109.0,387.0,551.0
MIMAT0000075,673.0,1150.0,604.0,769.0,487.0,1222.0,415.0,746.0,1146.0,402.0,395.0,658.0,671.0,419.0,960.0,1142.0,754.0,639.0,1104.0,670.0,536.0,935.0,937.0,1054.0,1165.0,869.0,554.0,746.0,419.0,1379.0,1420.0,943.0,531.0,1258.0,247.0,1548.0,809.0,1276.0,861.0,619.0,1816.0,641.0,570.0,1484.0,504.0,820.0,878.0,1233.0,935.0,2640.0,292.0,365.0,1099.0,686.0,2370.0,513.0,988.0,801.0,2422.0,506.0,544.0,720.0,1327.0,936.0,1428.0,441.0,993.0,760.0,547.0,825.0,518.0,1260.0,430.0,572.0,812.0,283.0,446.0,268.0,766.0,616.0,1277.0,780.0,715.0,482.0,1161.0,384.0,1090.0,975.0,530.0,1704.0,1130.0
MIMAT0000076,65550.0,503879.0,47842.0,325526.0,84145.0,165891.0,67220.0,340976.0,88873.0,68451.0,181639.0,80690.0,1903352.0,98709.0,272429.0,414982.0,112461.0,387742.0,301765.0,95893.0,77746.0,217298.0,293105.0,138109.0,421163.0,313886.0,122642.0,386172.0,155470.0,128937.0,516398.0,391727.0,200528.0,162911.0,36536.0,171133.0,77267.0,481865.0,1282618.0,202355.0,321922.0,161658.0,160826.0,266234.0,47459.0,133723.0,276013.0,158377.0,745514.0,914849.0,177581.0,75717.0,406617.0,258030.0,485569.0,139099.0,533190.0,103699.0,556130.0,144955.0,466368.0,106891.0,164662.0,734746.0,472521.0,216940.0,86379.0,849640.0,251485.0,670124.0,196733.0,171342.0,226154.0,172340.0,336347.0,110076.0,96927.0,21585.0,243183.0,100391.0,124519.0,82805.0,45016.0,180140.0,360568.0,95136.0,726901.0,267838.0,121017.0,333121.0,164841.0
MIMAT0000077,687368.0,1642825.0,1257964.0,838505.0,1409681.0,626001.0,642371.0,806240.0,1068597.0,688572.0,699662.0,896572.0,846887.0,489076.0,1190294.0,747568.0,844002.0,1132471.0,1378585.0,847489.0,954758.0,1023003.0,844957.0,369669.0,1154039.0,1393708.0,590003.0,651611.0,840436.0,872612.0,572676.0,766093.0,1573832.0,628786.0,634279.0,1311732.0,682699.0,1246964.0,542818.0,914636.0,779834.0,698251.0,862050.0,932049.0,632548.0,571073.0,809521.0,593657.0,446782.0,735600.0,1253342.0,695681.0,940038.0,926126.0,1021481.0,855948.0,1872290.0,827485.0,829907.0,848307.0,314224.0,1155675.0,1155067.0,1213666.0,1257641.0,1137465.0,349672.0,960250.0,689695.0,602910.0,1056936.0,429170.0,1436524.0,594659.0,700302.0,701155.0,271460.0,659217.0,1142512.0,289446.0,896781.0,259655.0,774007.0,1179220.0,469329.0,384605.0,707624.0,1322156.0,776323.0,1479056.0,699699.0
MIMAT0000078,5634.0,16576.0,7713.0,14199.0,18182.0,29267.0,3264.0,19565.0,8048.0,9132.0,7297.0,4959.0,31674.0,8929.0,11591.0,30622.0,7752.0,9821.0,17705.0,8704.0,6246.0,9108.0,7546.0,20226.0,12557.0,14970.0,9137.0,8829.0,7181.0,8099.0,8311.0,14967.0,53425.0,22289.0,8540.0,8836.0,6151.0,11392.0,18117.0,12068.0,34944.0,9117.0,5866.0,9415.0,3481.0,6895.0,6393.0,18438.0,25638.0,28607.0,10093.0,7477.0,19081.0,12113.0,38544.0,4641.0,18228.0,14815.0,26803.0,7356.0,16576.0,7950.0,9064.0,15164.0,12323.0,7352.0,16249.0,13778.0,5251.0,11002.0,11179.0,25220.0,9687.0,6117.0,12426.0,10095.0,6189.0,5750.0,10651.0,8008.0,13288.0,10075.0,8353.0,10090.0,38838.0,7009.0,19859.0,11900.0,7405.0,11490.0,21461.0
MIMAT0000079,66.0,29.0,68.0,228.0,82.0,239.0,52.0,213.0,56.0,64.0,29.0,55.0,15.0,51.0,10.0,281.0,43.0,46.0,61.0,37.0,83.0,55.0,84.0,157.0,55.0,75.0,152.0,71.0,57.0,20.0,76.0,160.0,73.0,195.0,31.0,86.0,35.0,85.0,110.0,32.0,272.0,53.0,32.0,28.0,41.0,38.0,26.0,276.0,18.0,135.0,40.0,20.0,35.0,29.0,276.0,49.0,103.0,128.0,234.0,23.0,57.0,23.0,22.0,81.0,22.0,36.0,91.0,74.0,35.0,117.0,21.0,129.0,42.0,45.0,103.0,38.0,224.0,27.0,38.0,145.0,53.0,91.0,43.0,51.0,222.0,38.0,123.0,51.0,86.0,25.0,379.0
MIMAT0000080,2980.0,6986.0,2952.0,11071.0,6200.0,9574.0,2400.0,10133.0,3860.0,3016.0,4740.0,3384.0,7215.0,3790.0,2632.0,14605.0,5750.0,3883.0,9072.0,2787.0,4436.0,5755.0,5418.0,8320.0,6662.0,7217.0,5694.0,5213.0,3324.0,2309.0,3943.0,10577.0,8867.0,9121.0,2737.0,6431.0,2225.0,7265.0,9496.0,3528.0,13190.0,3062.0,1920.0,3659.0,2427.0,3390.0,3622.0,10058.0,3872.0,12796.0,3305.0,2176.0,5764.0,3225.0,19286.0,3270.0,9782.0,4578.0,17627.0,2973.0,4158.0,2357.0,2392.0,7578.0,3291.0,3476.0,4102.0,7249.0,2852.0,7467.0,3086.0,6066.0,3672.0,2969.0,5757.0,4325.0,4924.0,1992.0,5083.0,6195.0,2784.0,5750.0,2051.0,2444.0,14008.0,2488.0,8036.0,4224.0,4264.0,4453.0,12869.0
MIMAT0000081,22212.0,21299.0,8207.0,14429.0,18890.0,23762.0,20329.0,20760.0,18876.0,16982.0,11409.0,12470.0,34321.0,10710.0,22691.0,19498.0,11907.0,30371.0,25526.0,26192.0,14511.0,21561.0,20926.0,18800.0,29096.0,13007.0,13833.0,26265.0,12700.0,24743.0,41027.0,19209.0,16946.0,18618.0,9152.0,19690.0,11281.0,36710.0,26687.0,22378.0,27695.0,23247.0,10718.0,53497.0,14795.0,15009.0,25190.0,18199.0,17186.0,21944.0,6083.0,12192.0,23820.0,22012.0,24912.0,18791.0,16425.0,24143.0,26439.0,19548.0,12125.0,12907.0,39057.0,17155.0,26354.0,16209.0,17601.0,28173.0,26569.0,16555.0,14823.0,21013.0,17072.0,14219.0,16313.0,10654.0,11731.0,10049.0,25121.0,11390.0,23086.0,16473.0,14649.0,13314.0,33826.0,12902.0,16363.0,29442.0,14743.0,33134.0,20522.0
