,00397ce0-a931-46dd-9407-c1c6a14c39f1_01,04a1f2dc-1b1a-4328-b35d-cdc1b99e7b5b_01,0ab19ae8-c095-48d6-b1aa-0f5ae75c6e68_01,0ac27bc8-346e-4006-a701-d9676fb91cb7_01,0c5ae0f7-b2ac-4b1b-aabb-83994ebb9326_01,0c7b4b9c-d497-41fc-a2b9-014bb5e07985_01,0c8bd0eb-9c26-4fb0-a365-26354129f0da_01,10981cf9-c8e6-48c0-bc34-f06db6e1ac28_01,1c848577-c3a4-4830-abfa-549992172396_01,1f91f13c-bc22-4a5b-9c8f-54782d3909a0_01,24ea3cd5-c2e6-44f7-9658-78af7befeef7_01,28c6d24e-be1e-484d-948d-55ea51bd8ec0_01,2b3b0ca8-14c6-493e-921a-cd43ba7d080a_01,2b715eb2-055e-4bc5-bc98-128e8bf6954f_01,2b740646-7cd4-4c7f-890a-7b3db6ebc1b8_01,2d2d8421-18a7-4822-ba37-69fbf48da225_01,2dd1ecd8-a8d8-4a6a-8cf2-e847557ab04c_01,3210027d-a9c7-4ebb-8497-e3705bed7e40_01,340fef21-55d8-433f-b00a-51276b849356_01,36606c1f-9a12-465a-a2d9-2491fdc54a88_01,3d8b4046-822a-4a00-b79e-393bd3f5f5b5_01,4d9f1899-4a41-4e57-bdad-b12eb0d47629_01,500b86b2-3ac3-4745-af84-3dd28f38daeb_01,50921ca1-5d70-4162-8847-74e874114284_01,54d21956-25e4-42df-adbe-6907721fc4b5_01,554f4424-bb94-4958-a316-6d7d4eb4181b_01,5a197d56-e835-4f96-ad85-04ae9f6aff32_01,676ea428-80ef-4371-b90b-95e46708278c_01,6821f2b2-1b21-4046-b7d6-8979fe36add6_01,74f63637-cc7c-4539-a57e-783c8f62fb95_01,77c64e5d-da34-467a-a8d3-c79060700e4f_01,7a92421e-4860-41c7-afd2-fa715357f023_01,7d93f1b4-3460-4917-9f33-2a9c6df773f2_01,827d74a2-0331-434c-aef6-2d15b634ccb8_01,83b97927-a1be-441a-97a1-4363e1f2d530_01,880befcf-2bb1-4d37-b65b-5f2970bfb18b_01,894b5569-4e33-4e8d-a70c-63dd4c74c3cf_01,8ba34bcc-daad-4d69-9f02-e6a1c18de68b_01,92c1f122-2f48-47a7-b3b8-c1792a1f4f32_01,97408569-ef36-46d6-941a-aca9e0ab297e_01,98889636-e53c-44df-951e-01a70033e754_01,99826daa-eb83-40ba-950d-0bb7084d960d_01,9ad7575d-2ad4-4fda-8176-55145396f04a_01,a20fb646-2a9e-42ac-a2cc-ff3d6a0625fa_01,a3c28058-d305-4f85-b42b-a221e5234ec8_01,a48996be-7dae-451a-8129-9de8dfe7221a_01,a61ea4c7-2506-4d56-aeb5-edf83199d421_01,aaace369-0a47-4176-811b-61cd42bf647f_01,af5bde54-d20c-41a1-9537-69aed5562f08_01,b100c424-90c6-4e16-9d9e-40ad38606b5d_01,b106d71c-7809-4efa-a969-ee1f93a44720_01,b1f27fa2-133c-42c0-b69e-815af67e2a7e_01,bbabcd40-0a6c-430f-8325-ee1ed1d08afa_01,c328f661-c109-4e01-b819-299a75bd4348_01,c5ad9aef-27c6-4101-befb-6227cd1266ba_01,c5d4d4b4-2c9e-4865-8860-68327356d461_01,c61937ab-01ff-42e5-a534-3b33d6a9f582_01,c739fd61-22b2-412d-bcf3-89bda45a2c0f_01,c9c7366b-8826-4bd2-a3dc-5883e34c1502_01,c9ce1f62-2df1-4974-868b-d075781ce282_01,ca9031aa-87e5-4d5b-a526-3615efac3077_01,caa9b7d9-e900-4e18-a5f0-6dd4c202b40c_01,cb245767-f9d2-4cca-95f0-f3d247c05f01_01,cb94a8ae-2b0c-4d0b-ada3-4c82dd765567_01,ccf7073e-b224-497a-a476-c67aff5226bd_01,d3a6accc-5c45-4e70-baf5-2188af53e0db_01,d4d2b087-b7b4-4e53-a0b6-0190380c5a48_01,d4d3c554-bab2-47e7-a1c8-8890db28abf8_01,d940e476-fb0a-4cc3-8ab5-691156e7c09b_01,dc6720dd-5028-49d3-8508-a7936e7b3faa_01,de7c2f09-b840-4071-a1f1-558d1fb28576_01,e0df1fef-c650-4088-a974-26f712ed4f64_01,e23bc730-b369-4d6a-90ce-7223e234cd4d_01,e4469259-2504-4987-88a4-02cae33f46f2_01,e611ee05-92c8-41d6-a052-18dd749f8779_01,e656cf38-2f5d-4306-90d9-ecb504d86351_01,e6633347-a907-4a6c-9343-a207fdb05169_01,e90bfe17-2e5b-47ed-b986-b3d4181f2bf6_01,e93761b9-e0a2-48d5-8b21-a6670021cae4_01,e9c61bd8-8e3b-4e2d-b878-1ef285fc6292_01,eb5a5b41-b493-408c-902e-c625f5ba7d2f_01,ebe927e6-0a7e-4c97-ad73-f3c302cca7bc_01,ef8b1e2c-9623-44fe-b591-8c8e6a232da5_01,f15667dc-8376-40b6-84b2-8f5370c3d66a_01,f235c37f-ce8d-42ea-9b3f-065fc7e0c8b8_01,f544c652-8ee2-4bfe-a42c-41ab4b3697d1_01,f8970455-bfb2-4b1d-ab71-3c5d619898ad_01
MIMAT0003249,55.318505,16.496075,41.602341,11.772731,130.844512,31.954426,37.827884,32.015173,16.555978,75.553001,52.638905,52.239015,142.176985,22.410595,3.865831,31.472239,30.328185,29.909457,26.704557,24.198367,18.467529,64.544554,40.776891,197.834871,16.171244,2.105123,31.610827,9.444964,83.274611,18.710292,17.461288,87.849803,78.382718,134.710893,74.846878,21.990948,32.646923,26.31266,29.789524,28.152574,15.308775,22.570755,16.370083,11.333428,21.467582,52.967468,6.533387,16.826411,18.667903,36.407936,30.192061,48.644263,59.103634,53.726219,18.330353,15.389817,24.051749,9.781845,51.035438,66.539062,37.930053,13.598572,28.948264,26.218358,54.075704,19.769609,18.680822,42.785009,126.525699,68.482925,76.120678,49.953489,16.751106,39.446405,19.175517,31.03187,19.905184,35.499793,33.369446,29.380838,11.053204,22.988118,76.438905,20.701803,93.532285,20.749872,13.983771
MIMAT0003250,1.108835,2.307143,0.505292,5.351241,0.686247,0.331134,0.779956,1.482183,0.439539,0.737102,0.297395,1.374711,0.260397,0.339554,0.0,0.621162,1.274293,0.553879,0.0,0.210421,0.0,0.772988,0.741399,11.551333,0.177706,0.421025,0.577367,0.222234,0.134967,0.0,0.187756,4.767043,1.273037,0.0,0.158239,9.694934,0.207942,0.148659,3.919674,3.773026,1.640226,2.232273,0.779528,1.924544,3.665197,4.56616,0.0,3.771437,0.48279,0.577904,0.539144,0.0,0.356046,7.721134,0.597729,0.488565,0.611485,0.514833,0.967496,0.213266,2.741931,0.0,1.465735,0.655458,0.168987,2.16828,0.105541,1.349684,1.478105,0.710895,3.371311,8.325582,0.0,0.275849,0.0,4.069753,0.841065,3.468371,0.414527,3.991961,4.912535,0.156382,0.25103,3.300287,2.644515,1.62744,12.171061
MIMAT0003252,0.123204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003254,0.0,0.115357,0.336861,0.0,0.228749,0.0,0.389978,0.148218,0.439539,1.105653,0.0,0.0,0.260397,5.602649,0.184087,0.828216,0.509718,0.369253,0.0,0.0,0.355145,0.386494,0.14828,0.292439,0.533118,0.105256,0.144342,0.0,3.779075,0.097449,0.0,0.908008,0.545587,0.0,0.474716,0.236462,0.207942,0.594636,0.0,1.451164,0.364495,0.24803,0.0,0.213838,1.0472,0.456616,0.52267,0.0,0.965581,0.0,0.808716,0.37133,0.178023,0.965142,0.0,0.122141,0.0,0.0,0.0,0.0,0.0,0.212478,0.0,0.0,0.337973,0.127546,0.105541,0.674842,0.591242,0.47393,0.0,0.0,0.644274,0.0,0.0,0.0,0.560709,0.408044,1.036318,1.277428,0.9211,0.156382,0.0,0.0,0.139185,0.40686,0.431598
MIMAT0003255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003256,0.985631,0.576786,0.842153,2.140496,7.77747,0.827835,1.559913,1.630402,0.879078,4.422615,3.866134,2.291185,1.562384,2.37688,1.104523,1.242325,4.07774,0.553879,0.715301,0.841682,1.775724,1.932471,1.186237,1.315974,1.066236,2.105124,1.154734,1.222289,2.564373,1.071943,1.689802,0.454004,1.4549,2.904817,1.424148,0.709386,2.079422,1.932568,1.371886,5.224188,4.009441,0.992121,2.338584,1.817625,1.439899,2.28308,0.784006,3.191216,1.770232,1.733711,1.213074,2.970642,1.958253,5.147422,1.793187,0.85499,1.426799,0.171611,0.483748,2.132663,1.827954,0.956148,1.832169,2.621835,1.013919,1.020367,0.316624,1.349684,0.295621,2.132686,2.129249,2.018322,2.577094,1.103396,0.639184,1.017438,1.682129,1.632174,3.938011,1.596784,2.456268,1.094673,1.38067,1.500131,2.366144,0.27124,1.812711
MIMAT0003257,1.848058,1.730356,3.368614,0.64215,3.431237,1.821237,0.389978,1.77862,1.025591,2.211306,4.16353,0.916474,3.905958,1.69777,1.104523,1.656433,4.07774,1.661636,0.476868,1.262525,4.261739,7.150145,2.075916,1.754631,0.710824,1.263074,0.866051,0.555585,1.889538,0.974493,1.502047,3.632032,4.910283,1.452408,1.26591,0.709386,4.158842,1.040613,1.56787,4.643723,2.00472,0.992121,1.94882,0.748433,4.843297,0.913232,1.045341,2.030777,1.287441,2.311616,0.539144,2.042315,2.136276,3.860568,0.199243,0.610705,1.222969,0.686445,0.0,2.13266,1.59946,1.381107,2.015387,2.621835,1.52088,1.658098,0.633248,2.969304,1.182484,3.554477,3.548746,1.76603,2.147579,2.75849,3.835104,2.543595,2.523193,1.428154,1.658109,2.554853,1.228132,1.251055,1.380669,6.600573,0.83511,0.81372,0.863198
MIMAT0003258,6.529801,7.498215,8.421527,8.133886,22.188667,14.404326,17.549018,9.634195,7.765193,11.056536,16.059327,13.747109,12.759472,28.013243,6.62714,8.489223,14.017228,8.123556,6.437706,5.681355,11.719778,10.628594,9.489895,10.527797,6.219709,9.578313,5.484983,7.333736,5.803579,9.550044,10.138812,11.350104,7.092636,17.065801,10.918467,9.22201,13.516242,8.622227,13.914843,25.250246,12.939559,15.129846,10.913388,8.76737,9.293893,24.885578,10.453419,11.604421,9.977672,9.824364,11.052451,17.081192,5.162667,20.589689,9.165176,7.694908,6.726336,6.006397,7.981846,8.104117,9.596759,11.261317,10.260144,16.058744,15.715751,6.377293,3.060699,10.932446,4.138691,12.322187,18.630934,9.334743,13.314982,8.275469,13.422862,14.752856,6.448159,15.097614,13.472136,12.933955,27.325978,5.160598,8.911597,12.301071,16.006269,7.323485,8.718278
MIMAT0003260,1.724853,0.0,2.358028,0.428099,1.143745,0.662268,3.119826,0.88931,1.758157,1.842756,0.0,1.374711,1.04159,0.339554,0.736349,0.414108,6.116609,0.738505,0.238434,0.210421,0.71029,2.512214,0.14828,0.438658,0.88853,0.210512,0.86605,0.555586,0.269934,0.682146,0.938779,0.227002,0.545587,0.726204,2.37358,3.074003,19.754508,2.973182,1.175902,1.160931,0.182247,8.433028,0.389764,1.389949,3.010697,0.684924,0.0,0.290111,4.988836,0.577904,0.269572,2.042316,0.712092,0.965142,2.988644,1.221414,0.611485,0.171611,1.20937,0.853064,1.827954,1.274866,4.946855,1.966377,0.675947,1.530551,0.844331,1.079748,1.773725,1.658756,11.178561,4.541226,0.429516,0.551698,0.639184,3.561034,3.924966,8.772938,4.974328,2.714533,0.307033,0.625527,0.25103,0.0,0.974295,2.034301,3.107505
MIMAT0003265,0.0,0.115357,0.168431,0.0,0.228749,0.0,0.0,0.0,0.146513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194899,0.0,0.0,0.0,0.0,0.0,0.0,0.207942,0.0,0.0,0.0,0.0,0.0,0.0,0.106919,0.0,0.0,0.261335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203828,0.0,0.0,0.0,0.0,0.0,0.0,0.327729,0.0,0.0,0.0,0.0,0.0,0.0,0.177437,0.0,0.0,0.0,0.0,0.0,0.0,0.204022,0.0,0.159678,0.614067,0.0,0.0,0.0,0.139185,0.0,0.17264
MIMAT0003266,56.304135,52.83358,20.716955,31.251244,71.140984,24.503912,32.368189,26.086437,19.632753,28.378445,24.683781,61.861992,81.504389,19.863938,15.279238,28.159372,32.621913,22.893658,17.644081,32.825609,25.92557,204.842001,16.607315,31.583393,81.389334,25.682509,52.251686,21.445624,42.784525,33.620056,25.347029,15.890146,58.923435,31.952989,60.763636,90.564868,37.221651,64.666707,49.191909,65.882825,10.570345,233.396483,68.013795,28.012815,43.589663,18.949568,31.621595,41.775917,73.384172,74.549582,24.935408,41.217658,20.294621,41.501091,27.097043,29.069654,55.033663,66.756808,52.244809,23.032752,33.131672,62.78715,17.405601,85.537395,56.103542,27.294815,20.05286,53.042614,21.580318,38.388352,176.017976,28.50881,56.266535,79.996204,16.618781,93.095613,9.251706,31.623378,24.042582,28.901803,216.765624,39.095438,46.315199,24.302117,61.241377,98.188943,29.434975
MIMAT0003267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327729,0.168987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097449,0.0,0.227002,0.0,0.0,0.0,0.0,0.207942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003270,0.0,0.115357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003271,0.0,0.0,0.0,0.0,0.228749,0.0,0.0,0.0,0.0,0.368551,0.0,0.0,0.0,0.0,0.0,0.0,0.254859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003273,0.369612,0.0,0.0,0.428099,0.0,0.165567,0.0,0.444655,0.146513,0.368551,0.0,0.0,0.520795,0.339554,0.0,0.207054,0.0,0.184626,0.0,0.210421,0.0,0.193247,0.29656,0.0,0.0,0.0,0.144342,0.0,0.539868,0.292348,0.187756,0.227002,1.091174,0.0,0.0,0.0,0.0,0.594636,0.0,0.0,0.0,1.488181,0.194882,0.0,0.0,0.0,0.261335,0.0,0.16093,0.0,0.134786,0.0,0.356046,0.0,0.597729,0.244282,0.0,0.171611,0.0,0.639798,0.228494,0.0,0.183217,0.327729,0.337973,0.382638,0.105541,0.134968,0.295621,0.947861,0.887185,0.0,0.429516,0.551698,0.0,0.508719,0.280355,0.0,0.414528,0.638713,0.0,0.156382,0.0,0.0,0.0,0.13562,0.517917
MIMAT0003274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13562,0.0
MIMAT0003275,0.123204,0.0,0.168431,0.0,0.686247,0.0,0.779956,0.296436,0.0,0.0,0.0,0.0,0.0,0.339554,0.0,0.0,0.0,0.369252,0.0,0.0,0.0,0.0,0.14828,0.0,0.0,0.0,0.0,0.111117,0.269934,0.097449,0.0,0.0,0.545586,0.363102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389764,0.0,0.0,0.228308,0.0,0.0,0.0,1.155807,0.0,0.0,0.178023,0.0,0.0,0.0,0.0,0.0,0.0,0.213266,0.0,0.0,0.183217,0.0,0.168987,0.127546,0.0,0.134968,0.591242,0.47393,0.0,0.25229,0.0,0.0,0.0,0.0,0.0,0.204022,0.207264,0.159678,0.0,0.0,0.0,0.0,0.0,0.0,0.08632
MIMAT0003278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134967,0.097449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737102,0.0,0.0,0.520794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181862,0.0,0.0,0.0,0.0,0.0,0.587951,0.0,0.0,0.0,0.0,0.0,0.0,0.684924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168987,0.127546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106239,0.183217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0003283,0.123204,2.768572,2.694889,0.21405,1.829993,0.496701,1.949891,0.741092,1.172104,4.054064,12.787983,1.832948,0.781192,1.867549,1.288611,16.771392,0.254859,0.369253,9.537342,0.841683,0.355145,4.637931,1.334516,0.584878,0.533118,0.315769,3.319859,2.00011,0.0,0.974494,2.816337,1.816016,1.091174,1.089306,0.474716,1.891694,0.415884,0.743295,9.407218,2.321862,6.014162,10.16924,3.897638,1.817626,2.225298,1.826464,0.52267,0.290111,1.609301,0.0,5.39144,2.042317,2.314299,1.930284,1.195458,1.099272,1.019141,1.887725,1.451244,0.853064,0.913977,5.843136,0.183217,4.915941,3.210744,1.020367,2.744075,5.128802,1.773724,2.369651,13.130373,1.009161,16.536349,1.655094,24.288988,18.31389,4.485676,2.040218,2.487164,16.287204,6.447702,2.814871,3.01237,1.800156,0.139185,2.305542,0.431598
MIMAT0003284,0.862427,1.615001,2.86332,4.280993,3.431238,2.814639,1.559913,2.964368,0.879078,3.316961,5.055714,3.207659,12.238677,1.018663,2.209046,3.312867,5.861749,3.692525,3.338069,3.156308,2.486014,2.125719,3.113872,4.532802,1.77706,2.736661,0.721708,2.00011,0.269934,1.169393,3.942871,2.724024,3.81911,7.988247,3.006533,3.310464,5.198555,2.527205,2.939757,10.158145,3.462699,6.200756,3.897639,1.817625,4.057897,6.392626,4.181367,4.641768,4.023255,1.155807,1.482646,2.970643,2.848368,9.007988,2.988645,3.053534,2.853597,4.118673,3.144362,3.412259,4.569886,1.593583,2.93147,2.949564,1.858852,1.275459,1.160954,0.944779,0.295621,3.554477,3.371312,5.802677,4.295155,2.206792,0.0,0.508719,3.083902,5.508589,3.730746,2.874212,6.447703,1.563817,1.757215,4.500391,2.22696,3.254882,2.416949
MIMAT0003287,0.0,0.692142,0.842153,0.0,0.686247,0.165567,0.389978,0.148218,0.439539,0.0,0.0,0.916474,0.260397,0.339554,0.552261,0.0,0.509718,0.369252,0.476867,0.0,0.0,0.193247,0.0,0.146219,0.177706,0.0,0.288684,0.333351,1.754571,0.0,0.375512,1.362012,0.0,0.363102,0.158239,0.0,0.0,0.0,0.587951,0.290233,0.546742,1.240151,0.0,0.213838,1.832599,0.228308,0.261335,0.0,0.482791,0.0,0.269572,0.185665,0.356046,0.0,0.398486,0.122141,0.0,0.0,0.241874,0.0,0.0,0.637433,0.0,0.0,0.0,0.510184,0.0,0.269936,0.591242,0.47393,1.064624,0.0,0.0,0.0,1.917552,0.508719,0.0,1.22413,0.0,0.638713,0.614066,0.312764,0.125515,0.0,0.139185,0.13562,0.08632
MIMAT0003291,0.0,0.0,0.0,0.21405,0.0,0.165567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339554,0.0,0.0,0.254859,0.0,0.238434,0.0,0.0,0.0,0.0,0.0,0.0,0.105256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726204,0.0,0.236462,0.0,0.0,0.195984,0.290233,0.0,0.0,0.0,0.0,0.0,0.913232,0.0,0.0,0.0,0.577904,0.0,0.185665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829056,0.0,0.0,0.0,0.125515,0.0,0.0,0.0,0.0
MIMAT0003293,1.108834,0.576785,0.842154,1.070248,1.372495,0.993402,0.389978,1.333966,0.879078,0.368551,1.486975,0.458237,0.520795,3.055989,0.368174,0.207054,2.03887,0.923131,0.0,0.420842,0.71029,1.545977,1.482797,1.315975,0.533118,0.736793,0.433025,0.111117,1.619604,0.0,0.187756,1.589014,1.818624,1.452408,0.632955,0.709386,0.623826,0.445977,0.587952,0.290233,0.546742,0.49606,1.169292,1.389949,1.4399,2.511388,0.0,0.870333,0.804651,1.155807,1.213074,0.928325,0.712092,0.321714,0.0,0.85499,0.407656,0.0,0.967496,1.06633,0.0,1.168627,0.916085,0.327729,0.844934,0.382638,0.633247,2.159495,0.591242,0.236965,1.774374,0.50458,0.0,0.0,0.639184,2.034877,0.56071,1.22413,1.865373,0.798391,0.9211,0.312764,0.627577,0.300026,0.27837,0.0,0.863197
MIMAT0003294,1.971261,1.384285,2.69489,0.856198,6.633725,1.490103,4.679738,1.778622,0.439539,3.31696,1.78437,2.291185,2.083178,5.432871,0.0,1.242324,2.548587,2.215515,0.238434,0.841683,1.775725,1.545977,1.779355,1.608414,0.355412,0.526281,1.299075,0.333351,2.969274,0.779594,0.563268,1.362012,2.000487,1.089306,1.107671,0.709386,0.623826,0.148659,1.959838,1.160931,1.093484,1.488182,1.169292,0.534595,1.832599,2.054772,1.045341,1.160442,1.126511,6.934845,0.269572,1.485321,0.712092,0.643428,0.0,0.366424,0.611485,1.716113,0.483748,0.213266,0.456988,1.487343,0.916085,0.327729,1.858852,1.53055,1.055412,0.944779,1.182484,1.421791,1.064624,0.756871,1.718063,0.827547,1.278368,1.017438,2.242838,0.816088,3.93801,1.916141,0.614066,1.094673,0.627576,0.600052,1.252665,1.627441,0.949515
